"","Point.d.�.chantillonnage","date","X.OD","O2..mg.L.","Conductivit�...µs.cm2.","pH","Temp�.rature..oC.","Signe.COLI","COLI","M�.U.0089.T�.U.0089.O","Ag..µg.L.","Al..µg.L.","As..µg.L.","Ba..µg.L.","Be..µg.L.","Ca..µg.L.","Cd..µg.L.","Co..µg.L.","COT..µg.L.","Cr..µg.L.","Cu..µg.L.","Fe..µg.L.","K..µg.L.","Mg..µg.L.","Mn..µg.L.","Mo..µg.L.","Na..µg.L.","NH3..µg.L.","Ni..µg.L.","Ptot..µg.L.","Pb..µg.L.","MES...mg.L.","Sb..µg.L.","Se..µg.L.","Sn2.ug.L","U..µg.L.","V..µg.L.","Zn..µg.L."
"1","AAO-0.0","2014-04-29",103,11.5,1259,7.6,10.2,"=",18,-2,0.1,318,0.2,66.5,0.1,96500,0.1,0.2,4.6,1.1,2.2,348,3760,31500,21.6,2.7,100000,20,1.9,27,0.2,4.3,0.5,0.5,1,1.7,0.9,8.2
"2","AAO-0.0","2014-05-15",85,8.2,1059,7.6,16.8,"=",170,1,0.1,218,0.5,57.6,0.1,81300,0.1,0.3,5.7,0.6,2.5,356,3470,26400,45.6,2.6,95300,20,2,40,0.5,6,0.5,0.5,1,1.3,1,3
"3","AAO-0.0","2014-06-03",111,10.3,1374,7.7,18.4,"=",330,1,0.1,326,0.6,69.5,0.1,93700,0.1,0.5,4.7,1,2.8,615,4060,32600,132,3.6,100000,48,2.6,97,1.4,12.8,0.5,0.5,1,1.7,1.5,9.1
"4","AAO-0.0","2014-07-07",62,6,1346,7.7,16.4,"=",180,0,0.1,351,0.5,75.1,0.1,111000,0.1,0.4,3.5,1,2.5,530,4370,38400,44.5,4.2,120000,95,3,50,1.1,10.6,0.5,0.5,1,1.9,1.5,10.9
"5","AAO-0.0","2014-08-28",52,4.9,1549,7.8,18,"=",240,1,0.1,432,0.8,90,0.1,110000,0.1,0.6,5.9,1.3,2.6,785,5670,36600,70.6,4.7,150000,92,3.5,63,1.6,15.2,0.5,0.5,1,1.6,1.9,11
"6","AAO-0.0","2014-10-21",71.6,8,1359,7.7,10.4,"=",240,0,0.1,305,0.6,72,0.1,118000,0.1,0.4,3.5,0.9,5.4,640,5100,35700,54.2,3.8,100000,60,2.7,54,0.9,9.6,0.5,0.5,1,1.7,1.4,15
"7","AAO-0.0","2014-11-04",78.4,9.6,559,7.8,6.8,"=",150,1,0.1,351,0.5,36,0.1,46000,0.1,NA,5.6,0.9,2.4,547,2320,14700,26.8,3.2,49600,38,NA,46,0.7,8,0.5,0.5,1,0.7,1.1,8
"8","AAO-3.3P6","2014-04-29",105,12.3,1571,7.9,8.5,"=",33000,-2,0.1,141,0.2,51.6,0.1,129000,0.1,0.2,1.8,0.3,1.9,259,3670,36100,45.6,2.4,136000,65,2,27,0.4,5.5,0.5,0.5,1,2,0.9,7.5
"9","AAO-3.3P6","2014-05-15",103,11,1457,7.9,12.4,"=",640,1,0.1,117,0.2,49.6,0.1,118000,0.1,0.3,2.9,0.3,2.9,355,3690,30900,55.9,2.3,138000,71,2.2,33,0.2,4,0.5,0.5,1,1.6,1.1,8.1
"10","AAO-3.3P6","2014-06-03",84,8.9,1445,7.9,15.6,"=",7000,1,0.1,286,0.5,50.8,0.1,98300,0.1,0.5,13.1,1.5,13,571,4470,27800,71.1,2.1,100000,244,2.8,91,1.1,15.2,0.5,0.5,1,1.5,2,25.9
"11","AAO-3.3P6","2014-07-07",76,7.6,1351,7.6,15.6,"=",2600,0,0.1,125,0.2,55.1,0.1,119000,0.1,0.2,3.4,0.3,2.8,303,4120,33800,41.1,3.3,108000,166,2.3,47,0.2,4.4,0.5,0.5,1,1.7,1,9.5
"12","AAO-3.3P6","2014-08-28",69,6.5,1284,7.9,17.9,"=",4200,1,0.1,58,0.4,53,0.1,105000,0.1,0.2,3.4,0.3,2,152,3910,26700,31.9,2.2,113000,93,1.8,46,0.2,2.7,0.5,0.5,1,1.3,0.9,8
"13","AAO-3.3P6","2014-10-21",80.6,8.7,1308,7.9,11.9,"=",2200,0,0.1,99,0.4,51,0.1,108000,0.1,0.2,3.6,0.5,7.5,237,4670,29400,38.2,2.2,100000,24,2,53,0.3,2.8,0.5,0.5,1,1.4,1,16
"14","AAO-3.3P6","2014-11-04",83,8.9,1301,7.8,11.5,"=",350,1,0.1,56,0.3,53,0.1,121000,0.1,NA,2.5,0.4,5.9,218,4460,32200,30.4,2,100000,84,NA,53,0.2,5.4,0.5,0.5,1,1.4,0.8,9
"15","AAO-3.5","2014-04-29",105,11.9,1423,7.8,9.6,"<",10,-2,0.1,88.7,0.2,73.1,0.1,109000,0.1,0.1,3.6,0.8,1.7,246,3470,34900,21,3.5,142000,20,2.2,18,0.2,2.6,0.5,0.5,1,1.8,0.5,7.2
"16","AAO-3.5","2014-05-15",96,10,1440,7.7,13.4,"=",54,1,0.1,194,0.4,74.7,0.1,108000,0.1,0.4,4.5,0.3,2.3,481,4050,36700,34.7,4,149000,33,2.7,34,0.2,6,0.5,0.5,1,1.8,1,6.9
"17","AAO-3.5","2014-06-03",89,9.4,1458,7.7,12.9,"=",27,1,0.1,218,0.7,49.1,0.1,55500,0.1,0.3,4.2,1.1,5.8,537,3080,11800,33,1,68800,43,2,41,1.8,24.6,0.5,0.5,1,0.6,1.5,17.2
"18","AAO-3.5","2014-07-07",79,8.2,1451,7.5,13.3,"=",54,0,0.1,69.9,0.6,70.3,0.1,111000,0.1,0.3,3.1,0.3,1.5,462,3890,38400,42.6,4.5,135000,50,2.8,22,0.2,3,0.5,0.5,1,2,0.7,8.5
"19","AAO-3.5","2014-08-28",76,7.7,1651,7.6,13.8,"=",90,1,0.1,1160,1.3,84,0.1,117000,0.1,2,4.6,3.1,5.3,2550,6170,38900,114,5.5,171000,124,5.8,68,2.7,45.7,0.5,0.5,1,1.7,3.6,25
"20","AAO-3.5","2014-10-21",65,6.9,1407,7.5,12.1,"=",140,0,0.1,148,0.8,70,0.1,114000,0.1,0.6,3.9,1,2.6,800,6020,37300,66.1,4.8,100000,48,3.2,24,0.3,4.2,0.5,0.5,1,1.8,1.3,11
"21","AAO-3.5","2014-11-04",65,6.9,1424,7.5,11.9,"=",72,1,0.1,103,0.8,63,0.1,111000,0.1,NA,3.4,0.5,2.1,977,5360,37100,66.7,4.5,100000,135,NA,17,0.3,4.3,0.5,0.5,1,1.6,1.2,7
"22","AAO-3.6","2014-04-29",NA,NA,1306,8.1,10.9,"<",10,-2,0.1,61.6,0.2,72,0.1,107000,0.1,0.1,2.3,0.3,1.1,129,2630,35100,11.5,3.7,113000,20,2.2,9,0.2,2.4,0.5,0.5,1,1.8,0.4,3
"23","AAO-3.6","2014-05-15",NA,NA,1301,8.2,16.3,"<",10,1,0.1,43.3,0.2,71.8,0.1,104000,0.1,0.1,2.8,0.3,1.2,151,2720,34100,14.5,4,120000,20,2,10,0.2,2,0.5,0.5,1,1.6,0.5,3
"24","AAO-3.6","2014-06-03",99,9.7,1263,7.8,16.1,"=",18,1,0.1,53.4,0.2,72.2,0.1,96300,0.1,0.1,3,0.3,1.5,226,2530,33500,13.5,4.2,99800,20,2,22,0.2,3.8,0.5,0.5,1,1.5,0.5,3
"25","AAO-3.6","2014-07-07",93,9,1154,7.9,16,"=",90,0,0.1,185,0.2,70.7,0.1,98600,0.1,0.2,3.6,0.3,2.4,379,2170,32400,17.2,3.9,94400,30,2.5,45,0.2,7.6,0.5,0.5,1,1.3,1,9.9
"26","AAO-3.6","2014-08-28",86.7,8.7,1068,7.9,15.4,"=",260,1,0.1,98,0.4,62,0.1,88600,0.1,0.1,2.2,0.3,1.1,471,2670,30400,27.4,4.1,76600,20,1.8,29,0.2,4,0.5,0.5,1,1,0.7,8
"27","AAO-3.6","2014-10-21",92.8,10.6,1019,7.9,9.3,"=",18,0,0.1,120,0.3,69,0.1,94500,0.1,0.2,2.6,0.3,0.9,294,2950,30100,20.2,5.1,100000,20,2,31,0.2,2,0.5,0.5,1,1.1,0.6,9
"28","AAO-3.6","2014-11-04",89,10.2,1097,7.9,9.2,"<",10,1,0.1,72,0.3,66,0.1,94600,0.1,0.2,2.2,0.7,0.7,278,2550,30900,13.5,9.5,98700,20,1.8,18,0.2,1.9,0.5,0.5,1,1.2,0.4,19
"29","AAO-6.4","2014-04-29",NA,NA,705,8.1,12.4,"<",10,-2,0.1,28,0.2,53,0.1,117000,0.1,0.1,3,0.3,1.6,70,3380,36500,8.4,4.9,133000,20,2.3,13,0.2,1.9,0.5,0.5,1,2.4,0.4,3
"30","AAO-6.4","2014-05-15",NA,NA,1354,7.9,18,"<",10,1,0.1,24.6,0.2,54,0.1,114000,0.1,0.1,3.1,0.3,1.3,80,3190,35000,13,4.9,123000,20,2.4,15,0.2,1.4,0.5,0.5,1,2,0.5,3
"31","AAO-6.4","2014-06-03",97,9.1,1342,7.9,18.4,"=",200,1,0.1,25.1,0.2,49,0.1,102000,0.1,0.1,3.9,0.3,1.2,87,2650,32000,18.9,5.4,107000,20,2.3,21,0.2,2.2,0.5,0.5,1,1.9,0.4,3
"32","AAO-6.4","2014-07-07",68,6.5,1306,7.7,16.7,"=",200,0,0.1,84.3,0.2,48.3,0.1,113000,0.1,0.2,2.5,0.3,0.5,142,2300,35200,45.2,5.3,118000,28,2.7,39,0.2,2.6,0.5,0.5,1,1.9,0.8,7.8
"33","AAO-6.4","2014-08-28",85,8.1,1299,8.1,17.8,"=",36,1,0.1,63,0.3,45,0.1,109000,0.1,0.2,2,0.3,0.6,103,2270,31700,27.9,5.4,111000,20,2.2,18,0.2,3.6,0.5,0.5,1,1.6,0.6,3
"34","AAO-6.4","2014-10-21",75.6,8.8,1154,7.8,8.5,"=",27,0,0.1,74,0.3,53,0.1,107000,0.1,0.3,3.1,0.3,0.7,321,3440,31700,65.9,4.3,100000,20,2.6,41,0.3,4.6,0.5,0.5,1,1.6,0.6,14
"35","AAO-6.4","2014-11-04",90,10.4,1010,8.1,9.1,"<",10,1,0.1,156,0.2,43,0.1,95600,0.1,0.3,2,0.3,1,193,2490,29600,15.3,4.3,97000,27,2.5,19,0.3,3.7,0.5,0.5,1,1.5,0.7,3
"36","ANG-2","2014-05-06",106.3,10.9,486,8,14.2,"<",10,-1,0.1,47.3,0.7,41.8,0.1,74400,0.1,0.1,4.7,0.6,1.3,95,2450,15200,29.3,1,12200,20,0.8,21,0.5,2.8,0.5,0.5,1,1.1,0.6,6.9
"37","ANG-2","2014-05-21",NA,NA,471,8.2,21.7,"<",10,1,0.1,85.2,0.9,36.3,0.1,62800,0.1,0.1,9.8,0.3,1.3,137,2160,16000,38.1,1,12000,20,0.8,29,0.5,6.6,0.5,0.5,1,1,1.2,3
"38","ANG-2","2014-06-25",NA,NA,352,8.6,24.1,"<",10,-1,0.1,10.9,1,21,0.1,32800,0.1,0.1,4.4,0.3,0.5,27,1430,13900,5.8,1,10400,20,0.7,15,0.2,1.5,0.5,0.5,1,0.5,1,3
"39","ANG-2","2014-08-19",94,8,212,8.1,23.3,"<",10,1,0.1,38,1.2,37,0.1,46800,0.1,0.1,6.7,0.3,0.6,36,2520,13700,33.8,1,10800,24,0.6,21,0.2,2,0.5,0.5,1,0.4,1,3
"40","ANG-2","2014-10-27",96.6,10.8,462,8,10.2,"<",10,-1,0.1,66,0.9,40,0.1,54600,0.1,NA,5.8,0.3,1.1,120,2860,16000,21.5,1,12900,73,NA,27,1,5,0.5,0.5,1,0.6,1,9
"41","BER-0.0","2014-04-30",88.4,9.9,1287,7.4,10.1,"=",260,0,0.1,140,0.2,51.2,0.1,110000,0.1,0.1,3.9,0.6,3.3,368,3330,22400,31.7,1,134000,20,1.7,22,0.5,3.4,0.5,0.5,1,0.9,0.8,16.5
"42","BER-0.0","2014-05-13",85,8.5,1045,7.7,15,"<",10,1,0.1,97.9,0.2,44.6,0.1,86700,0.1,0.1,5.2,0.9,3.4,284,2840,16700,30.6,1,99100,20,1.3,26,0.2,3.8,0.5,0.5,1,0.7,0.8,10.9
"43","BER-0.0","2014-06-18",77,7.1,434,7.8,18.6,"=",1100,0,0.1,147,0.2,24.5,0.1,35300,0.1,0.1,3.9,0.8,3.4,349,1810,6060,19.8,1,33500,81,1.2,35,1.4,5.8,0.5,0.5,1,0.3,1.1,13.4
"44","BER-0.0","2014-07-15",77,7.5,1700,7.5,16.5,"=",330,-2,0.1,54.8,0.2,88.5,0.1,148000,0.1,0.2,3.5,0.3,3.8,300,4010,31300,94.1,1,166000,57,1.9,13,0.7,3,0.5,0.5,1,1,0.6,10.5
"45","BER-0.0","2014-09-09",80,7.4,968,7.6,18.7,"=",36,1,0.1,23,0.3,57,0.1,89800,0.1,0.1,4.4,0.3,2,192,3080,17800,29.8,2,80700,37,1.3,35,0.3,0.5,0.5,0.5,1,0.6,0.5,3
"46","BER-0.0","2014-10-22",NA,NA,1681,7.6,9.3,"=",1500,-1,0.1,53,0.2,79,0.1,146000,0.1,0.2,4.7,0.3,4.4,253,5270,29900,66,1.9,178000,38,2,31,0.5,1.6,0.5,0.5,1,1,0.5,17
"47","BER-0.0","2014-11-12",86,10.5,344,8,6.5,"=",45,0,0.1,214,0.4,24,0.1,29300,0.2,NA,6.6,0.6,1.9,361,1410,6680,20.5,1,26900,35,NA,26,0.4,2.6,0.5,0.5,1,0.2,0.7,3
"48","BER-0.7P1","2014-04-30",103.9,12.1,1338,7.6,8.4,"=",4000,0,0.1,46.5,0.2,44.5,0.1,135000,0.1,0.1,2.2,0.3,2.6,94,4160,29800,15.5,1,114000,20,2,20,0.2,1.4,0.5,0.5,1,1.4,0.5,9.2
"49","BER-0.7P1","2014-05-13",100,11.5,1603,7.7,9.2,"=",2100,1,0.1,28,0.2,46,0.1,158000,0.1,0.1,2.5,0.3,4.7,83,4940,34300,15.2,1,130000,20,2.5,34,0.2,1.6,0.5,0.5,1,1.6,0.2,3
"50","BER-0.7P1","2014-06-18",93,9.3,1006,7.6,15.6,"<",100,0,0.1,30.5,0.4,40.2,0.1,97300,0.1,0.1,2.4,1.2,2.9,119,4050,21300,13.4,2.4,52500,21,2,21,0.5,2.6,0.5,0.5,1,1.2,0.2,24.6
"51","BER-0.7P1","2014-07-15",89,8.7,1190,7.8,16.2,"=",1500,0,0.1,43.9,0.2,44.7,0.1,119000,0.1,0.1,2.1,0.3,16.9,71,4870,26900,8.9,2.2,79100,47,2.4,28,0.8,1,0.5,0.5,1,1.5,0.5,10.9
"52","BER-0.7P1","2014-09-09",85,8.2,1163,7.9,17,"=",2800,1,0.1,33,0.2,55,0.1,133000,0.1,0.1,2.3,0.3,4.2,70,5870,30300,6.1,1.9,77900,320,2.7,92,0.2,0.5,0.5,0.5,1,1.6,0.4,8
"53","BER-0.7P1","2014-10-22",86.6,9,1560,7.9,13.2,"=",1300,-1,0.1,71,0.2,55,0.1,146000,0.1,0.2,2.7,0.3,4.4,95,5300,31300,9,1.8,169000,84,2.3,41,0.2,1.9,0.5,0.5,1,1.5,0.4,9
"54","BER-0.7P1","2014-11-12",95,10.8,226,8.2,9.2,"=",1000,0,0.1,674,0.4,25,0.1,27900,0.1,0.6,10.1,4.2,12.1,993,1640,5100,30.4,2.4,10900,335,2.1,116,2.8,30.2,1,0.5,1,0.2,2.3,58
"55","BER-1.2","2014-04-30",86.5,10.1,988,7.5,8.3,"=",500,0,0.1,387,0.4,47.6,0.1,70600,0.1,0.6,3.4,2.3,8.6,940,2310,13800,58.9,1,100000,89,2,52,2.4,19,0.5,0.5,1,0.5,2.3,43.3
"56","BER-1.2","2014-05-13",78,8.6,2116,7.3,10.4,"=",27,1,0.1,29.5,0.2,89.5,0.1,177000,0.1,0.4,2.9,0.8,1.7,718,3950,33600,131,1,213000,72,2,17,0.2,3.2,0.5,0.5,1,1.1,0.5,12.7
"57","BER-1.2","2014-06-18",68,6.4,652,7.4,18,"=",2500,0,0.1,129,1.1,34.7,0.1,47400,0.1,0.2,4.2,1.4,3.7,445,1900,7710,38,1,50100,61,1.3,43,1.1,5.8,0.5,0.5,1,0.3,1.1,16.2
"58","BER-1.2","2014-07-15",70,7,1900,7.4,15.5,"=",490,0,0.1,32.6,0.2,103,0.1,155000,0.1,0.3,2.6,0.3,1.6,530,3710,31200,115,1,188000,97,1.7,10,0.4,2.2,0.5,0.5,1,0.9,0.4,12.5
"59","BER-1.2","2014-09-09",78,7.7,2090,7.6,15.9,"=",290,1,0.1,56,0.3,120,0.1,176000,0.1,0.2,2.3,0.3,1.8,376,4390,37100,85.2,1.4,225000,97,1.6,14,1,3,0.5,0.5,1,0.8,0.5,13
"60","BER-1.2","2014-10-22",64.7,7.3,1672,7.6,9.9,"=",150,-1,0.1,40,0.2,88,0.1,139000,0.1,0.3,5,0.7,3.8,754,4150,28400,104,2.4,193000,48,1.6,27,0.6,3.2,0.5,0.5,1,0.6,0.4,18
"61","BER-1.2","2014-11-12",75,8.8,1690,7.6,8,"=",18,0,0.1,147,0.5,83,0.1,140000,0.1,NA,3.9,0.9,2.7,548,3610,29200,104,1.3,100000,82,NA,24,0.9,8.8,0.5,0.5,1,0.5,0.6,18
"62","BER-3.3","2014-04-30",97.5,11,1927,7.4,9.6,"=",280,0,0.1,100,0.2,63.6,0.1,120000,0.1,0.2,3.2,0.3,3.5,616,4700,29000,44.4,2.2,222000,77,2,26,0.4,4.5,0.5,0.5,1,1,0.8,13.6
