STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000228,10,20,0,66,-3
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000229,0,0,0,35,-26
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000301,34,0,0,58,-16
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000302,0,0,0,42,-2
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000303,32,20,28,15,-35
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000304,0,10,0,31,-46
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000305,15,10,14,60,-28
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000306,0,0,0,51,-39
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000307,0,0,0,60,-4
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000308,0,0,0,108,-5
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000309,37,0,3,174,-48
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000310,0,0,0,-28,-106
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000311,48,0,46,-19,-52
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000312,116,100,108,18,-77
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000313,0,80,0,-35,-135
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000314,36,70,28,45,-9999
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000315,51,50,15,44,6
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000316,85,10,0,58,-40
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000317,0,0,0,-22,-95
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000318,0,0,0,-19,-113
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000319,0,0,0,72,-74
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000320,0,0,0,90,-2
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000321,0,0,0,108,-16
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000322,0,0,0,132,-1
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000323,0,0,0,159,11
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000324,0,0,0,126,-2
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000325,32,0,0,114,28
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000326,0,0,0,97,-2
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000327,6,0,0,118,-1
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000328,152,0,0,84,37
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000329,48,0,0,51,17
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000330,6,0,0,61,8
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000331,0,0,0,81,-20
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000401,0,0,0,133,7
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000402,20,0,0,118,13
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000403,10,0,0,103,-16
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000404,150,0,0,96,41
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000405,15,0,4,42,-10
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000406,20,0,16,36,-8
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000407,5,0,0,86,9
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000408,322,0,38,56,-9
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000409,355,120,339,-9,-32
