"Point d'échantillonnage","Date","Température (oC)","Conductivité (µs/cm2)","pH","Signe","Coliformes fécaux (colonies/100mL)","MÉTÉO"
"BLAP-0.5","2009-06-15","17,8","145","7,3","=","31","1"
"BLAP-0.5","2009-07-29","23,2","150","7","=","13","1"
"BLAP-0.5","2009-09-16","17,8","117","7,7","=","20","1"
"BLAP-0.5","2009-05-13","12,8","114","8,2","=","3","0"
"BLAP-0.5","2009-06-09","15,9","97","7,6","=","5","0"
"BLAP-0.5","2009-06-29","20,3","216","7,6","=","460","0"
"BLAP-0.5","2009-08-04","22,6","118","7,2","=","15","0"
"BLAP-0.5","2009-08-10","22","126","6,9","=","8","0"
"BLAP-0.5","2009-09-01","19,2","117","7,6","=","2","0"
"BLAP-0.5","2009-09-07","19,8","132","7,6","=","7","0"
"BLAP-0.5","2009-06-02","14,3","79","7,4","=","15","-1"
"BLAP-0.5","2009-07-19","20,4","157","7,6","=","20","-1"
"BLAP-0.5","2009-08-16","24,3","186","7,6","=","5","-1"
"BLAP-0.5","2009-08-26","23,3","151","7,6","=","40","-1"
"BLAP-0.5","2009-09-23","18,7","146","7,5","=","36","-1"
"BLAP-0.5","2009-05-18","12,4","96","8,2","=","15","-2"
"BLAP-0.5","2009-05-24","14,8","102","7,8","=","3","-2"
"BLAP-0.5","2009-06-21","18,3","195","7,5","=","8","-2"
"BLAP-0.5","2009-07-06","19,9","185","7,4","=","5","-2"
"BLAP-0.5","2009-07-13","20","151","7,7","=","21","-2"
"BLAP-01","2009-06-15","18,3","129","7,3","=","52","1"
"BLAP-01","2009-07-29","23,6","155","6,9","=","60","1"
"BLAP-01","2009-09-16","17,4","128","7,8","=","28","1"
"BLAP-01","2009-05-13","13,3","159","8,4","=","23","0"
"BLAP-01","2009-06-09","16,3","105","7,6","=","25","0"
"BLAP-01","2009-06-29","21","221","7,4","=","160","0"
"BLAP-01","2009-08-04","23","117","7,2","=","54","0"
"BLAP-01","2009-08-10","22","108","6,7","=","74","0"
"BLAP-01","2009-09-01","19,9","122","7,8","=","58","0"
"BLAP-01","2009-09-07","20,2","126","7,5","=","30","0"
"BLAP-01","2009-06-02","15","92","7,4","=","64","-1"
"BLAP-01","2009-07-19","21,2","170","7,5","=","33","-1"
"BLAP-01","2009-08-16","25","165","7,4","=","15","-1"
"BLAP-01","2009-08-26","24","176","7,6","=","110","-1"
"BLAP-01","2009-09-23","18,3","134","7,3","=","33","-1"
"BLAP-01","2009-05-18","13,3","107","8,4","=","20","-2"
"BLAP-01","2009-05-24","16","100","8,2","=","3","-2"
"BLAP-01","2009-06-21","19","152","7,5","=","92","-2"
"BLAP-01","2009-07-06","20,9","201","7,3","=","84","-2"
"BLAP-01","2009-07-13","20,6","205","7,5","=","120","-2"
"BLAP-02","2009-06-15","19,3","107","7,9","=","41","1"
"BLAP-02","2009-07-29","24,9","163","7,8","=","31","1"
"BLAP-02","2009-05-13","18","98","8,1","=","2","0"
"BLAP-02","2009-06-09","16,3","109","8,2","=","3","0"
"BLAP-02","2009-06-29","21,4","201","8,1","=","33","0"
"BLAP-02","2009-07-13","21","206","7,9","=","2","0"
"BLAP-02","2009-08-04","24,4","121","7,9","=","5","0"
"BLAP-02","2009-08-10","23,5","123","7,9","=","2","0"
"BLAP-02","2009-09-01","21","146","7,8","=","8","0"
"BLAP-02","2009-09-07","21,7","115","7,6","=","3","0"
"BLAP-02","2009-06-02","15,7","100","8","=","23","-1"
"BLAP-02","2009-07-19","21,1","153","7,7","=","3","-1"
"BLAP-02","2009-08-16","27","146","8,2","=","2","-1"
"BLAP-02","2009-08-26","24,6","151","7,6","=","23","-1"
"BLAP-02","2009-09-23","18,8","130","7,6","<","2","-1"
"BLAP-02","2009-05-18","14,4","100","8,1","=","2","-2"
"BLAP-02","2009-05-24","16,8","100","7,9","=","7","-2"
"BLAP-02","2009-06-21","19,4","154","7,7","=","15","-2"
"BLAP-02","2009-07-06","21,3","204","7,9","=","2","-2"
"BLAP-02",,,,,,,
"BLAP-1","2009-06-15","18","154","7,5","=","10","1"
"BLAP-1","2009-07-29","23,3","154","7,2","=","16","1"
"BLAP-1","2009-09-16","18,3","150","7,8","=","23","1"
"BLAP-1","2009-05-13","12,6","122","8","<","2","0"
"BLAP-1","2009-06-09","15,8","111","7,6","=","48","0"
"BLAP-1","2009-06-29","20,2","219","7,7","=","94","0"
"BLAP-1","2009-08-04","22,8","134","7,3","=","13","0"
"BLAP-1","2009-08-10","21,9","148","7","=","5","0"
"BLAP-1","2009-09-01","19,5","139","7,7","=","8","0"
"BLAP-1","2009-09-07","19,8","156","7,6","=","10","0"
"BLAP-1","2009-06-02","14,1","94","7,4","=","8","-1"
"BLAP-1","2009-07-19","20,5","177","7,7","=","8","-1"
"BLAP-1","2009-08-16","24,4","193","7,7","=","7","-1"
"BLAP-1","2009-08-26","23,4","166","7,7","=","48","-1"
"BLAP-1","2009-09-23","19,2","181","7,6","=","18","-1"
"BLAP-1","2009-05-18","12,3","111","8,1","<","2","-2"
"BLAP-1","2009-05-24","14,6","123","7,8","=","3","-2"
"BLAP-1","2009-06-21","18,2","202","7,6","=","2","-2"
"BLAP-1","2009-07-06","20","191","7,6","=","2","-2"
"BLAP-1","2009-07-13","20,1","167","7,7","=","11","-2"
"BLAP-10","2009-06-15","18,1","185","7,8","=","13","1"
"BLAP-10","2009-07-29","24","186","7,7","=","11","1"
"BLAP-10","2009-09-16","19,9","214","7,8","=","11","1"
"BLAP-10","2009-05-13","13,5","157","7,8","=","2","0"
"BLAP-10","2009-06-09","14,9","167","7,8","=","82","0"
"BLAP-10","2009-06-29","19,9","238","8","=","82","0"
"BLAP-10","2009-08-04","22,3","188","7,6","=","8","0"
"BLAP-10","2009-08-10","22,9","198","7,7","=","23","0"
"BLAP-10","2009-09-01","21,5","203","8,2","=","5","0"
"BLAP-10","2009-09-07","21,1","214","8,2","=","3","0"
"BLAP-10","2009-06-02","14","149","7,8","=","50","-1"
"BLAP-10","2009-07-19","20,9","225","8,1","=","25","-1"
"BLAP-10","2009-08-16","25,9","214","7,9","=","20","-1"
"BLAP-10","2009-08-26","24,5","217","7,8","=","23","-1"
"BLAP-10","2009-09-23","19,2","234","7,6","=","10","-1"
"BLAP-10","2009-05-18","12","168","8","=","2","-2"
"BLAP-10","2009-05-24","14,8","172","7,8","=","3","-2"
"BLAP-10","2009-06-21","18,6","214","7,8","=","18","-2"
"BLAP-10","2009-07-06","21,1","208","7,9","=","21","-2"
"BLAP-10","2009-07-13","21,3","217","8,1","<","2","-2"
"BLAP-2","2009-06-15","17,7","157","7,6","=","15","1"
"BLAP-2","2009-07-29","23,2","163","7,4","=","13","1"
"BLAP-2","2009-09-16","18,6","161","7,9","=","30","1"
"BLAP-2","2009-05-13","12,2","118","8","=","3","0"
"BLAP-2","2009-06-09","15,5","115","7,6","=","28","0"
"BLAP-2","2009-06-29","20,2","219","7,7","=","10","0"
"BLAP-2","2009-08-04","22,2","137","7,4","=","7","0"
"BLAP-2","2009-08-10","21,9","154","7,2","=","18","0"
"BLAP-2","2009-09-01","19,4","144","7,7","=","5","0"
"BLAP-2","2009-09-07","19,9","162","7,7","=","5","0"
"BLAP-2","2009-06-02","13,9","99","7,5","=","8","-1"
"BLAP-2","2009-07-19","20,2","181","7,8","=","15","-1"
"BLAP-2","2009-08-16","24,3","196","7,8","=","10","-1"
"BLAP-2","2009-08-26","23,4","171","7,8","=","50","-1"
"BLAP-2","2009-09-23","18,6","190","7,6","=","26","-1"
"BLAP-2","2009-05-18","12,1","113","8,2","=","5","-2"
"BLAP-2","2009-05-24","14,4","128","7,8","=","3","-2"
"BLAP-2","2009-06-21","18,2","200","7,7","=","3","-2"
"BLAP-2","2009-07-06","20,1","191","7,7","=","3","-2"
"BLAP-2","2009-07-13","19,9","170","7,8","=","23","-2"
"BLAP-2.5","2009-06-15","17,9","155","7,6","=","21","1"
"BLAP-2.5","2009-07-29","23,5","156","7,5","=","44","1"
"BLAP-2.5","2009-09-16","18,5","173","8","=","8","1"
"BLAP-2.5","2009-05-13","12,9","119","8","=","3","0"
"BLAP-2.5","2009-06-09","15,5","119","7,7","=","64","0"
"BLAP-2.5","2009-06-29","20,1","229","7,8","=","20","0"
"BLAP-2.5","2009-08-04","22,1","134","7,5","=","13","0"
"BLAP-2.5","2009-08-10","21,9","155","7,3","=","10","0"
"BLAP-2.5","2009-09-01","20,1","166","7,9","=","10","0"
"BLAP-2.5","2009-09-07","20,3","168","7,8","=","2","0"
"BLAP-2.5","2009-06-02","14,4","96","7,6","=","13","-1"
"BLAP-2.5","2009-07-19","20,8","186","7,9","=","44","-1"
"BLAP-2.5","2009-08-16","24,8","194","7,9","=","11","-1"
"BLAP-2.5","2009-08-26","23,8","180","7,8","=","13","-1"
"BLAP-2.5","2009-09-23","18,8","198","7,7","=","21","-1"
"BLAP-2.5","2009-05-18","12,4","130","8","=","8","-2"
"BLAP-2.5","2009-05-24","15","133","7,8","<","2","-2"
"BLAP-2.5","2009-06-21","18,1","206","7,7","=","12","-2"
"BLAP-2.5","2009-07-06","20,8","190","7,7","=","5","-2"
"BLAP-2.5","2009-07-13","20,5","182","7,8","=","15","-2"
"BLAP-2.8","2009-06-15","17,9","163","7,6","=","13","1"
"BLAP-2.8","2009-07-29","23,4","159","7,6","=","44","1"
"BLAP-2.8","2009-09-16","18,1","186","7,9","=","7","1"
"BLAP-2.8","2009-05-13","12,6","120","7,9","=","10","0"
"BLAP-2.8","2009-06-09","15,3","131","7,6","=","48","0"
"BLAP-2.8","2009-06-29","20","229","7,9","=","33","0"
"BLAP-2.8","2009-08-04","22","159","7,6","=","34","0"
"BLAP-2.8","2009-08-10","21,9","167","7,4","=","10","0"
"BLAP-2.8","2009-09-01","19,4","188","7,9","=","23","0"
"BLAP-2.8","2009-09-07","19,7","186","7,8","=","16","0"
"BLAP-2.8","2009-06-02","14","116","7,6","=","11","-1"
"BLAP-2.8","2009-07-19","20,3","196","7,9","=","13","-1"
"BLAP-2.8","2009-08-16","24,3","200","7,9","=","5","-1"
"BLAP-2.8","2009-08-26","23,3","186","7,8","=","30","-1"
"BLAP-2.8","2009-09-23","18,9","213","7,6","=","52","-1"
"BLAP-2.8","2009-05-18","12,5","143","8","=","21","-2"
"BLAP-2.8","2009-05-24","14,8","145","7,9","<","2","-2"
"BLAP-2.8","2009-06-21","18,2","206","7,8","=","15","-2"
"BLAP-2.8","2009-07-06","20,4","203","7,8","=","20","-2"
"BLAP-2.8","2009-07-13","19,9","190","7,8","=","48","-2"
"BLAP-3","2009-06-15","17,8","165","7,6","=","16","1"
"BLAP-3","2009-07-29","23,6","163","7,6","=","15","1"
"BLAP-3","2009-09-16","18,3","195","8,1","=","7","1"
"BLAP-3","2009-05-13","12,8","130","7,9","<","2","0"
"BLAP-3","2009-06-09","15,3","134","7,7","=","34","0"
"BLAP-3","2009-06-29","20","234","7,9","=","44","0"
"BLAP-3","2009-08-04","22","160","7,6","=","18","0"
"BLAP-3","2009-08-10","21,9","169","7,5","=","10","0"
"BLAP-3","2009-09-01","19,7","190","7,9","=","13","0"
"BLAP-3","2009-09-07","20","189","7,9","=","13","0"
"BLAP-3","2009-06-02","13,9","114","7,7","=","10","-1"
"BLAP-3","2009-07-19","20,4","195","7,9","=","25","-1"
"BLAP-3","2009-08-16","24,8","201","7,9","=","7","-1"
"BLAP-3","2009-08-26","23,4","196","7,8","=","38","-1"
"BLAP-3","2009-09-23","19","215","7,7","=","33","-1"
"BLAP-3","2009-05-18","12,4","137","8,1","=","11","-2"
"BLAP-3","2009-05-24","15,2","145","7,8","<","2","-2"
"BLAP-3","2009-06-21","18,3","209","7,8","=","13","-2"
"BLAP-3","2009-07-06","20,3","200","7,8","=","5","-2"
"BLAP-3","2009-07-13","20","193","7,9","=","48","-2"
"BLAP-4","2009-06-15","18","162","7,7","=","42","1"
"BLAP-4","2009-07-29","23,4","160","7,6","=","50","1"
"BLAP-4","2009-09-16","18,5","191","8,1","=","16","1"
"BLAP-4","2009-05-13","12,6","129","8","=","7","0"
"BLAP-4","2009-06-09","15,3","131","7,7","=","100","0"
"BLAP-4","2009-06-29","20","235","7,9","=","31","0"
"BLAP-4","2009-08-04","21,9","158","7,6","=","26","0"
"BLAP-4","2009-08-10","21,9","165","7,4","=","30","0"
"BLAP-4","2009-09-01","19,7","191","7,8","=","5","0"
"BLAP-4","2009-09-07","20","186","7,9","=","8","0"
"BLAP-4","2009-06-02","13,9","111","7,6","=","13","-1"
"BLAP-4","2009-07-19","20,5","186","8","=","25","-1"
"BLAP-4","2009-08-16","24,3","200","7,8","=","8","-1"
"BLAP-4","2009-08-26","23,3","195","7,7","=","40","-1"
"BLAP-4","2009-09-23","19","217","7,7","=","46","-1"
"BLAP-4","2009-05-18","12,4","138","8,1","=","100","-2"
"BLAP-4","2009-05-24","14,7","144","7,9","=","2","-2"
"BLAP-4","2009-06-21","18,1","209","7,9","=","5","-2"
"BLAP-4","2009-07-06","20,1","198","7,8","=","8","-2"
"BLAP-4","2009-07-13","20,1","193","7,9","=","72","-2"
"BLAP-4.5","2009-06-15","18,3","159","7,3","=","170","1"
"BLAP-4.5","2009-07-29","23,4","162","7,6","=","540","1"
"BLAP-4.5","2009-09-16","18,7","196","7,6","=","16","1"
"BLAP-4.5","2009-05-13","12,8","127","7,7","=","5","0"
"BLAP-4.5","2009-06-09","15,2","130","7,7","=","31","0"
"BLAP-4.5","2009-06-29","20","235","7,9","=","42","0"
"BLAP-4.5","2009-08-04","22,2","208","7,2","=","300","0"
"BLAP-4.5","2009-09-01","20,1","186","7,8","=","15","0"
"BLAP-4.5","2009-09-07","20,4","187","7,8","=","2","0"
"BLAP-4.5","2009-06-02","14,3","112","7,7","=","56","-1"
"BLAP-4.5","2009-07-19","20,8","196","7,7","=","76","-1"
"BLAP-4.5","2009-08-16","25,4","197","7,8","=","8","-1"
"BLAP-4.5","2009-08-26","23,5","194","7,7","=","160","-1"
"BLAP-4.5","2009-09-23","18,8","212","7,6","=","25","-1"
"BLAP-4.5","2009-05-18","12,3","142","7,9","=","73","-2"
"BLAP-4.5","2009-05-24","14,9","144","7,8","=","2","-2"
"BLAP-4.5","2009-06-21","18","209","7,9","=","560","-2"
"BLAP-4.5","2009-07-06","20,1","198","7,8","=","400","-2"
"BLAP-4.5","2009-07-13","20,4","194","7,6","=","400","-2"
"BLAP-4.5","2009-08-10","22,1","167","7,6","=","62","-2"
"BLAP-5.5","2009-06-15","18,2","178","7,5","=","2","1"
"BLAP-5.5","2009-07-29","23,7","181","7,6","=","10","1"
"BLAP-5.5","2009-09-16","18,9","215","7,7","=","5","1"
"BLAP-5.5","2009-05-13","13,7","159","7,8","=","5","0"
"BLAP-5.5","2009-06-09","15,1","160","7,7","=","11","0"
"BLAP-5.5","2009-06-29","19,9","236","7,9","=","12","0"
"BLAP-5.5","2009-08-04","22,1","185","7,4","=","8","0"
"BLAP-5.5","2009-08-10","22,4","193","7,5","=","13","0"
"BLAP-5.5","2009-09-01","20,2","203","7,7","=","8","0"
"BLAP-5.5","2009-09-07","20,7","207","7,8","=","11","0"
"BLAP-5.5","2009-06-02","14","144","7,7","=","3","-1"
"BLAP-5.5","2009-07-19","20,5","213","7,7","=","7","-1"
"BLAP-5.5","2009-08-16","25,1","211","7,7","=","23","-1"
"BLAP-5.5","2009-08-26","23,7","216","7,5","=","31","-1"
"BLAP-5.5","2009-09-23","19,5","229","7,6","=","15","-1"
"BLAP-5.5","2009-05-18","11,5","168","8,1","=","2","-2"
"BLAP-5.5","2009-05-24","15","174","7,6","=","2","-2"
