"Point d'échantillonnage","Date","Température (oC)","Conductivité (µs/cm2)","pH","Signe","Coliformes fécaux (colonies/100mL)","MÉTÉO"
"BLAP-0.5",2005/05/09,"10,3",105,"8,0","=",6,1
"BLAP-0.5",2005/06/20,"19,1",159,"7,4","=",140,1
"BLAP-0.5",2005/06/28,"23,8",226,"7,5","=",6,1
"BLAP-0.5",2005/07/12,"23,2",241,"8,2","=",6,1
"BLAP-0.5",2005/08/02,"23,0",210,"8,0","=",6,1
"BLAP-0.5",2005/08/09,"25,0",209,"8,0","=",46,1
"BLAP-0.5",2005/08/15,"23,1",209,"7,5","=",120,1
"BLAP-0.5",2005/09/05,"18,0",,"7,9","=",6,1
"BLAP-0.5",2005/09/13,"21,6",227,"7,8","=",4,1
"BLAP-0.5",2005/05/02,"8,1",119,"8,1","=",100,0
"BLAP-0.5",2005/05/16,"12,0",147,"8,1","=",6,0
"BLAP-0.5",2005/06/06,"18,3",239,"8,0","=",2,0
"BLAP-0.5",2005/06/14,"19,6",255,"7,9","=",1200,0
"BLAP-0.5",2005/07/05,"24,5",210,"7,6","=",120,0
"BLAP-0.5",2005/05/24,"11,2",158,"7,8","=",30,-1
"BLAP-0.5",2005/05/31,"14,6",206,"7,8","=",14,-1
"BLAP-0.5",2005/08/29,"23,4",181,"7,8","=",54,-1
"BLAP-0.5",2005/07/19,"26,2",233,"8,0","=",34,-2
"BLAP-0.5",2005/07/24,"23,4",267,"7,7","=",8,-2
"BLAP-0.5",2005/08/23,"20,4",154,"7,9","=",6,-2
"BLAP-01",2005/05/09,"11,4",126,"8,1","=",54,1
"BLAP-01",2005/06/20,"18,8",219,"7,3","=",80,1
"BLAP-01",2005/06/28,"24,7",199,"7,4","=",92,1
"BLAP-01",2005/07/12,"23,9",223,"8,0","=",74,1
"BLAP-01",2005/08/02,"23,2",211,"7,9","=",60,1
"BLAP-01",2005/08/09,"24,6",215,"7,8","=",120,1
"BLAP-01",2005/08/15,"23,1",216,"7,4","=",200,1
"BLAP-01",2005/09/05,"19,6",,"8,0","=",140,1
"BLAP-01",2005/09/13,"21,6",204,"7,9","=",120,1
"BLAP-01",2005/05/16,"12,4",122,"8,1","=",76,0
"BLAP-01",2005/06/06,"19,5",235,"7,9","=",72,0
"BLAP-01",2005/06/14,"20,6",247,"7,9","=",2100,0
"BLAP-01",2005/07/05,"23,9",217,"8,5","=",160,0
"BLAP-01",2005/05/24,"12,2",161,"7,8","=",78,-1
"BLAP-01",2005/05/31,"15,7",181,"7,7","=",24,-1
"BLAP-01",2005/08/29,"22,4",175,"7,7","=",130,-1
"BLAP-01",2005/05/02,"8,7",173,"8,8","=",100,-2
"BLAP-01",2005/07/19,"26,9",234,"7,8","=",110,-2
"BLAP-01",2005/07/24,"24,3",281,"7,2","=",260,-2
"BLAP-01",2005/08/23,"20,4",184,"7,8","=",140,-2
"BLAP-1",2005/05/09,"9,9",108,"7,9","=",8,1
"BLAP-1",2005/06/20,"19,5",162,"7,5","=",20,1
"BLAP-1",2005/06/28,"24,0",230,"7,6","=",2,1
"BLAP-1",2005/07/12,"23,8",243,"8,2","=",6,1
"BLAP-1",2005/08/02,"23,5",220,"8,2","=",16,1
"BLAP-1",2005/08/09,"25,1",227,"8,1","=",6,1
"BLAP-1",2005/08/15,"23,7",222,"7,8","=",88,1
"BLAP-1",2005/09/05,"20,4",,"7,9","=",6,1
"BLAP-1",2005/09/13,"22,3",250,"7,8","=",10,1
"BLAP-1",2005/05/02,"7,8",113,"7,9","=",48,0
"BLAP-1",2005/05/16,"11,7",163,"8,1","=",12,0
"BLAP-1",2005/06/06,"18,6",235,"8,0","=",8,0
"BLAP-1",2005/06/14,"19,7",254,"7,9","=",5900,0
"BLAP-1",2005/07/05,"24,5",213,"7,8","=",240,0
"BLAP-1",2005/05/24,"11,4",168,"7,8","=",18,-1
"BLAP-1",2005/05/31,"14,5",214,"7,9","=",6,-1
"BLAP-1",2005/08/29,"23,5",257,"7,9","=",16,-1
"BLAP-1",2005/07/19,"26,2",234,"8,1","=",32,-2
"BLAP-1",2005/07/24,"23,3",245,"7,8","=",52,-2
"BLAP-1",2005/08/23,"20,5",194,"7,7","=",10,-2
"BLAP-10",2005/05/09,"10,2",172,"7,8","=",2,1
"BLAP-10",2005/06/20,"21,7",220,"7,7","=",280,1
"BLAP-10",2005/06/28,"26,1",329,"7,7","=",110,1
"BLAP-10",2005/07/12,"24,2",367,"8,2","=",460,1
"BLAP-10",2005/08/02,"25,7",386,"8,2","=",680,1
"BLAP-10",2005/08/09,"27,1",343,"8,3","=",5400,1
"BLAP-10",2005/08/15,"25,5",317,"8,2","=",220,1
"BLAP-10",2005/09/05,"21,4",,"7,8","=",560,1
"BLAP-10",2005/09/13,"23,5",383,"7,9","=",68,1
"BLAP-10",2005/05/02,,,,,,0
"BLAP-10",2005/05/16,"12,8",236,"8,0","=",28,0
