"Point d'échantillonnage","Date","%OD","O2 (mg/L)","Conductivité (µs/cm2)","pH","Température (oC)","Signe COLI","COLI","MÉTÉO","Ag (µg/L)","Al (µg/L)","As (µg/L)","Ba (µg/L)","Be (µg/L)","Ca (µg/L)","Cd (µg/L)","Co (µg/L)","COT (µg/L)","Cr (µg/L)","Cu (µg/L)","Fe (µg/L)","K (µg/L)","Mg (µg/L)","Mn (µg/L)","Mo (µg/L)","Na (µg/L)","NH3 (µg/L)","Ni (µg/L)","Ptot (µg/L)","Pb (µg/L)","MES  (mg/L)","Sb (µg/L)","Se (µg/L)","U (µg/L)","V (µg/L)","Zn (µg/L)"
"BRU-1","2013-10-28  09:38:10","95","11,46","1590","8,5","7,2","=","18","0","0,1","30,2","0,2","77,1","0,1","102000","0,1","0,1","4,9","0,3","0,5","168","6670","48900","6","3,6","139000","20","0,9","17","0,2","1,9","0,5","0,5","0,5","0,6","3"
"CAS-1","2013-07-23  10:32:16","116","9,47","483","8,4","25,5","<","100","0","0,1","61,6","0,6","44","0,1","50100","0,1","0,1","2,3","0,3","2,35","55,9","3200","9090","1,4","2,5","27200","20","1,4","5","0,2","0,6","0,5","0,5","1","0,5","3"
"CAS-1","2013-08-13  10:07:36","117","10,12","355","8,8","23","=","27","0","0,1","65,5","0,6","35,5","0,1","33400","0,1","0,1","2,3","0,3","1,84","60,9","2720","8890","1,2","2,5","25500","20","0,8","6","0,2","3","0,5","0,5","0,9","0,2","3"
"CAS-1","2013-09-16  10:07:14","94","9,08","371","8,5","17,3","=","63","0","0,1","112","0,8","35,1","0,1","31900","0,1","0,1","2,2","0,8","3,45","114","2810","9800","5","2,6","25800","20","0,9","10","0,2","3,3","0,5","0,5","0,8","0,2","3"
"CAS-1","2013-10-15  10:12:28","102","10,27","393","8,4","15,2","=","27","-1","0,1","101","0,6","37,8","0,1","31700","0,1","0,1","2,7","0,3","3,22","102","2860","9160","4,2","2,6","23700","20","0,9","13","0,2","2,4","0,5","0,5","0,8","0,2","3"
"CEN-1","2013-04-09  13:01:12","101","13,17","500",,"3,9","<","10","0","0,1","20","0,2","19","0,1","38000","0,1","0,1","1,9","1","1,1","60","1200","8500","7,6","1","44000","38","0,7","60","0,2","6","0,5","0,5","0,4","0,3","4,2"
"CEN-1","2013-05-07  14:35:24","130","12,75","1445","8,1","22,8","<","10","1","0,1","85","0,3","51","0,1","97000","0,1","0,2","3,3","0,7","1,7","150","3200","25000","5,3","1,5","150000","20","1,9","28","0,2","7,9","0,5","0,5","1,4","0,6","3"
"CEN-1","2013-05-29  14:06:47","125","12,26","1009","8,2","17,2","=","45","0","0,1","77","0,4","43","0,1","72000","0,1","0,2","4,7","0,9","1,8","210","2700","18000","13","1,4","100000","20","1,8","63","0,5","11","0,5","0,5","1","0,8","4,1"
"CEN-1","2013-07-02  14:08:18","102","9,17","767","8,1","20,7","=","210","1","0,1","150","0,5","41","0,1","66000","0,1","0,2","4,2","0,7","1,3","300","2400","14000","19","1,1","57000","70","1,5","63","0,4","12,9","0,5","0,5","0,7","1","3,4"
"CEN-1","2013-08-07  13:41:55",,,"653","8,5","25","=","27","1","0,1","141","0,5","37,8","0,1","55900","0,1","0,1","5,3","0,8","2,16","304","2660","13500","15,2","1","50800","20","1,8","58","0,6","15,8","0,5","0,5","0,6","0,8","8,3"
"CEN-1","2013-09-10  15:05:38","108","10,13","634","8,2","18,6","=","140","0","0,1","67,6","0,5","32,5","0,1","61100","0,1","0,1","4,8","0,7","0,5","214","2740","13900","16,2","1","50500","20","1,4","62","0,2","9,4","0,5","0,5","0,6","0,7","3"
"CEN-1","2013-10-28  14:13:03","107","12,6","833","8,2","8,8","=","72","0","0,1","150","0,5","45,8","0,1","75000","0,1","0,1","4,2","0,3","1,44","250","3310","15400","15,1","1","71500","77","2","61","1","14","0,5","0,5","0,8","1,1","3"
"CGO-0.0","2013-04-09  14:38:32","84","11,37","475","8","2,2","=","27","0","0,1","260","0,4","31","0,1","44000","0,1","0,8","16,2","1,1","4,2","590","4800","14000","100","1","28000","710","2,3","230","0,7","6,2","0,5","0,5","1,2","1","8"
"CGO-0.0","2013-05-15  14:40:19","76","7,72","873","7,5","14,6","=","54","1","0,1","46","0,5","40","0,1","81000","0,1","0,3","11,3","0,8","0,83","650","2500","30000","130","1,1","68000","20","1,8","91","0,4","4,4","0,5","0,5","1,4","0,4","3,6"
"CGO-0.0","2013-06-10  14:41:30","75","6,88","712","7,7","18,6","<","10","-2","0,1","13","0,6","35","0,1","68000","0,1","0,2","11","0,8","0,73","380","1200","24000","54","1","50000","20","1,4","88","0,2","1,5","0,5","0,6","1","0,4","3"
"CGO-0.0","2013-09-16  14:58:06","69","6,93","475","8","13,6","=","280","0","0,1","245","0,7","34,6","0,1","46000","0,1","0,5","29,9","1,1","6,91","1190","11300","12600","92","1","30300","46","2,5","453","1,9","11,2","0,5","0,5","0,4","1,2","18,8"
"CLA-0.0","2013-05-22  13:07:32","98","9,57","90","7,8","16,3","=","160","-1","0,1","230","0,5","16","0,1","9000","0,1","0,1","7,7","1","2,2","350","800","2000","40","1","4200","20","0,8","30","0,5","4,6","0,5","0,5","0,1","0,7","5,5"
"CLA-0.0","2013-07-10  14:36:36","115","9,56","160","8,6","24,8","=","81","0","0,1","105","0,6","20","0,1","17100","0,1","0,1","5,8","0,8","1,68","190","999","3810","20,9","1","6930","20","0,6","31","0,4","5,2","0,5","0,5","0,1","0,7","3"
