"Point d'échantillonnage","Date","%OD","O2 (mg/L)","Conductivité (µs/cm2)","pH","Température (oC)","Signe COLI","COLI","MÉTÉO","Ag (µg/L)","Al (µg/L)","As (µg/L)","Ba (µg/L)","Be (µg/L)","Ca (µg/L)","Cd (µg/L)","Co (µg/L)","COT (µg/L)","Cr (µg/L)","Cu (µg/L)","Fe (µg/L)","K (µg/L)","Mg (µg/L)","Mn (µg/L)","Mo (µg/L)","Na (µg/L)","NH3 (µg/L)","Ni (µg/L)","Ptot (µg/L)","Pb (µg/L)","MES  (mg/L)","Sb (µg/L)","Se (µg/L)","U (µg/L)","V (µg/L)","Zn (µg/L)"
"DEN-2.6","2013-07-02  13:04:33","124","11,94","1940","7,8","17,1","=","25000","1","0,1","1100","0,7","82","0,1","150000","0,1","1,3","5,6","3,3","5,8","1700","6200","36000","90","3","200000","37","4,5","150","2,1","75,5","0,5","0,5","1,6","3,5","36"
"DEN-2.6","2013-08-07  12:22:44",,,"1693","8,4","22,6","=","26000","1","0,1","158","0,2","61","0,1","109000","0,1","0,3","4,3","1,2","3,91","469","4680","29000","18,7","3,3","50000","20","2,1","60","0,6","18,6","0,5","0,5","1","1,4","10,7"
"DEN-2.6","2013-09-10  14:02:08","99","9,18","434","8,3","18,6","=","5200","0","0,1","101","0,2","20,7","0,1","39800","0,1","0,1","5,9","1,1","5,05","250","1780","7470","16,5","1","35100","20","1","47","0,2","3,6","0,5","0,5","0,2","2,4","19,1"
"DEN-2.6","2013-10-28  13:24:43","96","10,67","459","8,1","10,6","=","11000","0","0,1","552","0,4","28,7","0,1","38100","0,1","0,6","7","2,6","9,05","630","2220","7730","24,3","2,1","36000","81","1,8","80","1,9","15,2","0,5","0,5","0,3","2,1","41"
"DEN-3.2","2013-04-09  14:04:06","103","12,5","1232","7,9","6,9","=","3300","0","0,1","420","0,4","51","0,1","80000","0,2","1,1","3,7","3,6","8,7","740","2900","19000","31","2,2","130000","120","2,8","71","1,9","24","2,1","0,5","1","1,5","38"
"DEN-3.2","2013-05-07  13:03:18","121","12,15","1343","7,7","15","=","1300","1","0,1","730","0,5","52","0,1","94000","0,1","1,4","3,8","2,1","5,7","1300","3400","24000","50","1,4","150000","85","2,8","75","2,4","31","0,5","0,5","0,7","2,1","17"
"DEN-3.2","2013-05-29  12:19:43","92","9,54","1689","7,7","13","=","11000","0","0,1","110","0,3","53","0,1","120000","0,1","1,2","10,9","1,5","5,1","450","4400","30000","38","3,1","200000","120","2,3","99","2,7","11","0,5","0,5","1,3","1","26"
"DEN-3.2","2013-07-02  12:03:51","116","11,39","1901","7,6","16,2","=","13000","1","0,1","53","0,3","66","0,1","130000","0,1","0,3","5,5","0,7","4,6","360","5000","30000","26","2,6","210000","20","1,9","61","0,4","4,4","0,5","0,5","1,1","0,8","20"
"DEN-3.2","2013-08-07  11:43:05","104","9,33","1731","7,8","20,6","=","34000","1","0,1","22,1","0,2","57,9","0,1","111000","0,1","0,1","6","0,6","3,35","318","4320","27300","20,7","2,4","50000","20","1,8","67","0,2","3,4","0,5","0,5","0,8","0,7","11,6"
"DEN-3.2","2013-09-10  12:24:27","82","7,73","1015","7,7","18,1","=","22000","0","0,1","332","0,5","45,3","0,1","77900","0,1","0,8","12,4","2,3","18,8","874","3260","15000","46,3","1","100000","160","2,6","219","3,1","31,8","0,5","0,5","0,5","3,1","70,1"
"DEN-3.2","2013-10-28  12:33:27","95","10,38","407","8","11,1","=","10000","0","0,1","648","0,4","26,8","0,1","33900","0,1","0,6","8,3","2,7","9,68","712","2070","6740","21,4","1","28900","150","1,7","92","2,1","19,6","0,5","0,5","0,3","2,5","45,7"
"IDS-1","2013-05-15  10:15:21","100","10,01","634","8,1","15,2","<","10","1","0,1","5,7","0,6","67","0,1","65000","0,1","0,1","4,9","0,4","0,5","60","3000","22000","28","1","36000","20","0,5","19","0,2","0,7","0,5","0,5","0,8","0,4","3"
"IDS-1","2013-06-10  10:04:59","113","10,39","562","8,3","19,5","=","18","-2","0,1","5","0,7","23","0,1","49000","0,1","0,1","6,1","0,4","0,5","33","2200","18000","13","1,4","31000","20","0,5","15","0,2","0,6","0,5","0,5","0,6","0,2","3"
"IDS-1","2013-07-23  11:01:07","84","6,93","547","8,1","24,7","=","300","0","0,1","5","0,7","29,2","0,1","46300","0,1","0,1","6,3","0,3","0,5","10","1910","18300","10,5","1","31400","20","0,5","14","0,2","0,5","0,5","0,5","0,3","0,2","3"
"IDS-1","2013-08-13  10:34:39","102","8,65","486","8,4","23,3","=","350","0","0,1","5","0,8","36,5","0,1","47700","0,1","0,1","5,7","0,3","0,5","21,1","2060","18700","12,4","1","32500","20","0,5","16","0,2","1","0,5","0,5","0,4","0,2","3"
"IDS-1","2013-09-16  10:37:51","75","7,37","517","8,1","15,6","=","120","0","0,1","5","0,8","32,9","0,1","48000","0,1","0,1","6,7","0,3","0,5","34,4","2510","18000","14,7","1","30000","20","0,5","19","0,2","2","0,5","0,5","0,3","0,2","3"
"IDS-1","2013-10-15  10:42:43","49","4,88","552","7,8","14,9","<","10","-1","0,1","5","0,7","38,5","0,1","51000","0,1","0,1","6,9","0,3","0,5","26,2","3150","17500","33,8","1","28700","20","0,5","18","0,2","1","0,5","0,5","0,4","0,2","3"
"IDS-2","2013-04-09  10:28:46","58","7,88","167","7,8","2,3","<","10","0","0,1","27","0,2","17","0,1","17000","0,1","0,1","3,5","0,4","1,7","73","1400","4200","180","1","5600","33","0,5","29","0,5","2,1","0,5","0,5","0,1","0,4","3"
"IDS-2","2013-05-15  10:29:53","95","9,47","515","8","15,4","=","18","1","0,1","15","0,7","42","0,1","65000","0,1","0,1","6,7","0,4","0,5","57","5200","16000","70","1","21000","20","0,8","31","0,2","1,8","0,5","0,5","0,5","0,5","3"
"IDS-2","2013-06-10  10:21:32","119","10,94","494","8,3","19,5","=","18","-2","0,1","5,6","0,8","39","0,1","57000","0,1","0,1","7,6","0,6","0,5","59","4600","14000","71","1","19000","20","0,7","28","0,2","1,4","0,5","0,5","0,5","0,5","3"
"IDS-2","2013-07-23  11:17:25","104","8,63","468","8,2","25","<","100","0","0,1","20,3","1,4","41,8","0,1","53100","0,1","0,1","9,5","0,3","5,92","80,1","4640","13700","68,9","1","18200","20","0,6","58","0,2","6,8","0,5","0,5","0,3","0,7","3"
"IDS-2","2013-08-13  10:46:47","87","7,39","431","8","23,6","=","170","0","0,1","16,1","1,5","40,1","0,1","55600","0,1","0,1","9,6","0,3","0,5","72,6","4700","14800","96","1","19900","20","0,6","58","0,2","4,1","0,5","0,5","0,3","0,6","3"
"IDS-2","2013-09-16  10:48:25","75","7,17","461","8","17,5","=","36","0","0,1","31,9","1,5","38,8","0,1","56300","0,1","0,1","8,1","0,3","0,5","162","4820","15100","301","1","20200","20","0,7","106","0,2","3,9","0,5","0,5","0,3","0,9","3"
"IDS-2","2013-10-15  10:59:23",,,"488","7,8","15,5","=","18","-1","0,1","29,5","1,1","40,6","0,1","55700","0,1","0,1","8,1","0,3","0,5","160","4690","14100","236","1","19000","20","0,9","62","0,2","3,6","0,5","0,5","0,3","0,7","3"
"JAM-0.0","2013-03-12  11:40:43","92","12,23","1554","7,7","3,4","=","370","0","0,2","490","0,5","53","0,1","84000","0,1","0,6","5,2","2,6","7,3","780","3700","20000","40","1,4","190000","120","2,7","79","1,9","18","0,5","0,5","0,8","1,7","39"
"JAM-0.0","2013-04-24  10:56:37","116","13,96","2010","8","7,4","=","230","1","0,1","62","0,2","58","0,1","150000","0,1","0,2","2,5","0,8","1,7","210","4200","37000","25","1,6","220000","20","1,7","28","0,2","3","0,5","0,5","1,6","0,5","7"
"JAM-0.0","2013-05-22  11:03:59","89","9,34","1616","7,8","12,6","=","53000","-1","0,1","75","0,3","46","0,1","90000","0,1","0,2","5,4","1,5","6","200","4000","25000","23","1,5","190000","34","1,9","48","0,6","3,4","0,5","0,5","0,7","1,5","37"
"JAM-0.0","2013-07-10  11:07:09","96","9,09","1859","7,9","17,6","=","4000","-2","0,1","59,4","0,5","62,1","0,1","131000","0,1","0,1","2,5","0,7","2,27","212","5300","34900","19,6","2,4","50000","20","1,6","130","0,2","4,2","0,5","0,5","1,3","0,9","8,9"
"JAM-0.0","2013-08-19  11:36:07","111","10,29","1309","8","18,9","=","4400","1","0,1","47,2","0,2","41,4","0,1","91500","0,1","0,1","2,3","0,7","1,92","159","3920","24300","9,4","1","50000","20","1,2","28","0,2","2,2","0,5","0,5","0,6","1","3"
"JAM-0.0","2013-09-23  11:41:13",,,"1876","8,4","14,9","=","3500","-1","0,1","21,3","0,2","59,1","0,1","115000","0,1","0,1","3,3","0,3","2,37","108","5090","32700","5,5","1","219000","20","1,4","38","0,2","1,3","0,5","0,5","1,1","0,6","6,5"
"JAM-1.3","2013-03-12  12:00:16","102","12,96","1386","7,8","4,4","=","1600","0","0,1","2800","0,9","78","0,13","98000","0,11","2,2","3,5","7,9","13","3800","3900","20000","98","1,4","170000","78","7,5","140","8","98","0,5","0,5","1","6,1","49"
"JAM-1.3","2013-04-24  11:09:11","106","12,17","1279","8,1","9,4","=","27","1","0,1","25","0,2","63","0,1","140000","0,1","0,1","2,5","0,6","1,5","210","2900","28000","18","1","96000","20","1,2","12","0,2","1","0,5","0,5","1,1","0,3","5,7"
"JAM-1.3","2013-05-22  11:16:08","89","9,29","887","8","12,9","=","90","-1","0,1","42","0,3","49","0,1","91000","0,1","0,1","5","0,7","4,4","200","2700","17000","14","1","60000","20","1,8","29","0,3","1","0,5","0,5","0,6","0,7","7,8"
"JAM-1.3","2013-07-10  11:19:17","93","8,73","1126","7,9","18,3","=","240","-2","0,1","26,4","0,2","65,5","0,1","127000","0,1","0,1","2,8","0,3","1,62","125","2950","21900","9","1","76000","20","1","28","0,2","2","0,5","0,5","0,9","0,6","3"
"JAM-1.3","2013-08-19  11:48:38","105","9,87","1057","8,1","18,1","=","2800","1","0,1","26,9","0,2","63","0,1","122000","0,1","0,1","3,9","0,3","1,66","82,3","2990","22100","4,4","1","74900","20","0,8","19","0,2","1,2","0,5","0,5","0,8","0,5","3"
"JAM-1.3","2013-09-23  11:54:03",,,"1398","8,3","12,9","=","820","-1","0,1","19,7","0,2","64,8","0,1","121000","0,1","0,1","1,8","0,3","1,09","91,3","2850","22900","3,4","1","122000","20","0,9","16","0,2","0,7","0,5","0,5","0,9","0,5","3"
"JAM-1.3","2013-10-22  11:55:25","88","9,41","1532","8,2","11,5","=","360","0","0,1","234","0,6","72,4","0,1","122000","0,1","0,2","4,3","1,1","6,85","427","3830","19800","18,2","1","210000","27","2,2","56","1","10,2","0,5","0,5","0,9","1,6","21,1"
"LAF-1","2013-07-23  09:50:06","107","8,89","292","8,5","24,7","=","260","0","0,1","14,3","0,9","24,8","0,1","29700","0,1","0,1","3","0,3","4,78","36,7","1510","7580","14","1","13400","20","0,5","21","0,2","0,8","0,5","0,5","0,2","0,5","3"
"LAF-1","2013-08-13  09:01:56","95","8,48","262","8,5","20,2","=","170","0","0,1","13,1","0,9","23,2","0,1","27000","0,1","0,1","2,8","0,3","34,7","30,2","1450","8180","12,2","1","14900","20","0,5","18","0,2","1","0,5","0,5","0,2","0,2","3"
"LAF-1","2013-09-16  09:43:49","96","9,37","295","8,5","16,2","=","450","0","0,1","13,1","0,8","23,1","0,1","28900","0,1","0,1","3,1","0,3","5,92","24,6","1600","8540","8,4","1","14900","20","0,5","16","0,2","1","0,5","0,5","0,2","0,2","3"
"LAF-1","2013-10-15  09:41:21","95","9,53","296","8","15,3","=","18","-1","0,1","12,3","0,6","22,9","0,1","30200","0,1","0,1","2,9","0,3","4,27","21,1","1590","8340","4,5","1","14100","20","0,5","12","0,2","0,7","0,5","0,5","0,3","0,2","3"
"MEA-0.4","2013-03-12  11:24:42","89","11,38","1684","7,8","4,7","=","2400","0","0,2","14000","5,1","270","1,1","280000","0,26","17","3,2","31","55","37000","7400","41000","860","1,7","220000","37","49","1500","15","820","0,5","0,6","2,4","30","110"
"MEA-0.4","2013-04-24  10:42:12","130","14,91","1421","7,9","10,3","<","10","1","0,1","41","0,2","56","0,1","120000","0,1","0,2","2,5","0,6","1,6","150","3400","35000","17","4,1","130000","20","2,1","20","0,3","3,2","0,5","0,5","1,8","0,4","5,7"
"MEA-0.4","2013-05-22  10:50:42","78","8,26","986","7,7","12,8","=","410","-1","0,1","47","0,3","45","0,1","89000","0,1","0,2","4,3","0,7","3","200","2900","23000","52","4,7","68000","52","2,1","42","0,4","3,4","0,5","0,5","1,2","0,7","13"
"MEA-0.4","2013-07-10  10:50:09","87","8,24","1227","7,7","17,8","=","1600","-2","0,1","59,8","0,2","60,3","0,1","112000","0,1","0,1","2,4","0,3","2,53","205","3440","29000","20","5,1","94800","61","2","44","0,6","5,1","0,5","0,5","1,5","0,8","8,8"
"MEA-0.4","2013-08-19  11:17:27","114","10,58","1176","8,1","18,5","=","910","1","0,1","74,2","0,2","60,7","0,1","114000","0,1","0,1","2,1","0,8","2,01","204","3830","30700","14,8","4,7","96400","20","2","41","0,6","4,8","0,5","0,5","1,4","0,7","6,7"
"MEA-0.4","2013-09-23  11:26:20",,,"1228","8,2","13,9","=","3100","-1","0,1","54,6","0,2","60,9","0,1","108000","0,1","0,1","2,3","0,3","2,26","167","3550","29300","11,9","4,3","94000","20","2,1","32","0,5","3,1","0,5","0,5","1,6","0,6","7,5"
"MEA-0.4","2013-10-22  11:18:59","52","5,37","1016","8","12,4","=","510","0","0,1","30,7","0,2","58,7","0,1","101000","0,1","0,1","9,7","0,3","5,51","139","3680","25100","38,2","4,7","93600","57","2","39","0,2","1","0,5","0,5","1,3","0,6","8,6"
"MON-0.0","2013-04-09  12:54:52","101","13,2","1685","8,2","4,2","=","11000","0","0,3","1500","0,8","54","0,1","57000","0,16","1,5","5","5,1","14","2000","2900","8700","75","1,8","270000","260","5,6","230","6,1","74","0,61","0,9","0,5","4,5","54"
"MON-0.0","2013-05-15  12:56:09","105","11,25","564","8,1","12,2","=","27","1","0,1","240","0,4","27","0,1","30000","0,1","0,2","5,7","1,2","2","390","1700","6300","26","1,1","68000","170","1,2","39","0,5","5,8","0,5","0,5","0,3","1","4,7"
"MON-0.0","2013-06-10  12:45:58","99","9,64","655","8,1","16,8","=","180","-2","0,1","280","0,5","39","0,1","48000","0,1","0,4","4,7","1,7","4","560","2400","9000","34","1,7","62000","24","1,7","74","1,3","15","0,5","0,5","0,4","1,4","12"
"MON-0.0","2013-07-23  13:00:27","99","8,82","566","7,9","20,9","=","220","0","0,1","328","0,6","51,4","0,1","49200","0,1","0,4","4,7","1,9","4,37","590","2590","8820","32,1","1","47500","20","1,9","72","1,7","16,8","0,5","0,5","0,4","1,7","12,7"
"MON-0.0","2013-08-13  13:04:09","95","8,38","21","8",,"=","450","0","0,1","649","0,7","53","0,1","46900","0,1","0,7","4","4,2","9,24","1070","2700","9320","54,9","1","46100","20","3,3","157","3,1","40,6","0,5","0,5","0,3","2,8","23"
"MON-0.0","2013-09-16  13:03:59","98","9,8","547","8,1","15,5","=","820","0","0,1","273","0,6","50","0,1","46800","0,1","0,3","4,3","2","4,39","520","2840","9810","28","1","45700","20","1,9","82","1,5","18,3","0,5","0,5","0,4","1,3","12,1"
"MON-0.0","2013-10-15  13:59:16","89","8,95","591","8","14,9","=","130","-1","0,1","90,1","0,5","43,4","0,1","49600","0,1","0,1","4,8","0,8","3,05","240","2750","10500","20","1","46400","20","1,4","49","0,5","4,6","0,5","2,3","0,4","0,6","3"
"MON-2.8","2013-04-09  14:08:48","100","12,79","2215","8,2","4,6","<","10","0","0,2","1200","0,8","54","0,1","65000","0,16","1,3","5,6","4,4","14","1600","3500","11000","74","3,4","360000","310","4,7","240","5","56","0,7","0,9","0,6","3,6","52"
"MON-2.8","2013-05-15  12:41:24","94","9,91","1132","7,9","12,6","=","140","1","0,1","220","0,5","48","0,1","55000","0,1","0,5","3,4","2,1","8,6","390","3000","11000","38","2,2","150000","37","2,6","77","1,4","14","0,5","0,5","0,4","1,4","19"
"MON-2.8","2013-06-10  11:43:38","96","9,08","701","8,1","17,4","=","110","-2","0,1","320","0,5","40","0,1","50000","0,1","0,5","4,4","1,8","6,2","610","2600","9000","42","2,1","70000","20","1,8","84","1,9","23","0,5","0,5","0,4","1,6","18"
"MON-2.8","2013-07-23  12:40:50","83","7,38","499","8","21,6","=","910","0","0,1","424","0,6","62,7","0,1","44600","0,1","0,5","5,4","2,1","10,2","775","2690","7980","42,2","1","43500","20","4,2","97","2,9","30,2","0,5","0,5","0,3","2,1","28,2"
"MON-2.8","2013-08-13  12:44:04","87","7,69","426","8","21,3","=","3300","0","0,1","564","0,7","50,9","0,1","43400","0,1","0,6","7,3","3,4","9,66","906","2640","7700","58,4","1","39900","20","2,4","177","2,7","42","0,5","0,5","0,3","2,7","29,7"
"MON-2.8","2013-09-16  12:43:00","83","8,18","458","8,1","16,1","=","4800","0","0,1","474","0,6","48","0,1","44700","0,1","0,5","5","2,2","6,66","739","2680","7800","42,6","1","36900","76","1,9","125","2,3","36,5","0,5","0,5","0,3","1,9","21,8"
"MON-2.8","2013-10-15  13:43:10","82","8,1","583","8","16","=","530","-1","0,1","232","0,6","68,3","0,1","48000","0,1","0,3","7","1,5","6,43","475","2810","9350","39","1","45000","46","1,6","96","1,4","18,2","0,5","2,9","0,4","1,3","15,2"
"MON-4.0","2013-04-09  11:24:25","99","12,56","532","8,2","5","=","1300","0","0,1","5400","0,9","70","0,19","40000","0,1","2,8","4","13","15","5200","3300","9200","100","1","60000","250","8,8","190","4","73","0,5","0,5","0,5","11","51"
"MON-4.0","2013-05-15  11:11:58","89","8,97","1029","7,8","14,7","=","45","1","0,1","120","0,6","59","0,1","59000","0,1","0,4","5,3","1,5","7,3","430","3500","15000","48","1,2","120000","20","2,7","87","1,6","16","0,53","0,5","0,7","1,3","17"
"MON-4.0","2013-06-10  11:14:04","99","9,42","625","8","17,8","=","370","-2","0,4","160","0,6","43","0,1","51000","0,1","0,3","4,7","1,4","6,5","540","2600","10000","38","1","52000","40","1,6","130","1,8","23","0,5","0,5","0,5","1,2","16"
"MON-4.0","2013-07-23  12:05:58","77","6,62","623","7,7","22,8","=","15000","0","0,1","231","0,7","59,2","0,1","58400","0,1","0,4","5,7","1,7","9,3","694","3250","11500","49,3","1","52600","110","3,1","110","2,5","28","0,5","0,5","0,5","1,8","23"
"MON-4.0","2013-08-13  11:31:21","130","11,36","553","8,2","23,4","=","430","0","0,1","91,2","1","65,3","0,1","46600","0,1","0,5","9,6","0,8","2,85","342","3630","12100","46,8","1","58500","20","5,7","164","1,1","22,4","0,5","0,5","0,5","1,1","3"
"MON-4.0","2013-09-16  11:30:06","81","7,69","462","8","18,1","=","4000","0","0,3","114","0,6","38,8","0,1","46900","0,1","0,2","4","0,9","3,7","382","2550","9290","33,3","1","36700","170","1,2","82","0,9","12,6","0,5","0,5","0,4","1","10,8"
"MON-4.0","2013-10-15  12:24:21","61","6,05","565","7,8","15,5","=","1600","-1","0,1","72,1","0,5","46,8","0,1","48800","0,1","0,2","6","0,3","3,62","423","3110","9830","50,7","1","44300","160","1,6","79","0,7","10,2","0,5","0,5","0,4","0,7","8,9"
"MON-i","2013-04-09  14:08:48","98","12,58","2419","8,1","4,4","=","19000","0","0,1","1100","0,7","52","0,1","68000","0,13","1,2","6,6","4,7","14","1400","4100","9800","86","2,6","420000","400","4,2","220","3,7","61","0,71","0,8","0,6","3,5","47"
"MON-i","2013-05-15  11:27:33","96","11,14","899","8","8,5","=","640","1","0,1","130","0,4","35","0,1","47000","0,1","0,3","2,7","2,5","12","200","2400","7500","20","1,6","120000","47","1,8","66","0,7","7,4","0,5","0,5","0,3","0,9","12"
"MON-i","2013-06-10  11:32:44","103","11,11","662","8,1","11,8","=","1500","-2","0,1","400","0,5","32","0,1","45000","0,1","0,5","4,1","1,7","10","590","2100","7800","31","1,7","63000","26","1,7","76","1,4","17","0,5","0,5","0,4","1,5","15"
"MON-i","2013-07-23  12:26:25",,,,,,"=","360","0","0,1","246","0,6","52,1","0,1","42300","0,1","0,4","3,8","1,8","9,32","514","2630","7590","35,5","1","41800","20","4,8","99","1,7","18","0,5","0,5","0,3","1,5","19,4"
"MON-i","2013-08-13  11:46:39","93","8,29","389","8,2","20,6","=","4100","0","0,1","610","0,7","46,3","0,1","40200","0,1","0,6","9,1","3,4","10,8","914","2500","6870","54,2","1","35400","23","2,4","177","2,7","38,8","0,5","0,5","0,2","2,8","31,6"
"MON-i","2013-09-16  11:46:16","90","8,98","419","8,2","15,6","=","2000","0","0,1","378","0,5","37,1","0,1","39300","0,1","0,4","5,4","1,7","7,29","530","2740","6660","31,3","1","32800","54","1,6","126","1,7","24,3","0,5","0,5","0,3","1,7","23,7"
"MON-i","2013-10-15  12:41:47","89","8,71","585","8","16,1","=","540","-1","0,1","150","0,6","65,1","0,1","46700","0,1","0,3","6","1,1","5,94","411","2980","9730","41,4","1","45500","70","1,5","99","1,1","13,4","0,5","2,2","0,4","1","13,4"
"PAP-1","2013-04-09  14:08:48","88","11,57","484","7,9","3,8","<","10","0","0,1","170","0,4","33","0,1","42000","0,1","0,2","5,5","1","1,8","460","4400","19000","62","1","27000","310","1,1","81","0,2","3","0,5","0,5","1,8","0,9","4,5"
"PAP-1","2013-05-15  14:07:32","124","12,4","628","8,4","15","<","10","1","0,1","9","1,1","32","0,1","46000","0,1","0,1","11,4","0,5","0,69","67","5100","28000","19","1","46000","20","1,2","100","0,2","3,8","0,5","0,5","2,2","1,6","3"
"PAP-1","2013-06-10  14:12:04","85","7,63","518","8,1","20","=","27","-2","0,1","18","1,1","25","0,1","30000","0,1","0,2","14,5","0,7","0,77","180","2700","22000","37","1","38000","20","1,1","23","0,2","2,8","0,5","0,5","0,9","0,9","3"
"PAP-1","2013-07-23  15:55:40",,,,,,"=","270","0","0,1","38,9","2,9","38,7","0,1","35100","0,1","0,1",,"1","0,5","492","2860","23000","317","1","32900","20","1,6",,"0,2",,"0,5","0,5","0,1","0,7","3"
"PAP-golf","2013-04-09  14:18:30","90","11,68","472","7,9","3,9","=","27","0","0,1","280","0,4","27","0,1","44000","0,1","0,5","8,6","1,1","2,9","730","3700","19000","120","1","24000","180","1,6","120","0,3","5","0,5","0,5","2,5","1","110"
"PAP-golf","2013-05-15  14:21:36","82","8,73","632","7,7","12,3","<","10","1","0,1","120","0,5","26","0,1","58000","0,1","0,3","7,2","0,9","1,5","480","3400","26000","110","1","33000","26","2","110","0,2","7,5","0,5","0,5","2,4","0,9","3"
"PAP-golf","2013-06-10  14:23:01","76","7,18","741","7,9","17,8","=","54","-2","0,1","70","0,8","24","0,1","65000","0,1","0,3","11,6","0,7","1,7","350","4400","33000","70","1","39000","20","2,1","130","0,2","2","0,5","0,5","3,6","1,4","3"
"PAP-golf","2013-09-16  14:39:55","77","8,28","394","8,1","11,7","=","2500","0","0,1","381","0,7","30,6","0,1","43800","0,1","0,4","26,9","1,3","9,62","623","11400","13600","12,2","1","14800","20","3","261","0,4","10,6","0,5","0,5","0,9","1,5","10,1"
"PAQ-1","2013-04-09  09:45:11","80","11,4","126","9,3","0,8","<","10","0","0,1","52","1,7","9,2","0,1","11000","0,1","0,1","2,6","0,8","1,5","250","970","1300","27","1","9900","20","0,5","44","0,3","3,2","0,5","0,5","0,2","0,2","14"
"PAQ-1","2013-05-07  09:47:53","65","5,87","355","7,6","20,1","<","10","1","0,1","260","1,2","27","0,1","25000","0,1","0,2","4,5","1","0,83","1100","2700","3800","150","1","34000","20","0,6","70","0,5","14","0,5","0,5","0,1","1,3","6,3"
"PAQ-1","2013-05-29  09:45:21","79","7,69","440","7,8","16,5","=","63","1","0,1","180","1","25","0,1","27000","0,1","0,1","5","0,9","0,88","630","1800","4000","31","1","49000","20","0,6","34","0,3","6,4","0,5","0,5","0,1","0,8","4,1"
"PAQ-1","2013-07-02  09:47:08","99","9,13","347","8,1","19,3","=","120","1","0,1","87","0,7","25","0,1","33000","0,1","0,1","3,9","0,4","0,72","180","1400","6100","9,1","1,3","23000","20","0,5","17","0,2","3,2","0,5","0,5","0,3","0,7","3"
"PAQ-1","2013-08-07  09:26:20","100","9,06","341","7,8","20,6","=","140","1","0,1","38,8","0,7","21,5","0,1","33900","0,1","0,1","3,5","0,3","1,48","88,7","1080","7040","4,8","1","18200","20","0,5","12","0,2","1,6","0,5","0,5","0,3","0,2","3"
"PAQ-1","2013-09-10  09:57:24","95","9,22","319","8,2","16,7","=","130","0","0,1","41,6","0,6","22,6","0,1","36700","0,1","0,1","3,3","0,3","1,54","96,8","1070","7880","3,8","1","17400","20","0,5","11","0,2","2,9","0,5","0,5","0,3","0,4","3"
"PAQ-1","2013-10-28  10:08:26","102","12,29","341","8,3","6,9","=","530","0","0,1","30,6","0,9","21,8","0,1","35800","0,1","0,1","2,7","0,3","0,5","45,1","1690","7650","1,6","1","18400","20","0,5","7","0,2","0,9","0,5","0,5","0,3","0,2","3"
"PER-1","2013-04-09  14:08:48","75","10,25","422","7,9","2,5","=","300","0","0,1","73","0,2","28","0,1","51000","0,1","0,1","4,3","0,9","1,8","210","1800","9700","17","1","22000","20","0,7","26","0,2","1,2","0,5","0,5","1","0,5","3,7"
"PER-1","2013-05-15  13:46:41","130","13,38","584","8,5","14,7","<","10","1","0,1","85","0,6","25","0,1","40000","0,1","0,1","5,8","0,6","1,1","110","1800","12000","5,4","1","55000","20","0,8","19","0,2","1,8","0,5","0,5","0,8","0,5","3"
"PER-1","2013-06-10  13:51:36","124","10,54","622","8","23,2","=","27","-2","0,1","60","0,6","34","0,1","59000","0,1","0,1","9,5","0,6","1,3","120","3200","12000","9,5","1","41000","20","0,9","39","0,2","1,7","0,5","0,5","0,7","0,7","3"
"PER-1","2013-07-23  14:55:39","121","11,63","162","9","26,4","<","100","0","0,1","85,8","1,1","17,5","0,1","23400","0,1","0,1","8,1","0,3","0,5","112","3100","10400","12,9","1","41700","20","0,7","22","0,2","3,4","0,5","0,5","0,2","1,1","3"
"PER-1","2013-08-13  13:55:39","110","8,96","367","8,6","25,7","=","99","0","0,1","166","1,1","20,4","0,1","25600","0,1","0,1","7,6","0,7","0,5","146","3180","10000","20,2","1","36600","20","0,6","26","0,2","4,2","0,5","0,5","0,2","1,1","3"
"PER-1","2013-09-16  13:55:39","107","10,5","365","8,5","16,2","=","210","0","0,1","156","0,9","17,1","0,1","29200","0,1","0,1","7,2","0,8","0,5","129","2510","9840","11,2","1","29400","20","0,5","21","0,2","2,8","0,5","0,5","0,2","0,9","3"
"PER-1","2013-10-15  14:43:48","94","8,95","317","7,6","17,8","<","10","-1","0,1","5","0,7","22,3","0,1","32200","0,1","0,1","1,9","0,3","2,01","10","1580","8200","0,5","1","14400","20","0,5","7","0,2","0,5","0,5","0,5","0,4","0,2","3"
"PHI-1","2013-04-09  09:19:50","87","10,9","959","8,7","5,3","=","3900","0","0,1","87","0,2","28","0,1","93000","0,1","0,2","4,6","0,9","2,5","210","3200","22000","10","1,7","55000","110","1,8","23","0,6","5,4","0,5","0,5","0,8","0,5","7,1"
"PHI-1","2013-05-07  09:33:24","38","4,25","1232","7,5","10,3","<","10","1","0,1","86","0,2","38","0,1","150000","0,1","0,2","1,8","0,8","2","220","6200","41000","7,9","5","61000","20","3,7","15","0,6","3,1","0,5","0,5","1,7","0,3","7,5"
"PHI-1","2013-05-29  09:28:43","44","4,25","1170","7,5","16,2","=","63","1","0,1","10","0,3","48","0,1","120000","0,1","0,2","4,3","0,6","1,5","160","3100","27000","22","2,4","85000","31","2,2","16","0,2","1,2","0,5","0,5","1,1","0,3","4,8"
