"Point d'échantillonnage","Date","%OD","O2 (mg/L)","Conductivité (µs/cm2)","pH","Température (oC)","Signe COLI","COLI","MÉTÉO","Ag (µg/L)","Al (µg/L)","As (µg/L)","Ba (µg/L)","Be (µg/L)","Ca (µg/L)","Cd (µg/L)","Co (µg/L)","COT (µg/L)","Cr (µg/L)","Cu (µg/L)","Fe (µg/L)","K (µg/L)","Mg (µg/L)","Mn (µg/L)","Mo (µg/L)","Na (µg/L)","NH3 (µg/L)","Ni (µg/L)","Ptot (µg/L)","Pb (µg/L)","MES  (mg/L)","Sb (µg/L)","Se (µg/L)","Sn2 ug/L","U (µg/L)","V (µg/L)","Zn (µg/L)"
"PIB-2","2012-06-04  09:36:57","85","8,38","276","8,5","16","=","27","-2","0,1","11,4","1,8","14,5","0,1","41580","0,1","0,1","11,7","0,6","0,747","68,3","547,2","10310","6,8","1","3820","20","0,5","20","0,2","1","0,5","0,5","1","0,2","0,6","7"
"PIB-2","2012-07-03  10:32:32","109","8,94","279","8,3","25,5","<","10","1","0,1","14","3,6","14,2","0,1","37580","0,1","0,1","14,1","0,3","0,662","78,2","948,8","11364","17,7","1","4530","20","0,5","38","0,2","2,8","0,5","0,8","1","0,2","0,6","8,2"
"PIB-2","2012-07-30  10:04:06","100","8,92","272","8,7","26,4","<","10","1","0,1","11,5","2,8","19,2","0,1","34520","0,1","0,1","15,7","0,3","0,5","58,4","759","10062","13,6","1","4038","20","0,5","39","0,2","2,2","0,5","0,5","1","0,1","1","6,4"
"PIB-2","2012-09-11  09:01:09","93","9,15","294","8,9","16,2","=","18","1","0,1","20,7","2,8","16,6","0,1","34840","0,1","0,1","19,9","0,5","0,5","61,7","744,6","11454","6,3","1","4600","20","0,5","25","0,2","1,7","0,5","0,5","1","0,2","1","3"
"PIB-2","2012-10-10  09:34:44","120","12,95","265","9,1","12,2","=","18","1","0,1","7,8","2,3","8,5","0,1","36340","0,1","0,1","17,5","0,4","0,5","42","847,8","11118","6","1","4296","37,9","0,5","29","0,2","3,1","0,5","0,5","1","0,2","0,7","3"
"PIB-2","2012-10-31  09:49:49","104","10,86","333","8,9","13,2","<","10","-1","0,1","8,1","1,6","12,6","0,1","49260","0,1","0,1","14,6","0,3","0,5","55,2","993","12100","7,7","1","4620","20","0,5","28","0,2","1,8","0,5","0,5","1","0,2","0,5","3"
"PIB-3","2012-05-22  10:59:29","72","6,44","484","8,5","18,2","=","1500","0","0,1","82,2","0,4","89,1","0,1","57280","0,1","0,2","11,2","0,6","1,311","582,8","1954,8","22220","93","1","10942","20","1","80","0,2","3,9","0,5","0,5","1","0,2","0,5","3"
"PIB-3","2012-06-04  09:56:35","61","6,27","621","8,1","13,7","=","63","-2","0,1","15,1","0,3","96,8","0,1","69300","0,1","0,1","6,2","0,5","0,5","197,8","966,6","29040","36,4","1","17734","20","0,9","30","0,2","0,5","0,5","0,5","1","0,2","0,3","5,6"
"PIB-3","2012-07-03  10:53:27","48","4,31","865","7,7","19,8","=","27","1","0,1","30,4","0,6","143","0,1","93660","0,1","0,1","8,5","0,3","0,5","334","1000,4","36460","155,2","1","41980","20","1,1","58","0,2","2,6","0,5","0,5","1","0,1","0,4","6,4"
"PIB-3","2012-07-30  10:29:41","44","3,87","896","7,8","20,5","=","99","1","0,1","22,5","0,5","138","0,1","90700","0,1","0,1","9,3","0,3","0,5","437,6","953,4","32880","223,8","1","48680","20","0,9","73","0,2","3,2","0,5","0,5","1","0,1","0,6","3"
"PIB-3","2012-10-10  09:57:17","69","7,91","884","8,2","9","=","140","1","0,1","6,9","0,4","116,9","0,1","124080","0,1","0,1","6,9","0,4","0,5","219,6","1942","42020","82","4,3","33500","20,1","1,3","18","0,2","0,9","0,5","0,5","1","1","0,2","3"
"PIB-3","2012-10-31  10:12:13","73","8,01","861","8,1","11,2","<","10","-1","0,1","20,7","0,4","129,7","0,1","109906","0,1","0,3","7,5","0,4","0,5","324,4","2320","35240","420","2,9","28180","20","1,3","23","0,2","2,2","0,5","0,5","1","0,6","0,2","3"
"PIN-0.0","2012-05-16  13:13:44","99","9,24","1047","8,1","18,5","=","600","1","0,1","49","0,4","47,5","0,1","97480","0,1","0,1","5,8","0,7","2,682","119,7","14780","30880","16,4","2,5","86440","20","1,7","16","0,2","2,6","0,5","0,5","1","1","0,5","7,7"
"PIN-0.0","2012-06-26  11:02:21","106","10,3","985","8,3","16,5","=","4600","-1","0,1","110,5","0,5","42,9","0,1","85000","0,1","0,2","8,3","0,4","2,286","202","16260","27660","23,9","1,9","73180","20","1,9","47","0,4","3,7","0,5","0,5","1","0,6","0,9","5,8"
