"Point d'échantillonnage","Date","%OD","O2 (mg/L)","Conductivité (µs/cm2)","pH","Température (oC)","Signe COLI","COLI","MÉTÉO","Ag (µg/L)","Al (µg/L)","As (µg/L)","Ba (µg/L)","Be (µg/L)","Ca (µg/L)","Cd (µg/L)","Co (µg/L)","COT (µg/L)","Cr (µg/L)","Cu (µg/L)","Fe (µg/L)","K (µg/L)","Mg (µg/L)","Mn (µg/L)","Mo (µg/L)","Na (µg/L)","NH3 (µg/L)","Ni (µg/L)","Ptot (µg/L)","Pb (µg/L)","MES  (mg/L)","Sb (µg/L)","Se (µg/L)","Sn2 ug/L","U (µg/L)","V (µg/L)","Zn (µg/L)"
"AAO-2.0P4","2011-11-14  11:49:43","94","10,26","862","8,1","11,1","=","81","1","0,1","129,4","0,3","129,5","0,1","97180","0,1","0,1","2,8","0,5","0,733","196,7","4126","37380","29,8","5,9","33720","20","1,6","35","0,2","4,2","0,5","0,5","1","1,4","0,8","4,8"
"AAO-3.3P6","2011-05-11  12:30:43","102","11,03","1443","7,9","11,6","=","2600","1","0,1","151,7","0,5","47,5","0,1","124570","0,1","0,4","2,8","0,9","65,88","501,4","7364","64260","132,1","2,3",,"20","12,4","61","0,3","5,4","0,5","0,5","1","1,6","1,7","13"
"AAO-3.3P6","2011-06-07  12:05:00","91","9","1459","7,8","15,2","=","7000","1","0,1","100,4","0,3","50,8","0,1","114196","0,1","0,2","3,4","0,3","3,628","278,4","4118","32580","58,3","2,8","119482","274,8","2,2","107","0,3","5,5","0,5","0,5","1","1,7","0,8","10,5"
"AAO-3.3P6","2011-06-20  13:18:55","90","8,71","1234","8","16,3","=","27000","-2","0,1","120,2","0,7","47,5","0,1","102392","0,1","0,2","4,4","0,4","12,81","315,4","4562","28440","62,9","2,6","106192","902,7","3,1","129","0,4","8,5","0,5","0,6","1","1,3","1","7,5"
"AAO-3.3P6","2011-07-19  12:34:59","69","6,28","1330","7,7","19,8","=","5000","1","0,1","86,1","0,5","54,2","0,1","113110","0,1","0,2","4,7","0,4","4,844","297,6","4440","29840","44,6","2,9","114942","315,4","2,3","101","0,4","3,6","0,5","0,5","1","1,5","1,2","8,9"
"AAO-3.3P6","2011-10-03  11:30:49","75","7,43","984","7,6","15,5","=","59000","0","0,1","72,1","0,4","49,7","0,1","106208","0,1","0,2","3,2","0,3","5,016","161,9","3874","26540","36,9","2,6","56220","82,8","2,3","58","0,2","2,7","0,5","0,5","1","1,6","0,9","10,7"
"AAO-3.3P6","2011-10-18  11:48:52","90","9,24","1220","7,9","14,1","=","4400","-2","0,1","61,3","0,4","55,3","0,1","116756","0,1","0,2","2,7","0,5","3,744","223,2","4252","30640","60,8","2,5","82980","43,2","2,6","51","0,2","3","0,5","0,5","1","1,6","0,9","6,4"
"AAO-3.3P6","2011-11-14  12:00:29","71","7,45","1217","7,9","12,9","=","12000","1","0,1","563,2","0,5","56,5","0,1","116674","0,1","0,6","4,6","1,9","9,348","987,2","4964","33440","83,5","2,6","98180","352,4","3,1","149","1,4","25,2","2,59","0,5","1","1,5","2,1","21,5"
"AAO-3.5","2011-05-11  13:18:43","113","12,01","1240","8,2","13,1","<","10","1","0,1","76,4","0,2","66,4","0,1","99660","0,1","0,1","3","0,3","1,367","191,9","2758","32820","23,3","3,5","90380","20","2","13","0,2","2,9","0,5","0,5","1","1,7","0,6","3"
"AAO-3.5","2011-06-07  12:29:15","92","9,23","1327","7,7","15","=","54","1","0,1","81,8","0,4","65,5","0,1","97840","0,1","0,2","3","0,3","0,867","334,8","3018","31120","40","3,7","99460","93,8","2","26","0,2","3,8","0,5","0,5","1","1,6","0,7","3"
"AAO-3.5","2011-06-20  13:25:18","88","8,92","1532","7,6","14,4","<","10","-2","0,1","164,1","0,8","71,2","0,1","114592","0,1","0,4","3,2","0,3","1,133","799,2","3636","40880","56,8","4,9","153640","67,6","2,9","29","0,2","7","0,5","0,5","1","1,9","1,1","3,6"
"AAO-3.5","2011-07-19  13:10:54","73","7,4","1577","7,5","14,4","=","130","1","0,1","67,1","0,8","68,3","0,1","110202","0,1","0,3","3,5","0,3","1,734","703,8","4156","39760","60,9","7,3","149906","46,6","2,3","24","0,2","3,5","0,5","0,5","1","1,8","0,8","5"
"AAO-3.5","2011-10-03  11:37:37","74","7,73","933","7,6","13","=","600","0","0,1","352","0,4","65,1","0,1","78680","0,1","0,3","3,4","0,8","2,364","440,6","2826","23600","22,5","3,2","77160","20","2,5","31","0,6","9,8","0,5","0,5","1","1,3","1,1","8,3"
"AAO-3.5","2011-10-18  12:27:08","99","10,39","1415","8,1","12","=","180","-2","0,1","112,2","0,4","78,7","0,1","102926","0,1","0,2","3,7","0,3","1,331","392,2","3786","35980","31,7","4,1","121790","20","2,4","24","0,4","5,2","0,5","0,5","1","2","0,7","4,2"
"AAO-3.5","2011-11-14  12:58:40","83","8,99","1401","8","17,3","=","540","1","0,1","159,8","0,6","83,1","0,1","121638","0,1","0,2","2,8","0,7","1,238","632","4536","43600","54,1","4,5","119010","20","2,5","17","0,6","6,3","0,5","0,5","1","2,2","0,7","13"
"AAO-3.6","2011-05-11  14:14:21",,,"1189","8,2","14,8","<","10","1","0,1","222,8","0,2","69,8","0,1","105480","0,1","0,2","2,8","0,3","1,241","325,4","2750","33620","24,5","3,7","89020","20","2,4","20","0,3","8","0,5","0,5","1","1,7","0,9","3,8"
"AAO-3.6","2011-06-07  13:18:42","105","10","1148","7,9","17,3","=","81","1","0,1","111","0,4","62,6","0,1","88900","0,1","0,2","2,7","0,3","0,764","234,6","2404","27960","27","3,6","76340","53,2","1,8","28","0,2","4","0,5","0,5","1","1,2","0,8","3"
"AAO-3.6","2011-06-20  14:08:06","105","9,92","1187","8","18,1","=","81","-2","0,1","198","0,6","67","0,1","97880","0,1","0,3","2,8","0,4","2,244","488,8","2404","35220","30","5,1",,"40,3","2,3","38","0,3","8,9","0,5","0,5","1","1,4","1,3","4,2"
"AAO-3.6","2011-07-19  14:09:57","100","8,96","1098","7,8","21,1","=","99","1","0,1","172,1","0,7","58","0,1","83100","0,123","0,3","3,3","0,9","2,098","493,2","2912","31940","31,3","14,6","88880","22,2","2,2","38","0,4","7,1","0,5","0,5","1","1,1","1,3","13"
"AAO-3.6","2011-10-03  12:15:07","75","7,74","934","7,9","12,8","=","590","0","0,1","346,4","0,4","65","0,1","76180","0,1","0,3","3,2","0,6","1,715","433,2","2532","22780","21,2","3,2","70280","20","2,3","33","0,4","10","0,5","0,5","1","1,2","1,1","7,9"
"AAO-3.6","2011-10-18  13:10:07","82","8,84","1208","7,7","11,6","=","140","-2","0,1","268","0,3","82,7","0,1","97940","0,1","0,3","2,8","0,3","1,212","362","2900","32660","18,1","4","92960","20","2,5","29","0,3","7,9","0,5","0,5","1","1,6","1","3,9"
"AAO-3.6","2011-11-14  13:46:24","105","11,41","1117","8","11,5","<","10","1","0,1","320,4","0,4","70,8","0,1","103004","0,1","0,3","2,4","0,9","1,064","516,8","3146","35340","21,4","4,9","91080","20","2,2","21","0,3","8,9","0,5","0,5","1","1,6","1,2","4,3"
"AAO-3.9P7","2011-05-11  13:59:57","109","11,39","1128","7,9","13,3","<","10","1","0,1","149,3","0,2","84,3","0,1","92520","0,1","0,2","2,1","0,3","0,986","245,2","2020","28480","20,6","2,5","83540","20","2,1","16","0,4","6,2","0,5","0,5","1","1,1","0,6","3"
"AAO-3.9P7","2011-06-07  13:07:34","91","9,33","1177","7,7","14,2","=","27","1","0,1","63,5","0,4","89,4","0,1","95680","0,1","0,2","2,7","0,3","0,815","197,5","2094","30340","31,9","3,2","95800","20","2,2","30","0,4","1,1","0,5","0,5","1","1,1","0,5","3"
"AAO-3.9P7","2011-06-20  13:56:53","92","9,16","1182","7,9","15,3","=","220","-2","0,1","387,6","0,4","101,4","0,1","105916","0,1","0,4","2,5","0,7","2,954","608","2296","34000","43,8","3,4","98780","55,6","3,5","43","1,3",,"0,5","0,5","1","1,3","1,1","5,2"
"AAO-3.9P7","2011-10-03  12:07:57","72","7,41","1318","7,9","13,2","=","300","0","0,1","51,4","0,3","95,6","0,1","100584","0,1","0,2","3,3","0,3","1,626","146,8","2752","29700","20,7","3,7","122316","20","2,4","19","0,3","3","0,5","0,5","1","1,5","0,4","3"
"AAO-3.9P7","2011-10-18  13:01:30","91","9,47","1344","8","12,2","=","72","-2","0,1","92,7","0,2","104,4","0,1","108138","0,1","0,2","2,7","0,3","1,161","177,1","2664","34820","18,7","3,5","115586","20","2,7","11","0,3","3,1","0,5","0,5","1","1,5","0,4","3"
"AAO-3.9P7","2011-11-14  13:36:55","84","8,7","1206","7,9","13,5","=","18","1","0,1","992,8","0,4","111,5","0,1","122862","0,1","0,7","2,3","1,8","2,628","1149,2","2958","38020","41,5","3,3","98340","20","4,8","11","1,5","5,5","0,5","0,5","1","1,6","2","11"
"AAO-6.4P12","2011-05-11  13:40:54","121","11,34","1437","8,1","18,8","<","10","1","0,1","28,3","0,2","46,3","0,1","111808","0,1","0,1","1,8","0,3","1,105","66,9","2848","34660","9,4","5,2","121688","20","2,9","4","0,2","1,8","0,5","0,5","1","2","0,4","3,3"
"AAO-6.4P12","2011-06-07  12:51:04",,,"1305","8,1","19,3","=","27","1","0,1","24,6","0,3","45,7","0,1","108088","0,1","0,1","2","0,3","1,062","71,7","2642","33960","6,1","5,9","125170","20","2,7","7","0,2","1,7","0,5","0,5","1","1,9","0,4","6,9"
"AAO-6.4P12","2011-06-20  13:43:03",,,"1292","8,2","22","=","36","-2","0,1","11,6","0,3","46,6","0,1","97320","0,1","0,1","2,3","0,3","1,757","57,3","2554","36460","6,4","6,2",,"20","3,8","5","0,2","0,9","0,5","0,5","1","1,9","0,4","3"
"AAO-6.4P12","2011-07-19  13:48:09","118","9,85","1286","7,9","24,3","=","310","1","0,1","11,9","0,5","49,5","0,1","94160","0,1","0,2","2,3","0,3","0,909","57,5","2402","35200","5,3","6,6",,"20","2,3","12","0,2","0,7","0,5","0,5","1,2","1,8","0,5","3"
"AAO-6.4P12","2011-10-03  11:52:34","77","8,13","1383","7,6","12,9","=","110","0","0,1","22,8","0,2","57,3","0,1","115206","0,1","0,1","2,3","0,3","0,8","51,5","2894","36340","5","5,3","119004","20","2,7","4","0,2","1,3","0,5","0,5","1","2,1","0,5","3"
"AAO-6.4P12","2011-10-18  12:44:35","95","10,39","1400","8","12","=","170","-2","0,1","47,6","0,2","54,2","0,1","111598","0,1","0,2","2","0,3","0,533","69,2","2846","37620","7,1","5,6","120608","20","2,7","4","0,2","2,2","0,5","0,5","1","2,1","0,7","3"
"AAO-6.4P12","2011-11-14  13:21:16","106","11,08","1190","8,1","13,4","<","10","1","0,1","97,8","0,3","53","0,1","114698","0,1","0,2","1,9","0,6","0,565","160,2","2952","35680","11,5","5,7","105922","20","2,8","8","0,3","3,7","0,5","0,5","1","1,8","0,9","5,7"
"AAO-6.5","2011-05-11  13:35:47",,,"1091","8,3","17,5","<","10","1","0,1","100,3","0,4","55","0,1","103858","0,1","0,2","5,7","0,3","1,899","289,2","3602","32700","49,7","4,1","60020","20","2,6","74","0,2","7,7","0,5","0,5","1","2,5","0,8","3,5"
"AAO-6.5","2011-06-07  12:41:00","89","8,31","1153","7,8","18,3","=","370","1","0,1","180,8","0,8","65,2","0,1","117264","0,1","0,3","3,9","0,3","1,398","348,6","4012","36600","58,6","6,9","77580","128,6","2,7","54","0,3","5,3","0,5","0,5","1","2,3","1,3","4"
"AAO-6.5","2011-06-20  13:35:17",,,"1136","8,3","20,1","=","590","-2","0,1","110,7","0,8","61,5","0,1","107054","0,1","0,2","3,7","0,5","1,558","225,6","2508","34920","19,3","6,8","81860","30,6","2,1","52","0,3","31,3","0,5","0,5","1","2,3","1,4","3"
"AAO-6.5","2011-07-19  13:39:45","113","9,38","871","8,2","24,2","=","640","1","0,1","1935","1,5","79,1","0,1","82840","0,1","1,1","4,9","3,2","4,1","2014","4072","25600","99,1","4,4","58640","71","4,2","226","2,9","78,1","0,5","0,5","1","1,5","5,2","17,8"
"AAO-6.5","2011-10-03  11:50:47","67","7,08","799","7,6","13","=","2200","0","0,1","343,4","0,5","53,9","0,1","82220","0,1","0,5","6,6","0,6","2,602","393","3534","24340","20","3,7","38980","34,4","4","49","0,4","10,8","0,5","0,5","1","2,1","1,3","8"
"AAO-6.5","2011-10-18  12:39:41","83","8,74","1180","8","12,2","=","480","-2","0,1","126,7","0,6","71,7","0,1","105796","0,1","0,3","5,2","0,3","1,833","266,8","4236","32980","42,4","4,2","83260","20","3,1","33","0,3","2,8","0,5","0,5","1","2,2","0,8","5,6"
"AAO-6.5","2011-11-14  13:14:23","68","7,25","1291","8,1","12","=","160","1","0,1","1108,4","0,8","91,2","0,1","123006","0,1","0,9","6","2,4","2,742","1364,6","5248","38300","176,7","5,3","105164","87","4,1","103","2,1","34","0,5","0,5","1","2,4","2,6","45,4"
"ANG-2","2011-05-10  15:12:10","111","10,61","490","8,1","17,4","<","10","1","0,1","25,1","0,6","36,1","0,1","76380","0,1","0,1","5,1","0,3","1,063","66,2","1893,6","14576","23,3","1","6942","20","0,7","24","0,3","2,6","0,5","0,5","1","1,3","0,7","3"
"ANG-2","2011-06-08  13:16:19",,,"331","9,1","27,1","<","10","1","0,1","19,1","0,9","24,5","0,1","37780","0,1","0,1","6","0,3","1,243","38,5","736,6","14782","5,7","1","6792","20","0,7","21","0,3","1,9","0,5","0,5","1","1,1","1,2","4,5"
"ANG-2","2011-06-27  14:39:26","123","9,7","296","9","28,1","<","10","-2","0,1","15,4","1","23","0,1","32560","0,1","0,1","5,9","0,3","0,851","46,6","795,4","14008","7,8","1","6930","20","0,6","14","0,2","0,5","0,5","0,5","1","0,8","1,3","9,1"
"ANG-2","2011-08-29  13:44:54","102","9","395","8,2","21,3","=","290","0","0,1","35,9","1,8","35,4","0,1","48140","0,1","0,1","8","0,3","0,649","62,1","2186","13898","39,1","1","7256","20","0,6","25","0,3","5,6","0,5","0,5","1","0,6","1,8","3"
"ANG-2","2011-09-19  13:23:26","93","8,71","396","8,2","18,3","<","10","1","0,1","44,5","1,7","33,3","0,1","49000","0,1","0,1","8","0,3","0,816","80,9","2250","14026","32,7","1","7356","20","0,7","31","0,6","6,1","0,5","0,5","1","0,7","1,6","3"
"ANG-2","2011-11-07  14:32:08","93","11,18","399","8,2","7,5","<","10","0","0,1","59,7","1,2","36,9","0,1","57560","0,1","0,1","6,5","0,6","1,28","105,1","2362","14826","25","1","7474","20","0,8","40","6,7","10,8","0,5","0,5","1","0,6","1","17,2"
"ANG-2","2011-11-22  10:10:55","94","12,37","412","8,2","3,7","<","10","1","0,1","37,3","1,6","40,8","0,1","64760","0,1","0,1","6,3","0,5","1,04","65,2","2652","15916","15,1","1","8118",,"0,7","24","0,5","4,4","0,5","0,6","1","0,7","0,9","8,5"
"BER-0.0","2011-07-05  10:11:46",,,"710","7,6","22,4","=","520","-2","0,1","18,4","0,4","39,3","0,1","56860","0,1","0,1","6,7","0,3","2,128","276,4","2158","10846","64,9","1,7","60380","52,3","1,2","32","0,4","0,9","0,5","0,5","1","0,3","0,5","5,3"
"BER-0.0","2011-11-01  10:06:25","94","11,78","291","8,1","5,6","=","27","1","0,1","270,8","0,5","23,6","0,1","21020","0,1","0,2","5,7","1,2","1,869","447,8","1358,4","4856","23,4","1","17432","46,2","1,1","30","0,6","2,8","0,5","0,5","1","0,2","1","9,1"
"BER-0.0","2011-11-16  10:08:34","61","7,01","689","7,9","9,1","=","260","-1","0,1","102,9","0,7","40,1","0,1","62220","0,18","0,2","3,8","1,2","3,816","537,4","2278","10956","54,9","1,5","49600","50,9","1,4","33","1,7","6","0,5","0,5","1","0,3","0,8","18,2"
"BER-0.0","2011-05-17  09:53:59","74","8,43","972","7,7","8,9","=","540","-1","0,1","195","0,5","40,8","0,1","77460","0,1","0,2","3,6","0,9","3,872","436,2","2864","14434","31,3","2,3","90840","29","1,7","24","0,8","5,6","0,5","0,5","1","0,7","0,8","16,2"
"BER-0.0","2011-06-15  10:09:14","82","7,96","1469","7,6","15,7","=","150","-2","0,1","29,7","0,4","67,1","0,1","121584","0,1","0,2","3","0,3","1,598","352","3656","25200","100,7","1,7","137584","110,1","1,7","21","0,3","3,2","0,5","0,5","1","0,8","0,4","6,5"
"BER-0.0","2011-08-31  10:00:59","87","8,42","1634","7,8","16,3","=","1200","-2","0,1","81,8","0,4","75,6","0,1","137062","0,1","0,3","2,8","0,6","2,318","358,2","4716","27100","60,9","2,1","140936","80","2,4","27","1,2","6,9","0,5","0,5","1","1,2","0,6","7,5"
"BER-0.0","2011-09-27  09:47:54","70","6,93","1559","7,6","15,3","=","550","-1","0,1","61,8","0,5","71,9","0,1","129568","0,1","0,2","9,8","0,8","2,7","391,8","3894","27400","56,9","1,8","133778","50,5","1,8","35","1,1","4,3","0,5","0,5","1,1","0,8","0,6","9,2"
"BER-0.7P1","2011-05-17  10:21:10","95","10,93","1104","7,7","8,9","=","2000","-1","0,1","45,1","0,2","40","0,1","120096","0,1","0,1","2,1","0,3","2,476","121,4","4320","25300","20,8","2,2","75060","20","2,1","13","0,2","2,3","0,5","0,5","1","1,3","0,4","10,4"
"BER-0.7P1","2011-06-15  10:41:05","98","9,8","938","7,8","14,6","=","25000","-2","0,1","46,7","0,4","36,5","0,1","98920","0,1","0,1","2,8","0,3","2,806","140,6","3940","22140","17,2","1,5","56560","20","1,7","22","0,2","1,7","0,5","0,5","1","1,1","0,4","4,1"
"BER-0.7P1","2011-07-05  10:38:01","87","8,23","927","7,8","17,9","=","4900","-2","0,1","69","0,5","32,9","0,1","81440","0,1","0,1","7,7","0,4","4,672","164,5","3260","18008","14","1,3","72720","20","1,4","47","0,2","3,1","0,5","0,5","1","0,9","0,6","4,7"
"BER-0.7P1","2011-08-31  10:24:58","96","9,26","1371","7,9","16,7","=","4700","-2","0,1","15,1","0,2","53,7","0,1","148344","0,1","0,1","2,2","0,3","3,048","71,5","5840","31500","13,4","1,8","74880","20","3,1","22","0,2","1,3","0,5","0,5","1","1,8","0,2","4,7"
"BER-0.7P1","2011-09-27  10:11:42","71","6,87","1132","7,7","17","=","6000","-1","0,1","67,8","0,4","45,6","0,1","122114","0,1","0,1","3,2","0,6","6,064","101,9","4870","26860","14","1,5","66560","91,8","2,5","128","0,2","1,7","0,5","0,5","1","1,3","0,3","5,4"
"BER-0.7P1","2011-11-01  10:37:52","88","9,54","1025","7,7","11,3","=","6000","1","0,1","37,7","0,3","45,1","0,1","118924","0,1","0,1","2,9","0,3","6,308","109,5","4676","24300","15,5","1,5","51660","251,4","2,1","75","0,2","2,1","0,5","0,5","1","1,2","0,4","4,7"
"BER-0.7P1","2011-11-16  10:36:45","84","9,01","1205","7,8","11,7","=","580","-1","0,1","26,4","0,5","51,9","0,1","142674","0,1","0,1","2,7","0,5","3,514","88,2","5028","29980","17,7","1,3","60980","40","2,2","43","0,2","0,7","0,5","0,5","1","1,6","0,3","6,1"
"BER-1.2","2011-05-17  10:06:02","80","9,21","1118","7,6","9","=","640","-1","0,1","138,9","0,3","44,3","0,1","82620","0,1","0,2","4","0,7","3,674","476","2916","14906","39,9","2",,"59,6","1,6","27","0,7","4,7","0,5","0,5","1","0,7","0,9","15,5"
"BER-1.2","2011-06-15  10:29:59","82","8,3","1682","7,4","14,3","=","220","-2","0,1","15,6","0,3","79,5","0,1","148058","0,1","0,3","2,8","0,3","1,149","567,6","3418","27160","113,1","1,6","162146","130,2","1,6","17","0,3","2,2","0,5","0,5","1","0,7","0,3","7,1"
"BER-1.2","2011-07-05  10:25:09","73","6,91","1576","7,4","17,4","=","550","-2","0,1","32,8","0,4","78,8","0,1","134356","0,1","0,2","3,2","0,3","1,434","495,8","3326","26120","109,7","1,5","147256","154","1,7","22","0,7","3,6","0,5","0,5","1","0,6","0,6","11,1"
"BER-1.2","2011-08-31  10:08:48","79","7,94","1735","7,8","16,1","=","1300","-2","0,1","21","0,3","80,4","0,1","130944","0,1","0,2","2,8","0,3","1,971","452,8","4020","24780","77","2","163276","63,4","1,8","20","0,5","3,7","0,5","0,5","1","0,8","0,4","7,8"
"BER-1.2","2011-09-27  09:57:15","69","6,9","1642","7,7","15,1","=","600","-1","0,1","18,4","0,4","85,9","0,1","138640","0,1","0,2","4,1","0,6","1,861","432,6","3728","28260","71,1","1,4","154960","51,7","1,4","35","0,5","1,4","0,5","0,5","1","0,5","0,4","7,3"
"BER-1.2","2011-11-01  10:20:59","78","9,06","1492","7,5","8,2","=","99","1","0,1","26,4","0,3","73,4","0,1","123474","0,1","0,2","2,9","0,5","2,618","575,8","3360","23480","67,7","1,1","128338","29,4","1,3","19","0,6","2,7","0,5","0,5","1","0,5","0,4","10"
"BER-1.2","2011-11-16  10:24:36","65","7,52","1008","7,7","9,2","=","440","-1","0,1","39,2","0,5","56,8","0,1","86220","0,1","0,2","3,8","0,7","2,726","532,4","2782","15534","87,4","1,3","74740","43,2","1,2","30","0,5","3,2","0,5","0,5","1","0,4","0,5","15,6"
"BER-3.3","2011-05-17  10:51:01","92","10,41","1539","7,7","9,5","=","480","-1","0,1","191,7","0,3","47,6","0,1","93040","0,1","0,2","4,1","0,8","3,47","487","4062","19194","35,5","2,9",,"56","1,9","25","0,6","5","0,5","0,5","1","0,9","1","14,2"
"BER-3.3","2011-06-15  11:15:54","89","9,14","1703","7,2","13,9","=","45","-2","0,1","28","0,3","72,4","0,1","123246","0,1","0,2","2,6","0,3","2,09","941","4180","27540","80,6","1,7","191218","87,3","1,8","14","0,2","3,3","0,5","0,5","1","0,5","0,6","7,1"
"BER-3.3","2011-07-05  11:07:36","86","8,44","1511","7,4","15,8","=","27000","-2","0,1","33,9","0,4","70,1","0,1","115182","0,1","0,2","2,6","0,3","1,894","967,8","3712","25620","84","1,4","158280","85,3","1,3","19","0,3","2,6","0,5","0,5","1","0,4","0,8","6,8"
"BER-3.3","2011-08-31  10:54:45","93","9","1724","7,6","16,8","=","590","-2","0,1","25,4","0,3","67,7","0,1","110284","0,1","0,2","3,2","0,3","3,808","702,6","4566","23880","61","2,6","182138","440,7","1,5","30","0,2","2,9","0,5","0,5","1","0,6","0,7","7,7"
"BER-3.3","2011-09-27  10:39:53","84","8,01","1423","7,5","16,7","=","450","-1","0,1","26,9","0,4","64,4","0,1","106864","0,1","0,2","3,5","0,7","2,896","843,2","3652","25000","64,4","1,5","142026","67,6","1,2","19","0,2","3,7","0,5","0,5","1","0,4","0,7","8,8"
"BER-3.3","2011-11-01  11:00:08","94","10,16","1267","7,8","11,8","=","27","1","0,1","28,4","0,3","55,8","0,1","91100","0,1","0,1","2,4","0,6","2,592","762","3268","19752","56,2","1,1",,"76,2","1","16","0,8","2,4","0,5","0,5","1","0,3","0,6","5,4"
"BER-3.3","2011-11-16  11:33:32","89","9,7","1079","8","11,4","=","18","-1","0,1","23,6","1,2","50,4","0,1","83220","0,1","0,1","2,5","0,6","2,922","725,2","2818","19164","54,9","1,5","96660","56","0,9","16","0,2","2","0,5","0,8","1","0,3","0,4","4,3"
"BER-3.7","2011-05-17  11:07:21","98","11,12","833","7,9","9,5","=","370","-1","0,1","172,4","0,4","36,7","0,1","74120","0,1","0,2","5,5","0,6","2,864","299,6","2942","13774","21,2","2,2","65140","20","1,8","34","0,6","4,3","0,5","0,5","1","0,8","0,9","15,7"
