"Point d'échantillonnage","Date","%OD","O2 (mg/L)","Conductivité (µs/cm2)","pH","Température (oC)","Signe COLI","COLI","MÉTÉO","Ag (µg/L)","Al (µg/L)","As (µg/L)","Ba (µg/L)","Be (µg/L)","Ca (µg/L)","Cd (µg/L)","Co (µg/L)","COT (µg/L)","Cr (µg/L)","Cu (µg/L)","Fe (µg/L)","K (µg/L)","Mg (µg/L)","Mn (µg/L)","Mo (µg/L)","Na (µg/L)","NH3 (µg/L)","Ni (µg/L)","Ptot (µg/L)","Pb (µg/L)","MES  (mg/L)","Sb (µg/L)","Se (µg/L)","Sn2 ug/L","U (µg/L)","V (µg/L)","Zn (µg/L)"
"AAO-0.0","2011-06-07  11:25:48","82","7,55","1361","7,7","17","=","190","1","0,1","677,8","0,6","73,4","0,1","98980","0,1","0,6","4","1,6","3,54","993,8","3754","33920","109,6","3,9",,"109,4","3","91","2,2","25,1","0,5","0,5","1","1,8","2,2","11,6"
"AAO-0.0","2011-07-19  12:04:40","52","4,61","1416","7,7","21,1","=","27","1","0,1","104","0,9","70,2","0,1","106358","0,1","0,2","4,2","0,4","1,967","249,4","4444","36900","32,1","4,1","131660","23,5","2,2","59","0,6","3,3","0,5","0,5","1","1,8","1,3","7,5"
"AAO-0.0","2011-10-03  10:56:51","72","7,47","797","7,5","13,2","=","1300","0","0,1","695,8","0,5","54,6","0,1","67400","0,1","0,4","4,7","1,7","3,748","691,2","3028","19000","32,2","2,6","58900","34,8","2,4","58","1,2","10,5","0,5","0,5","1","1,1","1,7","9,2"
"AAO-0.0","2011-10-18  11:14:45","81","8,69","1368","7,8","11,8","=","120","-2","0,1","356,8","0,5","73,9","0,1","102312","0,1","0,3","4,4","0,8","3,226","499,4","4166","32000","42,1","3,6","119688","38,8","2,9","52","0,8","6,1","0,5","0,5","1","1,8","1,3","7,5"
"AAO-0.0","2011-11-14  11:28:38","83","9,24","1325","7,8","10,4","=","130","1","0,1","232,4","0,5","78,4","0,1","119050","0,1","0,2","3,4","0,9","1,694","436","4722","41240","38,2","4","109076","49,4","2,6","35","0,9","6,3","0,5","0,5","1","1,9","1","9,1"
"AAO-0.0","2011-05-11  11:54:35","99","10,98","1442","7,9","10,6","=","370","1","0,1","73,5","0,3","69,7","0,1","112820","0,1","0,2","3","0,3","1,497","341,8","3610","36120","51,2","3,2","121830","20","2,2","24","0,2","3,6","0,5","0,5","1","2,1","0,7","5,7"
"AAO-0.0","2011-06-20  12:55:30","113","11,21","1432","7,9","15,4","=","640","-2","0,1","81,5","0,7","73,1","0,1","117218","0,1","0,3","3,7","0,3","2,346","399,6","4296","39160","63,9","4,4","134884","157,5","2,8","48","0,5","4,3","0,5","0,5","1","1,9","1","4,9"
"AAO-2.0P4","2011-05-11  12:13:17","102","10,57","778","7,9","13,8","=","99","1","0,1","156,5","0,2","101,8","0,1","80520","0,1","0,1","2,9","0,3","1,16","187,8","2640","31260","14","4,4","27640","20","1,9","15","0,2","2,2","0,5","0,5","1","1,4","0,8","3"
"AAO-2.0P4","2011-06-07  11:45:00","96","9,12","756","7,8","17,8","=","45","1","0,1","1145,8","0,5","118,7","0,1","74320","0,1","0,7","4,1","1,9","2,784","1209","2656","30240","59,4","4,6","26080","30","3,4","180","0,8","16,5","0,5","0,5","1","1,4","2,6","7,1"
"AAO-2.0P4","2011-06-20  13:08:24","94","8,35","777","7,9","20,9","=","54","-2","0,1","1156,2","1,5","133,3","0,1","84480","0,1","0,8","4,8","2,1","3,438","1335,4","3062","35280","80,1","6,3","33000","98,8","4,2","262","1","11,9","0,5","1,4","1","1,4","2,9","8,2"
"AAO-2.0P4","2011-07-19  12:21:50","89","8,02","701","7,9","20","=","310","1","0,1","247,2","0,8","108,9","0,1","75460","0,1","0,3","6,3","1,1","1,51","373","2724","28960","73,1","3,4","28320","20","2,7","81","0,2","20,6","0,5","0,5","1","0,7","1,4","4,5"
"AAO-2.0P4","2011-10-03  11:17:19","68","7,18","644","7,7","12,5","=","170","0","0,1","168,5","0,3","88,9","0,1","61160","0,1","0,2","4,4","0,4","2,15","213","3102","22560","21,8","3,9","27580","75,1","1,9","38","0,2","3,3","0,5","0,5","1","0,8","0,8","3,7"
"AAO-2.0P4","2011-10-18  11:31:57","87","9,41","876","8","11,3","=","250","-2","0,1","282,6","0,3","126,9","0,1","83260","0,1","0,2","3,5","0,4","1,204","306,4","3548","32320","34,9","5,1","37660","20","1,9","26","0,2","2,1","0,5","0,5","1","1,3","1,1","3"
