"Point d'échantillonnage","Date","Température (oC)","Conductivité (µs/cm2)","pH","Signe","Coliformes fécaux (colonies/100mL)","MÉTÉO","Précipitation totale (mm)"
"FSL-340",2014/07/21,"22,1",272,"8,5","=",23,1,0
"FSL-340",2014/08/04,"22,5",292,"8,5","=",21,1,0
"FSL-340",2014/08/19,"20,4",280,"8,4","=",20,1,0
"FSL-340",2014/08/27,"22,6",281,"8,5","=",26,1,0
"FSL-340",2014/09/09,"21,7",277,"8,5","=",11,1,0
"FSL-340",2014/09/16,"18,0",276,"8,4","=",16,1,0
"FSL-340",2014/10/01,"17,4",266,"8,5","=",10,1,0
"FSL-340",2014/06/11,"18,4",258,"8,7","=",3,1,0
"FSL-340",2014/06/17,"19,4",263,"8,3","=",46,1,0
"FSL-340",2014/06/23,"20,2",259,"8,4","=",11,1,0
"FSL-340",2014/07/02,"21,9",272,"8,2","=",36,1,0
"FSL-340",2014/08/13,"22,4",301,"8,4","=",320,0,32
"FSL-340",2014/10/07,"15,7",267,"8,3","=",50,0,3
"FSL-340",2014/10/15,"15,1",268,"8,2","=",20,0,1
"FSL-340",2014/06/03,"17,4",221,"8,3","=",5,0,18
"FSL-340",2014/07/16,"21,1",284,"8,4","=",13,-1,2
"FSL-340",2014/09/24,"16,7",280,"8,5","=",540,-1,1
"FSL-340",2014/07/08,"20,9",282,"8,3","=",46,-1,9
"FSL-340",2014/07/30,"21,3",324,"8,2","=",16,-2,8
"FSL-340",2014/09/02,"22,3",280,"8,4","=",60,-2,10
"FSL-360",2014/06/11,"18,3",263,"8,4","=",120,1,0
"FSL-360",2014/06/17,"19,7",257,"8,5","=",110,1,0
"FSL-360",2014/06/23,"20,7",261,"8,3","=",33,1,0
"FSL-360",2014/07/02,"22,3",276,"8,3","=",74,1,0
"FSL-360",2014/07/21,"23,4",274,"8,4","=",110,1,0
"FSL-360",2014/08/04,"22,9",296,"8,5","=",1200,1,0
"FSL-360",2014/08/19,"20,9",291,"8,5","=",23,1,0
"FSL-360",2014/08/27,"23,0",284,"8,5","=",350,1,0
"FSL-360",2014/09/09,"22,0",279,"8,6","=",220,1,0
"FSL-360",2014/09/16,"18,1",278,"8,5","=",120,1,0
"FSL-360",2014/10/01,"17,4",270,"8,5","=",290,1,0
"FSL-360",2014/06/03,"19,4",223,"8,4","=",33,0,18
"FSL-360",2014/08/13,"22,3",298,"8,4","=",140,0,32
"FSL-360",2014/10/07,"15,8",274,"8,2","=",1900,0,3
"FSL-360",2014/10/15,"15,2",277,"8,1","=",260,0,1
"FSL-360",2014/07/08,"21,4",289,"8,3","=",130,-1,9
"FSL-360",2014/07/16,"21,5",285,"8,5","=",50,-1,2
"FSL-360",2014/09/24,"17,0",275,"8,5","=",60,-1,1
"FSL-360",2014/07/30,"21,7",340,"8,6","=",230,-2,8
"FSL-360",2014/09/02,"22,4",284,"8,4","=",200,-2,10
"FSL-380",2014/06/11,"19,1",157,"8,4","=",60,1,0
"FSL-380",2014/06/17,"19,7",261,"8,0","=",55,1,0
"FSL-380",2014/06/23,"22,4",271,"7,9","=",52,1,0
"FSL-380",2014/07/02,"22,2",272,"8,4","=",46,1,0
"FSL-380",2014/07/21,"23,2",279,"8,4","=",46,1,0
"FSL-380",2014/08/04,"23,6",297,"8,5","=",30,1,0
"FSL-380",2014/08/19,"22,1",293,"8,7","=",11,1,0
"FSL-380",2014/08/27,"23,9",279,"8,7","=",40,1,0
"FSL-380",2014/09/09,"22,1",283,"8,7","=",250,1,0
"FSL-380",2014/09/16,"18,2",286,"8,5","=",2100,1,0
"FSL-380",2014/10/01,"17,4",264,"8,6","=",2300,1,0
"FSL-380",2014/06/03,"19,4",226,"8,4","=",46,0,18
"FSL-380",2014/08/13,"22,2",299,"8,4","=",120,0,32
"FSL-380",2014/10/07,"15,8",324,"8,0","=",22000,0,3
"FSL-380",2014/10/15,"15,8",284,"7,9","=",54,0,1
"FSL-380",2014/07/08,"21,4",289,"8,5","=",64,-1,9
"FSL-380",2014/07/16,"21,9",290,"8,4","=",570,-1,2
"FSL-380",2014/09/24,"17,5",269,"8,8","=",10,-1,1
"FSL-380",2014/07/30,"21,8",305,"8,7","=",66,-2,8
"FSL-380",2014/09/02,"22,5",288,"8,3","=",800,-2,10
"FSL-400",2014/06/11,"19,7",266,"8,7","=",600,1,0
"FSL-400",2014/06/17,"19,6",265,"8,1","=",1700,1,0
"FSL-400",2014/06/23,"21,6",274,"8,3","=",300,1,0
"FSL-400",2014/07/02,"22,9",285,"8,3","=",500,1,0
"FSL-400",2014/07/21,"24,2",276,"8,7","=",600,1,0
"FSL-400",2014/08/04,"25,2",291,"8,8","=",390,1,0
"FSL-400",2014/08/19,"22,5",297,"8,8","=",110,1,0
"FSL-400",2014/08/27,"24,3",283,"8,9","=",270,1,0
"FSL-400",2014/09/09,"23,6",291,"9,0","=",160,1,0
"FSL-400",2014/09/16,"19,5",283,"8,9","=",1500,1,0
"FSL-400",2014/10/01,"17,9",261,"9,0","=",200,1,0
"FSL-400",2014/06/03,"18,3",228,"8,2","=",300,0,18
"FSL-400",2014/08/13,"22,1",362,"8,2","=",5800,0,32
"FSL-400",2014/10/07,"16,8",309,"8,2","=",800,0,3
"FSL-400",2014/10/15,"16,4",296,"8,2","=",270,0,1
"FSL-400",2014/07/08,"23,2",278,"8,6","=",3900,-1,9
"FSL-400",2014/07/16,"23,0",288,"8,5","=",480,-1,2
"FSL-400",2014/09/24,"18,2",271,"9,0","=",72,-1,1
"FSL-400",2014/07/30,"23,5",329,"8,8","=",280,-2,8
"FSL-400",2014/09/02,"23,4",301,"8,7","=",260,-2,10
"FSL-425",2014/06/11,"19,8",256,"8,6","=",100,1,0
"FSL-425",2014/06/17,"19,7",258,"8,1","=",800,1,0
"FSL-425",2014/06/23,"21,4",260,"8,2","=",260,1,0
"FSL-425",2014/07/02,"23,1",275,"8,5","=",330,1,0
"FSL-425",2014/07/21,"23,7",274,"8,6","=",120,1,0
"FSL-425",2014/08/04,"23,9",292,"8,8","=",480,1,0
"FSL-425",2014/08/19,"22,1",293,"8,9","=",76,1,0
"FSL-425",2014/08/27,"23,9",282,"8,9","=",180,1,0
"FSL-425",2014/09/09,"22,4",282,"8,8","=",320,1,0
"FSL-425",2014/09/16,"18,7",279,"8,8","=",1200,1,0
"FSL-425",2014/10/01,"17,5",263,"8,8","=",260,1,0
"FSL-425",2014/06/03,"18,2",223,"8,1","=",100,0,18
"FSL-425",2014/08/13,"22,3",299,"8,5","=",4600,0,32
"FSL-425",2014/10/07,"15,7",276,"8,3","=",900,0,3
"FSL-425",2014/10/15,"15,8",281,"8,5","=",440,0,1
"FSL-425",2014/07/08,"22,1",290,"8,5","=",1400,-1,9
"FSL-425",2014/07/16,"21,4",285,"8,4","=",280,-1,2
"FSL-425",2014/09/24,"17,3",268,"8,8","=",98,-1,1
"FSL-425",2014/07/30,"22,3",331,"8,7","=",250,-2,8
"FSL-425",2014/09/02,"22,9",285,"8,6","=",340,-2,10
"FSL-430",2014/06/11,"19,2",254,"8,6","=",73,1,0
"FSL-430",2014/06/17,"19,4",259,"8,0","=",600,1,0
"FSL-430",2014/06/23,"21,6",262,"8,0","=",300,1,0
"FSL-430",2014/07/02,"23,7",274,"8,2","=",200,1,0
"FSL-430",2014/07/21,"24,3",279,"8,2","=",100,1,0
"FSL-430",2014/08/04,"25,3",296,"8,6","=",1200,1,0
"FSL-430",2014/08/19,"22,3",287,"8,8","=",350,1,0
"FSL-430",2014/08/27,"24,0",278,"8,8","=",140,1,0
"FSL-430",2014/09/09,"23,1",288,"8,9","=",150,1,0
"FSL-430",2014/09/16,"19,5",279,"8,9","=",210,1,0
"FSL-430",2014/10/01,"17,5",260,"8,8","=",100,1,0
"FSL-430",2014/06/03,"18,2",222,"8,2","=",160,0,20
"FSL-430",2014/08/13,"22,1",301,"8,1","=",2400,0,32
"FSL-430",2014/10/07,"15,1",278,"8,2","=",200,0,3
"FSL-430",2014/10/15,"15,8",283,"8,1","=",120,0,1
"FSL-430",2014/07/08,"22,6",289,"8,2","=",1400,-1,9
"FSL-430",2014/07/16,"22,9",286,"8,4","=",300,-1,2
"FSL-430",2014/09/24,"17,7",217,"8,9","=",45,-1,1
"FSL-430",2014/07/30,"23,3",304,"8,4","=",200,-2,8
"FSL-430",2014/09/02,"23,3",279,"8,6","=",130,-2,10
"FSL-460",2014/06/11,"19,1",256,"8,7","=",240,1,0
"FSL-460",2014/06/17,"20,6",256,"8,2","=",290,1,0
"FSL-460",2014/06/23,"21,0",262,"8,2","=",360,1,0
"FSL-460",2014/07/02,"22,7",275,"8,5","=",1300,1,0
"FSL-460",2014/07/21,"23,2",256,"8,7","=",500,1,0
"FSL-460",2014/08/04,"23,5",300,"8,6",">",6000,1,0
"FSL-460",2014/08/19,"21,7",298,"8,7","=",1500,1,0
"FSL-460",2014/08/27,"23,3",285,"8,7","=",8000,1,0
"FSL-460",2014/09/09,"22,2",285,"8,7","=",3400,1,0
"FSL-460",2014/09/16,"18,1",274,"8,8","=",4000,1,0
"FSL-460",2014/10/01,"17,8",263,"8,7","=",290,1,0
"FSL-460",2014/06/03,"20,8",221,"8,9","=",180,0,20
"FSL-460",2014/08/13,"22,1",293,"8,4","=",3100,0,32
"FSL-460",2014/10/07,"15,7",273,"8,3","=",4100,0,3
"FSL-460",2014/10/15,"15,7",276,"8,1","=",370,0,1
"FSL-460",2014/07/08,"22,1",288,"8,5","=",1000,-1,9
"FSL-460",2014/07/16,"21,8",286,"8,5","=",1100,-1,2
"FSL-460",2014/09/24,"17,3",254,"8,8","=",2100,-1,1
"FSL-460",2014/07/30,"22,3",326,"8,7","=",3100,-2,8
"FSL-460",2014/09/02,"22,9",289,"8,6","=",2000,-2,10
"FSL-480",2014/06/11,"19,6",258,"8,4","=",150,1,0
"FSL-480",2014/06/17,"19,4",256,"8,3","=",300,1,0
"FSL-480",2014/06/23,"20,2",259,"8,2","=",130,1,0
"FSL-480",2014/07/02,"22,3",272,"8,4","=",300,1,0
"FSL-480",2014/07/21,"23,0",276,"8,6","=",420,1,0
"FSL-480",2014/08/04,"23,7",284,"8,7","=",380,1,0
"FSL-480",2014/08/19,"21,4",301,"8,6","=",76,1,0
"FSL-480",2014/08/27,"23,2",286,"8,7","=",220,1,0
"FSL-480",2014/09/09,"22,2",279,"8,6","=",340,1,0
"FSL-480",2014/09/16,"19,0",303,"8,7","=",160,1,0
"FSL-480",2014/10/01,"17,8",273,"8,7","=",420,1,0
"FSL-480",2014/06/03,"18,9",221,"8,2","=",250,0,20
"FSL-480",2014/08/13,"22,2",319,"8,4","=",2000,0,32
"FSL-480",2014/10/07,"15,8",26,"8,5","=",570,0,3
"FSL-480",2014/10/15,"15,7",284,"8,1","=",180,0,1
"FSL-480",2014/07/08,"21,4",291,"8,3","=",1100,-1,9
"FSL-480",2014/07/16,"21,9",284,"8,5","=",250,-1,2
"FSL-480",2014/09/24,"17,3",278,"8,6","=",110,-1,1
"FSL-480",2014/07/30,"21,8",349,"8,6","=",220,-2,8
"FSL-480",2014/09/02,"23,6",292,"8,7","=",500,-2,10
"FSL-490",2014/07/21,"23,0",207,"8,5","=",73,1,0
"FSL-490",2014/08/04,"22,9",292,"8,6","=",160,1,0
"FSL-490",2014/08/19,"20,9",286,"8,6","=",84,1,0
"FSL-490",2014/08/27,"22,9",272,"8,6","=",200,1,0
"FSL-490",2014/09/09,"22,3",278,"8,6","=",250,1,0
"FSL-490",2014/09/16,"18,2",277,"8,6","=",230,1,0
"FSL-490",2014/10/01,"17,6",262,"8,6","=",72,1,0
"FSL-490",2014/06/11,"18,4",254,"8,3","=",100,1,0
"FSL-490",2014/06/17,"18,7",254,"8,1","=",200,1,0
"FSL-490",2014/06/23,"20,1",258,"8,2","=",72,1,0
"FSL-490",2014/07/02,"22,3",271,"8,3","=",210,1,0
"FSL-490",2014/08/13,"22,3",299,"8,4","=",2500,0,32
"FSL-490",2014/10/07,"15,6",269,"8,4","=",900,0,3
"FSL-490",2014/10/15,"15,4",268,"8,2","=",170,0,1
"FSL-490",2014/06/03,"17,3",217,"8,1","=",78,0,20
"FSL-490",2014/07/08,"21,4",285,"8,3","=",330,-1,9
"FSL-490",2014/07/16,"21,8",284,"8,4","=",300,-1,2
"FSL-490",2014/09/24,"17,0",270,"8,6","=",110,-1,1
"FSL-490",2014/07/30,"21,7",346,"8,5","=",220,-2,8
"FSL-490",2014/09/02,"22,7",282,"8,5","=",90,-2,10
"FSL-500",2014/06/11,"18,2",231,"8,2","=",300,1,0
"FSL-500",2014/06/17,"18,6",252,"8,1","=",90,1,0
"FSL-500",2014/06/23,"20,1",266,"8,1","=",270,1,0
"FSL-500",2014/07/02,"22,3",273,"8,1","=",150,1,0
"FSL-500",2014/07/21,"24,1",241,"8,4","=",300,1,0
"FSL-500",2014/08/04,"26,2",290,"8,3","=",110,1,0
"FSL-500",2014/08/19,"22,4",248,"8,3","=",800,1,0
"FSL-500",2014/08/27,"23,8",282,"8,4","=",360,1,0
"FSL-500",2014/09/09,"22,4",277,"8,6","=",73,1,0
"FSL-500",2014/09/16,"18,1",276,"8,6","=",82,1,0
"FSL-500",2014/10/01,"17,8",263,"8,6","=",3200,1,0
"FSL-500",2014/06/03,"17,4",221,"8,0","=",44,0,20
"FSL-500",2014/08/13,"22,2",281,"8,1","=",2900,0,32
"FSL-500",2014/10/07,"15,6",248,"8,3","=",200,0,3
"FSL-500",2014/10/15,"15,8",281,"8,0","=",120,0,1
"FSL-500",2014/07/08,"24,8",294,"7,7","=",200,-1,9
"FSL-500",2014/07/16,"22,4",284,"8,3","=",700,-1,2
"FSL-500",2014/09/24,"17,2",269,"8,6","=",64,-1,1
"FSL-500",2014/07/30,"23,2",326,"8,3","=",120,-2,8
"FSL-500",2014/09/02,"22,9",282,"8,5","=",92,-2,10
"IBIZ-11.5",2014/07/03,"23,3",193,"8,2","=",42,1,0
"IBIZ-11.5",2014/08/21,"22,1",130,"8,6","=",40,1,0
"IBIZ-11.5",2014/08/28,"22,3",120,"8,6","=",30,1,0
"IBIZ-11.5",2014/10/02,"14,8",108,"8,1","=",58,1,0
"IBIZ-11.5",2014/06/12,"18,1",130,"7,7","=",900,0,28
"IBIZ-11.5",2014/07/31,"23,8",112,"8,8","=",8,0,6
"IBIZ-11.5",2014/08/07,"25,0",124,"8,8","=",25,0,4
"IBIZ-11.5",2014/09/11,"20,5",148,"7,9","=",220,0,5
"IBIZ-11.5",2014/09/18,"14,6",141,"8,1","=",100,0,2
"IBIZ-11.5",2014/10/16,"15,1",114,"7,6","=",260,0,9
"IBIZ-11.5",2014/06/19,"20,0",230,"7,8","=",110,-1,25
"IBIZ-11.5",2014/07/24,"24,0",108,"8,6","=",39,-1,11
"IBIZ-11.5",2014/08/14,"19,4",132,"8,2","=",400,-1,44
"IBIZ-11.5",2014/10/09,"11,8",104,"7,8","=",230,-1,22
"IBIZ-11.5",2014/06/05,"17,6",143,"7,7","=",43,-2,21
"IBIZ-11.5",2014/06/26,"20,8",179,"7,8","=",330,-2,44
"IBIZ-11.5",2014/07/10,"22,4",198,"8,5","=",98,-2,6
"IBIZ-11.5",2014/07/17,"21,7",181,"8,7","=",100,-2,2
"IBIZ-11.5",2014/09/04,"23,5",179,"8,6","=",50,-2,3
"IBIZ-11.5",2014/09/25,"16,3",109,"8,1","=",200,-2,1
"IBIZ-13",2014/07/03,"23,2",132,"7,9","=",25,1,0
"IBIZ-13",2014/08/21,"21,7",95,"7,9","=",240,1,0
"IBIZ-13",2014/08/28,"22,6",97,"8,4","=",110,1,0
"IBIZ-13",2014/10/02,"16,7",82,"9,3","=",3,1,0
"IBIZ-13",2014/06/12,"18,0",78,"7,7","=",100,0,29
"IBIZ-13",2014/07/31,"23,4",100,"8,4","=",100,0,6
"IBIZ-13",2014/08/07,"24,1",98,"8,4","=",42,0,4
"IBIZ-13",2014/09/11,"21,3",96,"7,9","=",310,0,5
"IBIZ-13",2014/09/18,"17,9",97,"8,0","=",8,0,2
"IBIZ-13",2014/10/16,"14,4",86,"7,7","=",42,0,9
"IBIZ-13",2014/06/19,"20,8",109,"8,0","=",21,-1,25
"IBIZ-13",2014/07/24,"23,6",102,"8,3","=",30,-1,11
"IBIZ-13",2014/08/14,"20,4",91,"8,2","=",150,-1,44
"IBIZ-13",2014/10/09,"13,8",83,"7,8","=",90,-1,22
"IBIZ-13",2014/06/05,"17,0",74,"7,9","<",2,-2,21
"IBIZ-13",2014/06/26,"21,0",89,"7,8","=",78,-2,44
"IBIZ-13",2014/07/10,"22,6",110,"8,2","=",15,-2,6
"IBIZ-13",2014/07/17,"22,6",108,"8,6","=",34,-2,2
"IBIZ-13",2014/09/04,"23,3",104,"8,8","=",16,-2,3
"IBIZ-13",2014/09/25,"16,8",86,"8,1","=",16,-2,1
"IBIZ-14",2014/07/03,"23,8",127,"7,9","=",25,1,0
"IBIZ-14",2014/08/21,"21,7",92,"7,6","=",84,1,0
"IBIZ-14",2014/08/28,"22,7",97,"7,7","=",52,1,0
"IBIZ-14",2014/10/02,"16,7",83,"8,4","=",23,1,0
"IBIZ-14",2014/06/12,"17,9",77,"7,5","=",7,0,29
"IBIZ-14",2014/07/31,"23,3",100,"8,0","=",15,0,6
"IBIZ-14",2014/08/07,"23,7",97,"8,2","=",5,0,4
"IBIZ-14",2014/09/11,"21,1",93,"7,9","=",13,0,5
"IBIZ-14",2014/09/18,"17,3",97,"8,1","=",10,0,2
"IBIZ-14",2014/10/16,"15,1",86,"7,7","=",13,0,9
"IBIZ-14",2014/06/19,"20,2",100,"7,6","=",13,-1,25
"IBIZ-14",2014/07/24,"23,8",102,"7,8","=",64,-1,11
"IBIZ-14",2014/08/14,"21,3",88,"7,9","=",40,-1,44
"IBIZ-14",2014/10/09,"13,8",82,"7,8","=",30,-1,22
"IBIZ-14",2014/06/05,"17,4",77,"7,7","=",7,-2,21
"IBIZ-14",2014/06/26,"23,3",104,"7,7","=",36,-2,44
"IBIZ-14",2014/07/10,"22,8",111,"8,0","=",5,-2,6
"IBIZ-14",2014/07/17,"22,5",113,"7,7","=",21,-2,2
"IBIZ-14",2014/09/04,"23,5",99,"8,2","=",26,-2,3
"IBIZ-14",2014/09/25,"16,6",90,"7,9","=",25,-2,1
"IBIZ-15",2014/07/03,"23,4",123,"8,1","=",18,1,0
"IBIZ-15",2014/08/21,"21,6",94,"7,9","=",30,1,0
"IBIZ-15",2014/08/28,"23,2",96,"8,0","=",58,1,0
"IBIZ-15",2014/10/02,"17,7",81,"8,5","=",13,1,0
"IBIZ-15",2014/06/12,"17,9",87,"7,6","=",100,0,29
"IBIZ-15",2014/07/31,"23,5",97,"8,2","=",36,0,11
"IBIZ-15",2014/08/07,"24,7",96,"8,3","=",16,0,4
"IBIZ-15",2014/09/11,"21,6",95,"7,9","=",25,0,5
"IBIZ-15",2014/09/18,"18,4",98,"8,1","=",64,0,2
"IBIZ-15",2014/10/16,"14,6",88,"7,6","=",11,0,9
"IBIZ-15",2014/06/19,"20,8",114,"7,6","=",40,-1,25
"IBIZ-15",2014/07/24,"23,9",101,"8,1","=",68,-1,11
"IBIZ-15",2014/08/14,"21,6",91,"7,9","=",110,-1,44
"IBIZ-15",2014/10/09,"14,3",84,"7,8","=",54,-1,22
"IBIZ-15",2014/06/05,"17,2",82,"7,8","=",72,-2,21
"IBIZ-15",2014/06/26,"21,6",101,"7,7","=",1100,-2,44
"IBIZ-15",2014/07/10,"23,1",115,"8,1","=",36,-2,6
"IBIZ-15",2014/07/17,"23,2",117,"8,3","=",15,-2,2
"IBIZ-15",2014/09/04,"23,9",101,"8,4","=",36,-2,3
"IBIZ-15",2014/09/25,"17,1",90,"8,0","=",13,-2,1
"IBIZ-2",2014/07/03,"23,4",127,"7,8","=",24,1,0
"IBIZ-2",2014/07/31,"22,7",87,"8,2","=",460,1,0
"IBIZ-2",2014/08/21,"21,5",87,"7,9","=",10,1,0
"IBIZ-2",2014/08/28,"22,5",94,"8,1","=",74,1,0
"IBIZ-2",2014/10/02,"16,1",82,"8,0","=",21,1,0
"IBIZ-2",2014/06/12,"18,0",77,"7,6","=",150,0,28
"IBIZ-2",2014/08/07,"23,5",93,"8,2","=",120,0,4
"IBIZ-2",2014/09/11,"21,4",94,"8,0","=",130,0,5
"IBIZ-2",2014/09/18,"18,0",96,"8,0","=",20,0,2
"IBIZ-2",2014/10/16,"14,4",87,"7,7","=",20,0,8
"IBIZ-2",2014/06/19,"20,7",105,"7,8","=",28,-1,25
"IBIZ-2",2014/07/24,"22,9",102,"8,1",">",6000,-1,11
"IBIZ-2",2014/08/14,"21,5",87,"7,9","=",260,-1,44
"IBIZ-2",2014/10/09,"14,3",83,"7,8","=",100,-1,22
"IBIZ-2",2014/06/05,"17,0",77,"7,6","=",140,-2,21
"IBIZ-2",2014/06/26,"20,9",98,"7,7","=",310,-2,44
"IBIZ-2",2014/07/10,"22,5",112,"7,9","=",64,-2,6
"IBIZ-2",2014/07/17,"23,0",109,"8,2","=",200,-2,2
"IBIZ-2",2014/09/04,"23,0",94,"8,2","=",52,-2,3
"IBIZ-2",2014/09/25,"16,3",90,"8,0","=",28,-2,1
"IBIZ-4",2014/07/03,"23,3",125,"7,8","=",7,1,0
"IBIZ-4",2014/07/31,"22,4",99,"7,9","=",2,1,0
"IBIZ-4",2014/08/21,"21,6",86,"7,7","=",8,1,0
"IBIZ-4",2014/08/28,"22,1",94,"7,9","=",16,1,0
"IBIZ-4",2014/10/02,"15,8",83,"8,0","=",20,1,0
"IBIZ-4",2014/06/12,,,,,,0,28
"IBIZ-4",2014/08/07,"23,0",92,"7,8","=",30,0,4
"IBIZ-4",2014/09/11,"21,7",94,"7,8","=",30,0,5
"IBIZ-4",2014/09/18,"17,6",97,"8,0","=",10,0,2
"IBIZ-4",2014/10/16,"14,3",86,"7,6","=",30,0,8
"IBIZ-4",2014/06/19,,,,,,-1,25
"IBIZ-4",2014/07/24,"23,0",100,"7,9","=",18,-1,11
"IBIZ-4",2014/08/14,"21,6",89,"7,8","=",33,-1,44
"IBIZ-4",2014/10/09,"14,2",115,"7,8","=",23,-1,22
"IBIZ-4",2014/06/05,,,,,,-2,21
"IBIZ-4",2014/06/26,,,,,,-2,44
"IBIZ-4",2014/07/10,"21,8",111,"7,9","=",11,-2,6
"IBIZ-4",2014/07/17,"21,9",108,"7,8","=",5,-2,2
"IBIZ-4",2014/09/04,"22,3",99,"7,9","=",5,-2,3
"IBIZ-4",2014/09/25,"16,1",89,"8,0","=",20,-2,1
"IBIZ-7",2014/07/03,"23,5",129,"7,8","=",26,1,
"IBIZ-7",2014/07/31,"23,1",100,"8,2","=",11,1,0
"IBIZ-7",2014/08/21,"21,8",78,"8,0","=",60,1,0
"IBIZ-7",2014/08/28,"22,3",90,"8,1","=",150,1,0
"IBIZ-7",2014/10/02,"16,1",82,"8,1","=",38,1,0
"IBIZ-7",2014/06/12,"17,9",78,"7,7","=",78,0,28
"IBIZ-7",2014/08/07,"23,4",92,"8,1","=",16,0,4
"IBIZ-7",2014/09/11,"22,3",94,"7,9","=",550,0,5
"IBIZ-7",2014/09/18,"17,4",88,"8,1","=",86,0,2
"IBIZ-7",2014/10/16,"14,5",87,"7,6","=",44,0,8
"IBIZ-7",2014/06/19,"20,4",100,"7,9","=",110,-1,25
"IBIZ-7",2014/07/24,"23,6",100,"8,1","=",27,-1,11
"IBIZ-7",2014/08/14,"21,3",89,"8,0","=",39,-1,44
"IBIZ-7",2014/10/09,"14,0",82,"7,9","=",44,-1,22
"IBIZ-7",2014/06/05,"17,0",79,"7,8","=",18,-2,21
"IBIZ-7",2014/06/26,"21,2",98,"7,7","=",100,-2,44
"IBIZ-7",2014/07/10,"22,4",110,"8,0","=",20,-2,6
"IBIZ-7",2014/07/17,"22,0",109,"8,0","=",11,-2,2
"IBIZ-7",2014/09/04,"22,9",91,"8,1","=",96,-2,3
"IBIZ-7",2014/09/25,"17,1",90,"8,0","=",520,-2,1
"IBIZ-8.5",2014/07/03,"23,7",137,"8,1","=",64,1,0
"IBIZ-8.5",2014/08/21,"22,0",96,"8,7","=",30,1,0
"IBIZ-8.5",2014/08/28,"22,6",103,"8,9","=",11,1,0
"IBIZ-8.5",2014/10/02,"15,1",92,"8,1","=",25,1,0
"IBIZ-8.5",2014/06/12,"18,2",81,"7,6","=",8,0,28
"IBIZ-8.5",2014/07/31,"23,1",109,"8,7","=",8,0,6
"IBIZ-8.5",2014/08/07,"23,4",100,"8,6","=",8,0,4
"IBIZ-8.5",2014/09/11,"21,0",103,"7,9","=",41,0,5
"IBIZ-8.5",2014/09/18,"16,2",107,"8,3","=",23,0,2
"IBIZ-8.5",2014/10/16,"15,2",100,"7,6","=",44,0,9
"IBIZ-8.5",2014/06/19,"20,7",105,"7,8","=",31,-1,25
"IBIZ-8.5",2014/07/24,"23,6",107,"8,9","=",31,-1,11
"IBIZ-8.5",2014/08/14,"19,2",124,"8,3","=",160,-1,44
"IBIZ-8.5",2014/10/09,"12,9",196,"7,7","=",150,-1,22
"IBIZ-8.5",2014/06/05,"17,7",94,"7,9","=",18,-2,21
"IBIZ-8.5",2014/06/26,"22,4",108,"7,9","=",92,-2,44
"IBIZ-8.5",2014/07/10,"22,1",131,"8,7","=",33,-2,6
"IBIZ-8.5",2014/07/17,"21,9",131,"8,8","=",45,-2,2
"IBIZ-8.5",2014/09/04,"22,7",110,"8,9","=",20,-2,3
"IBIZ-8.5",2014/09/25,"16,4",98,"8,1","=",60,-2,1
"LSL-0.5",2014/06/09,"19,3",157,"7,9","=",38,1,0
"LSL-0.5",2014/06/30,"22,5",235,"8,2","=",82,1,0
"LSL-0.5",2014/08/05,"23,8",254,"8,7","=",26,1,0
"LSL-0.5",2014/08/11,"24,6",269,"8,7","=",28,1,0
"LSL-0.5",2014/08/20,"22,3",174,"8,7","=",18,1,0
"LSL-0.5",2014/08/26,"23,7",212,"8,7","=",20,1,0
"LSL-0.5",2014/09/10,"21,9",167,"8,5","=",7,1,0
"LSL-0.5",2014/09/29,"18,6",112,"8,5","=",38,1,0
"LSL-0.5",2014/06/18,"20,2",205,"8,2","=",86,0,25
"LSL-0.5",2014/06/24,"21,2",220,"8,2","=",160,0,4
"LSL-0.5",2014/07/15,"22,3",234,"8,4","=",74,0,12
"LSL-0.5",2014/07/23,"24,0",232,"8,5","=",2300,0,11
"LSL-0.5",2014/10/08,"14,7",99,"8,2","=",390,0,20
"LSL-0.5",2014/10/15,"15,4",98,"8,0","=",16,0,1
"LSL-0.5",2014/06/04,"18,7",149,"8,0","=",110,-1,21
"LSL-0.5",2014/07/09,"22,4",229,"8,4","=",58,-1,15
"LSL-0.5",2014/07/29,"22,1",220,"8,9","=",21,-1,17
"LSL-0.5",2014/09/01,"22,5",188,"8,5","=",100,-1,10
"LSL-0.5",2014/09/22,"16,0",136,"8,6","=",160,-1,5
"LSL-0.5",2014/09/15,"16,7",150,"8,5","=",84,-2,18
"LSL-1",2014/06/09,"20,7",144,"8,3","=",150,1,0
"LSL-1",2014/06/30,"24,9",221,"8,8","=",490,1,0
"LSL-1",2014/08/05,"25,0",227,"9,0","=",450,1,0
"LSL-1",2014/08/11,"27,3",232,"9,1","=",56,1,0
"LSL-1",2014/08/20,"21,8",234,"8,8","=",2700,1,0
"LSL-1",2014/08/26,"25,5",193,"9,2","=",130,1,0
"LSL-1",2014/09/10,"22,5",201,"8,8","=",84,1,0
"LSL-1",2014/09/29,"19,3",115,"8,7","=",110,1,0
"LSL-1",2014/06/18,"21,7",273,"8,9","=",34,0,25
"LSL-1",2014/06/24,"21,7",205,"8,5","=",68,0,4
"LSL-1",2014/07/15,"22,7",226,"8,9","=",68,0,12
"LSL-1",2014/07/23,"25,2",216,"8,7","=",1100,0,11
