"Point d'échantillonnage","Date","Température (oC)","Conductivité (µs/cm2)","pH","Signe","Coliformes fécaux (colonies/100mL)"
"FSL-300","2011-05-18  14:19:54","10,8","206","8,1","=","45"
"FSL-300","2011-06-27  14:22:44","19,2","264","7,8","=","31"
"FSL-300","2011-09-28  12:49:10","19,1","299","8,5","=","8"
"FSL-310","2011-06-08  13:34:05","17,8","237","8,3","=","7"
"FSL-310","2011-07-18  12:55:30","24,1","276","8,5","=","18"
"FSL-310","2011-09-19  13:16:02","19","276","8,7","=","16"
"FSL-310","2011-06-21  14:41:06","20,3","269","8,4","=","15"
"FSL-310","2011-07-06  11:34:58","21,8","269","8,2","=","15"
"FSL-310","2011-08-29  13:09:47","21,3","282","8,4","=","1700"
"FSL-310","2011-09-13  12:22:24","21,6","282","8,7","=","270"
"FSL-310","2011-05-24  14:09:00","15,4","233","8","=","5"
"FSL-310","2011-05-30  14:03:34","15,6","230","8,2","=","20"
"FSL-310","2011-06-14  13:53:57","16,9","247","8,2","=","40"
"FSL-310","2011-07-12  13:21:40","23,2","272","8,4","=","7"
"FSL-310","2011-07-27  12:41:53","24,1","279","8,6","=","34"
"FSL-310","2011-08-02  13:11:38","24,3","279","8,5","=","420"
"FSL-310","2011-08-08  13:44:02","24,8","280","8,5","=","11"
"FSL-310","2011-08-17  12:56:09","24,1","279","8,6","=","10"
"FSL-310","2011-08-23  12:51:05","22,5","291","8,4","=","66"
"FSL-310","2011-09-07  13:38:21","21,1","288","8,4","=","200"
"FSL-310","2011-05-18  14:28:29","10,9","206","8,1","=","18"
"FSL-310","2011-06-27  14:37:59","19,9","265","8","=","84"
"FSL-310","2011-09-28  13:01:04","19,4","299","8,6","<","2"
"FSL-330","2011-06-08  13:46:20","17,6","238","8,2","=","13"
"FSL-330","2011-07-18  13:07:04","24,6","280","8,6","=","82"
"FSL-330","2011-09-19  13:26:55","20,2","287","8,9","=","11"
"FSL-330","2011-06-21  14:52:45","21,2","270","8,6","=","15"
"FSL-330","2011-07-06  11:44:21","21,9","266","8,5","=","62"
"FSL-330","2011-08-29  14:09:51","21,4","286","8,4","=","1100"
"FSL-330","2011-09-13  13:02:04","21,6","284","8,6","=","400"
"FSL-330","2011-05-30  14:19:15","15,5","231","8,2","=","18"
"FSL-330","2011-06-14  14:06:09","17,8","250","8,3","=","74"
"FSL-330","2011-07-12  13:32:57","24,1","273","8,6","=","15"
"FSL-330","2011-07-27  13:33:12","24,4","280","8,7","=","30"
"FSL-330","2011-08-02  13:22:10","24,7","280","8,6","=","570"
"FSL-330","2011-08-08  13:56:12","25,8","309","8,8","=","84"
"FSL-330","2011-08-17  13:10:21","24,9","280","8,9","=","43"
"FSL-330","2011-08-23  13:02:41","22,8","295","8,5","=","550"
"FSL-330","2011-09-07  13:51:41","20,9","286","8,4","=","18"
"FSL-330","2011-05-24  14:22:00","16,5","244","8,2","=","10"
"FSL-330","2011-06-27  14:53:43","20,8","270","8,2","=","100"
"FSL-330","2011-09-28  13:12:12","19,9","297","8,8","=","62"
"FSL-330","2011-05-18  14:42:32","10,7","211","8,1","=","18"
"FSL-340","2011-06-08  13:57:56","18,5","245","8,5","=","21"
"FSL-340","2011-07-18  13:17:22","23,9","280","8,4","=","11"
"FSL-340","2011-09-19  13:36:50","18,3","277","8,6","=","10"
"FSL-340","2011-06-21  15:03:55","20","271","8,4","=","10"
"FSL-340","2011-07-06  11:53:15","21,8","272","8,2","=","28"
"FSL-340","2011-08-29  14:20:34","20,9","284","8,4","=","490"
"FSL-340","2011-09-13  13:11:38","21,3","285","8,5","=","400"
"FSL-340","2011-05-24  14:38:00","15,6","239","8,2","=","10"
"FSL-340","2011-05-30  14:31:36","15,1","234","8,1","=","48"
"FSL-340","2011-06-14  14:21:07","18,4","256","8,4","=","46"
"FSL-340","2011-07-12  13:45:01","22,9","274","8,3","=","5"
"FSL-340","2011-07-27  13:44:21","23,9","282","8,5","=","21"
"FSL-340","2011-08-02  13:32:19","24,3","282","8,4","=","270"
"FSL-340","2011-08-08  14:06:31","24,8","306","8,5","=","13"
"FSL-340","2011-08-17  13:20:55","23,5","283","8,5","=","16"
"FSL-340","2011-08-23  13:14:05","22,1","295","8,4","=","74"
"FSL-340","2011-09-07  14:01:46","21,1","288","8,4","=","25"
"FSL-340","2011-05-18  14:53:08","10,8","218","8,1","=","18"
"FSL-340","2011-06-27  15:10:17","19,8","269","8,1","=","56"
"FSL-340","2011-09-28  13:22:36","19,3","300","8,6","=","5"
"FSL-360","2011-06-08  14:09:30","19,8","248","8,5","=","48"
"FSL-360","2011-07-18  13:26:16","24,6","277","8,8","=","190"
"FSL-360","2011-09-19  13:45:21","18,9","278","8,7","=","46"
"FSL-360","2011-06-21  15:12:05","21,3","283","8,6","=","21"
"FSL-360","2011-07-06  12:02:17","21,9","275","8,1","=","28"
"FSL-360","2011-08-29  14:33:30","21,3","291","8,5","=","700"
"FSL-360","2011-09-13  13:18:46","21,6","286","8,6","=","350"
"FSL-360","2011-05-24  14:48:00","15,8","244","8,3","=","66"
"FSL-360","2011-05-30  14:39:01","16","237","8,3","=","120"
"FSL-360","2011-06-14  14:33:03","18,6","271","8,4","=","220"
"FSL-360","2011-07-12  13:54:00","23,5","273","8,5","=","56"
"FSL-360","2011-07-27  13:55:22","24,6","281","9","=","120"
"FSL-360","2011-08-02  13:42:45","24,7","280","8,7","=","420"
"FSL-360","2011-08-08  14:17:03","25,5","303","8,8","=","30"
"FSL-360","2011-08-17  13:29:45","24","283","8,6","=","40"
"FSL-360","2011-08-23  13:21:42","22,4","299","8,5","=","160"
"FSL-360","2011-09-07  14:09:22","20,9","289","8,4","<","10"
"FSL-360","2011-05-18  15:03:33","11,1","225","8,2","=","63"
"FSL-360","2011-06-27  15:19:10","20,4","287","8,3","=","110"
"FSL-360","2011-09-28  13:29:51","19,5","302","8,6","=","78"
"FSL-380","2011-06-08  14:18:48","18,4","244","8,7","=","31"
"FSL-380","2011-07-18  13:33:23","24,4","280","8,5","=","230"
"FSL-380","2011-09-19  13:52:01","19,5","277","8,9","=","18"
"FSL-380","2011-06-21  15:19:42","21,5","283","8,5","=","100"
"FSL-380","2011-07-06  12:36:03","21,9","279","8,2","=","98"
"FSL-380","2011-08-29  14:41:40","21,6","296","8,6","=","1300"
"FSL-380","2011-09-13  13:25:55","21,7","285","8,8","=","240"
"FSL-380","2011-05-24  15:01:00","15,2","239","8,3","=","11"
"FSL-380","2011-05-30  14:49:16","22,6","256","8,3","=","110"
"FSL-380","2011-06-14  14:41:54","20,2","261","8,6","=","58"
"FSL-380","2011-07-12  14:02:56","23,9","272","8,5","=","64"
"FSL-380","2011-07-27  14:03:44","24,5","284","8,7","=","56"
"FSL-380","2011-08-02  13:52:23","25,3","285","8,5","=","320"
"FSL-380","2011-08-08  14:25:13","26","295","8,9","=","16"
"FSL-380","2011-08-17  13:38:43","24,8","284","8,9","=","58"
"FSL-380","2011-08-23  13:29:36","22,9","308","8,7","=","98"
"FSL-380","2011-09-07  14:16:38","20,9","291","8,4","=","81"
"FSL-380","2011-05-18  15:12:41","11,4","221","8,4","=","27"
"FSL-380","2011-06-27  15:28:52","21","283","8,1","=","92"
"FSL-380","2011-09-28  13:37:10","19,5","300","8,8","=","20"
"FSL-400","2011-06-08  14:33:35","19","247","8,7","=","330"
"FSL-400","2011-07-18  13:40:29","26,1","283","8,5","=","1000"
"FSL-400","2011-09-19  13:59:45","20,8","288","9,1","=","240"
"FSL-400","2011-06-21  15:26:31","21,4","282","8,5","=","420"
"FSL-400","2011-07-06  12:43:12","22,3","282","8,3","=","280"
"FSL-400","2011-08-29  14:49:38","22,4","298","8,7","=","580"
"FSL-400","2011-09-13  13:38:08","22,2","296","8,8",">","6000"
"FSL-400","2011-05-24  15:10:00","15,7","244","8,2","=","220"
"FSL-400","2011-05-30  14:59:58","15,7","238","8,2","=","430"
"FSL-400","2011-06-14  14:49:57","18,8","264","8,4","=","400"
"FSL-400","2011-07-12  14:10:18","24,6","276","8,5","=","430"
"FSL-400","2011-07-27  14:14:02","26,4","281","8,9","=","260"
"FSL-400","2011-08-02  14:04:31","26,2","285","8,8","=","460"
"FSL-400","2011-08-08  14:34:13","26,6","297","8,9","=","27"
"FSL-400","2011-08-17  13:46:14","25,4","285","8,9","=","58"
"FSL-400","2011-08-23  13:37:52","23,5","315","8,8","=","3300"
"FSL-400","2011-09-07  14:24:44","20,4","213","8,5","=","420"
"FSL-400","2011-05-18  15:21:49","11","223","8,2","<","10"
"FSL-400","2011-06-27  15:40:31","20,9","293","8","=","800"
"FSL-400","2011-09-28  13:45:22","19,9","313","9","=","200"
"FSL-420","2011-06-08  14:42:13","18,7","245","8,7","=","270"
"FSL-420","2011-07-18  13:49:09","25,1","281","8,6","=","1200"
"FSL-420","2011-09-19  14:08:52","19,7","276","8,9","=","90"
"FSL-420","2011-06-21  15:35:55","21,1","276","8,4","=","240"
"FSL-420","2011-07-06  12:51:18","22,2","278","8,2","=","510"
"FSL-420","2011-08-29  14:58:45","22","292","8,6","=","640"
"FSL-420","2011-09-13  13:47:02","21,8","288","8,7","=","6000"
"FSL-420","2011-05-24  15:20:00","15,8","241","8,3","=","200"
"FSL-420","2011-05-30  15:11:20","15,9","240","8,2","=","4700"
"FSL-420","2011-06-14  14:58:41","18,4","258","8,4","=","430"
"FSL-420","2011-07-12  14:18:36","24,3","274","8,5","=","250"
"FSL-420","2011-07-27  14:23:41","25,4","288","8,7","=","120"
"FSL-420","2011-08-02  14:13:15","25,4","285","8,6","=","910"
"FSL-420","2011-08-08  14:42:00","25,9","299","8,8","=","81"
"FSL-420","2011-08-17  13:54:57","25","285","8,8","=","48"
"FSL-420","2011-08-23  13:48:21","23,3","311","8,7","=","1700"
"FSL-420","2011-09-07  14:32:43","20,8","293","8,5","=","390"
"FSL-420","2011-09-28  13:52:39","19,6","300","8,8","=","68"
"FSL-420","2011-05-18  15:31:01","11,2","223","8,2","=","36"
"FSL-420","2011-06-27  15:49:25","20,7","281","8,1","=","470"
"FSL-425","2011-06-08  14:47:53","18,7","245","8,8","=","390"
"FSL-425","2011-07-18  13:54:51","25,6","282","8,6","=","800"
"FSL-425","2011-09-19  14:13:58","20,2","275","9,1","=","90"
"FSL-425","2011-06-21  15:42:21","21","276","8,4","=","190"
"FSL-425","2011-07-06  13:00:44","22,2","279","8,2","=","340"
"FSL-425","2011-08-29  15:04:39","22,4","291","8,7","=","1100"
"FSL-425","2011-09-13  13:54:06","21,9","288","8,7","=","4200"
"FSL-425","2011-05-24  15:28:00","15,2","240","8,1","=","94"
"FSL-425","2011-05-30  15:19:37","15,9","237","8,2","=","420"
"FSL-425","2011-06-14  15:07:08","18,7","258","8,4","=","290"
"FSL-425","2011-07-12  14:27:25","24,8","274","8,5","=","210"
"FSL-425","2011-07-27  14:30:14","25","285","8,7","=","120"
"FSL-425","2011-08-02  14:21:12","25,1","284","8,6","=","590"
"FSL-425","2011-08-08  14:51:01","25,8","299","8,8","=","27"
"FSL-425","2011-08-17  14:01:09","24,8","285","8,8","=","50"
"FSL-425","2011-08-23  13:54:37","23,1","309","8,7","=","100"
"FSL-425","2011-09-07  14:38:32","20,9","292","8,5","=","350"
"FSL-425","2011-05-18  15:37:31","11","220","8,2","=","36"
"FSL-425","2011-06-27  16:00:04","20,5","279","8,1","=","230"
"FSL-425","2011-09-28  13:58:12","19,9","300","8,8","=","100"
"FSL-430","2011-06-08  14:55:51","19","244","8,9","=","160"
"FSL-430","2011-07-18  14:02:00","25,3","280","8,6","=","510"
"FSL-430","2011-09-19  14:20:13","19,3","275","9","=","66"
"FSL-430","2011-06-21  15:49:43","21,8","278","8,4","=","86"
"FSL-430","2011-07-06  13:08:02","23","261","8","=","110"
"FSL-430","2011-08-29  15:11:45","22,5","292","8,4","=","1600"
"FSL-430","2011-09-13  14:02:08","21,9","285","8,7","=","1200"
"FSL-430","2011-05-24  15:37:00","15,1","239","8,2","=","66"
"FSL-430","2011-05-30  15:26:56","16,6","243","8,3","=","290"
"FSL-430","2011-06-14  15:15:30","18,7","254","8,6","=","96"
"FSL-430","2011-07-12  14:34:32","24,2","272","8,6","=","86"
"FSL-430","2011-07-27  14:37:03","25,5","287","8,5","=","130"
"FSL-430","2011-08-02  14:27:50","25,5","274","8,5","=","510"
"FSL-430","2011-08-08  14:59:13","25,8","300","8,8","=","220"
"FSL-430","2011-08-17  14:07:18","25","287","8,5","=","31"
"FSL-430","2011-08-23  14:02:05","23,3","303","8,7","=","64"
"FSL-430","2011-09-07  14:46:08","20,2","290","8,2","=","160"
"FSL-430","2011-05-18  15:47:00","11,4","218","8,2","=","54"
"FSL-430","2011-06-27  16:11:04","21,6","280","8,1","=","390"
"FSL-430","2011-09-28  14:04:32","19,7","299","8,8","=","78"
"FSL-460","2011-06-08  15:07:09","21,5","246","9","=","210"
"FSL-460","2011-07-18  14:09:36","25,1","285","8,6","=","1600"
"FSL-460","2011-09-19  14:28:30","19,1","286","8,8","=","800"
"FSL-460","2011-06-21  15:57:13","21,5","281","8,4","=","600"
"FSL-460","2011-07-06  13:16:58","22,4","279","8,2","=","480"
"FSL-460","2011-08-29  15:22:04","21,6","302","8,5","=","820"
"FSL-460","2011-09-13  14:10:17","21,5","292","8,6","=","2700"
"FSL-460","2011-05-24  15:48:00","15,8","245","8,2","=","60"
"FSL-460","2011-05-30  15:41:48","18,8","248","8,4","=","480"
"FSL-460","2011-06-14  15:26:14","18,3","257","8,6","=","110"
"FSL-460","2011-07-12  14:42:58","23,7","278","8,4","=","350"
"FSL-460","2011-07-27  14:46:41","25","287","8,7","=","230"
"FSL-460","2011-08-02  14:35:40","25,1","285","8,6","=","1900"
"FSL-460","2011-08-08  15:08:56","25,5","306","8,7","=","520"
"FSL-460","2011-08-17  14:15:24","24,4","288","8,7","=","390"
"FSL-460","2011-08-23  14:10:56","23","318","8,6","=","21"
"FSL-460","2011-09-07  14:54:30","20,9","296","8,3","=","540"
"FSL-460","2011-05-18  15:55:49","11","217","8,2","=","9"
"FSL-460","2011-06-27  16:20:39","20,8","284","8,1","=","460"
"FSL-460","2011-09-28  14:13:26","19,7","306","8,8","=","480"
"FSL-480","2011-06-08  15:16:23","19,6","248","8,6","=","60"
"FSL-480","2011-07-18  14:18:42","25","281","8,5","=","250"
"FSL-480","2011-09-19  14:36:40","19,7","294","8,6","=","220"
"FSL-480","2011-06-21  16:05:54","21,1","276","8,4","=","120"
"FSL-480","2011-07-06  13:24:31","22,3","273","8,2","=","220"
"FSL-480","2011-08-29  15:29:38","21,5","296","8,5","=","600"
"FSL-480","2011-09-13  14:19:10","21,5","311","8,3","=","300"
"FSL-480","2011-05-24  16:00:00","15,5","241","8,2","=","210"
"FSL-480","2011-05-30  15:50:35","16,5","239","8,3","=","160"
"FSL-480","2011-06-14  15:34:49","18,6","258","8,4","=","220"
"FSL-480","2011-07-12  14:51:04","23,4","272","8,4","=","56"
"FSL-480","2011-07-27  14:54:14","24,6","284","8,6","=","76"
"FSL-480","2011-08-02  14:43:51","24,8","283","8,5","=","460"
"FSL-480","2011-08-08  15:18:32","25,2","322","8,5","=","120"
"FSL-480","2011-08-17  14:22:31","24,8","286","8,6","=","76"
"FSL-480","2011-08-23  14:19:30","23,5","334","8,5","=","430"
"FSL-480","2011-09-07  15:02:15","20,6","294","8,3","=","230"
"FSL-480","2011-05-18  16:04:33","11,6","223","8,3","=","170"
"FSL-480","2011-06-27  16:29:36","21,5","281","8,2","=","280"
"FSL-480","2011-09-28  14:20:33","19,8","307","8,6","=","440"
"FSL-490","2011-06-08  15:23:34","18,2","243","8,4","=","70"
"FSL-490","2011-07-18  14:25:57","24,4","244","8,4","=","120"
"FSL-490","2011-09-19  14:43:42","18,9","276","8,7","=","23"
"FSL-490","2011-06-21  16:13:57","20,4","275","8,3","=","70"
"FSL-490","2011-07-06  13:33:01","22,2","206","8,2","=","150"
"FSL-490","2011-08-29  15:35:53","21","285","8,5","=","590"
"FSL-490","2011-09-13  14:24:38","21,4","285","8,5","=","500"
"FSL-490","2011-05-24  16:07:00","14,8","239","8,1","=","86"
"FSL-490","2011-05-30  15:58:31","15,4","233","8,2","=","130"
"FSL-490","2011-06-14  15:42:00","17,7","253","8,3","=","140"
"FSL-490","2011-07-12  14:58:38","23,4","272","8,4","=","46"
"FSL-490","2011-07-27  15:01:05","24,1","282","8,5","=","66"
"FSL-490","2011-08-02  14:52:21","24,3","275","8,5","=","600"
"FSL-490","2011-08-08  15:27:24","25,1","301","8,5","=","72"
"FSL-490","2011-08-17  14:28:24","24","284","8,6","=","220"
"FSL-490","2011-08-23  14:27:14","22,7","299","8,5","=","410"
"FSL-490","2011-09-07  15:08:04","20,9","289","8,4","=","150"
"FSL-490","2011-05-18  16:11:32","10,7","218","8,2","=","27"
"FSL-490","2011-06-27  16:35:58","20","271","8,1","=","320"
"FSL-490","2011-09-28  14:26:34","19,4","300","8,6","=","34"
"FSL-500","2011-09-19  14:54:05","19,2","275","8,8","=","2"
"FSL-500","2011-06-08  15:33:13","18,3","246","8,3","=","44"
"FSL-500","2011-07-18  14:33:36","25,5","259","8,3","=","110"
"FSL-500","2011-08-29  15:52:26","20,9","284","8,4","=","1400"
"FSL-500","2011-09-13  14:33:57","21,5","291","8,1","=","590"
"FSL-500","2011-06-21  16:21:57","20,6","274","8,3","=","42"
"FSL-500","2011-07-06  13:40:54","22,1","250","8,1","=","55"
"FSL-500","2011-09-07  15:16:21","20,6","289","8,3","=","270"
"FSL-500","2011-05-24  16:18:00","14,5","239","8,1","=","76"
"FSL-500","2011-05-30  16:06:10","15","234","8","=","74"
"FSL-500","2011-06-14  15:52:52","17,4","252","8,2","=","82"
"FSL-500","2011-07-12  15:06:59","23,8","271","8,2","=","68"
"FSL-500","2011-07-27  15:15:27","24,8","284","8,3","=","1600"
"FSL-500","2011-08-02  15:02:13","24,4","283","8,3","=","2100"
"FSL-500","2011-08-08  15:39:00","25,2","301","8,5","=","820"
"FSL-500","2011-08-17  14:39:04","24","289","8","=","2100"
"FSL-500","2011-08-23  14:41:14","22,7","294","8,5","=","4500"
"FSL-500","2011-09-28  14:35:33","19,8","299","8,7","=","46"
"FSL-500","2011-05-18  16:19:00","10,6","219","8,1","=","36"
"FSL-500","2011-06-27  16:44:29","19,9","270","8,1","=","160"
"IBIZ-1","2011-05-19  11:05:18","12","92","7,9","=","54"
"IBIZ-1","2011-05-26  11:37:35","15,8","104","7,8","=","11"
"IBIZ-1","2011-06-09  10:42:40","19,5","80","7,5","=","42"
"IBIZ-1","2011-06-16  10:57:16","19,9","80","7,2","=","20"
"IBIZ-1","2011-06-30  11:10:47","20","76","7,6","=","44"
"IBIZ-1","2011-07-14  10:23:58","23,6","83","7,5","=","40"
"IBIZ-1","2011-07-21  10:09:01","25,1","80","7,6","=","10"
"IBIZ-1","2011-08-25  11:32:15","22,1","86","7,9","=","7"
"IBIZ-1","2011-09-15  11:46:03","19,9","86","7,6","=","25"
"IBIZ-1","2011-07-07  10:18:16","22,8","88","7,6","=","16"
"IBIZ-1","2011-06-02  10:52:12","16,5","95","7,7","=","46"
"IBIZ-1","2011-06-23  10:31:12","21,1","74","7,3","=","11"
"IBIZ-1","2011-07-28  11:59:19","26","76","7,6","=","20"
"IBIZ-1","2011-08-04  11:23:29","23,8","81","7,7","=","3"
"IBIZ-1","2011-08-11  11:33:55","23,5","77","7,9","=","48"
"IBIZ-1","2011-08-18  11:47:55","24,4","79","7,8","=","15"
"IBIZ-1","2011-09-01  11:55:50","21,7","84","8,1","=","8"
"IBIZ-1","2011-09-08  11:59:34","20,8","88","7,8","=","5"
"IBIZ-1","2011-09-22  11:52:27","19,4","95","7,6","=","10"
"IBIZ-1","2011-09-28  15:43:18","20,3","87","7,7","=","120"
"IBIZ-11.5","2011-05-19  10:03:01","12,8","169","7,9","=","9"
"IBIZ-11.5","2011-05-26  10:36:15","17,3","127","8,1","=","41"
"IBIZ-11.5","2011-06-09  09:56:18","20,1","105","8","=","230"
"IBIZ-11.5","2011-06-16  10:07:31","21,4","112","8,3","=","98"
"IBIZ-11.5","2011-06-30  10:27:35","18,4","96","8","=","2600"
"IBIZ-11.5","2011-07-14  09:41:20","22,7","92","8,1","=","38"
"IBIZ-11.5","2011-07-21  09:22:29","24,8","108","8","=","360"
"IBIZ-11.5","2011-08-25  10:50:39","21,7","177","7,9","=","310"
"IBIZ-11.5","2011-09-15  11:00:35","16,4","186","8,2","=","490"
"IBIZ-11.5","2011-07-07  09:31:34","21,2","110","8,2","=","27"
"IBIZ-11.5","2011-06-02  10:07:02","15,9","111","7,9","=","58"
"IBIZ-11.5","2011-06-23  09:50:08","21,3","88","7,9","=","82"
"IBIZ-11.5","2011-07-28  11:11:17","27,8","86","8,9","=","33"
"IBIZ-11.5","2011-08-04  10:32:36","22","93","8","=","7"
"IBIZ-11.5","2011-08-11  10:46:10","22,2","169","8,5","=","600"
"IBIZ-11.5","2011-08-18  10:56:00","24,9","111","9","=","180"
"IBIZ-11.5","2011-09-01  11:06:36","22,6","148","8,9","=","26"
"IBIZ-11.5","2011-09-08  11:11:39","20,2","138","8,6","=","11"
"IBIZ-11.5","2011-09-22  11:03:36","20,9","129","8,5","=","50"
"IBIZ-11.5","2011-09-28  14:28:55","20,4","106","8","=","21"
"IBIZ-13","2011-08-25  11:01:29","21,8","103","8,1","=","590"
"IBIZ-13","2011-05-19  10:19:12","12","94","7,9","=","36"
"IBIZ-13","2011-05-26  10:50:33","15,7","104","8","=","7"
"IBIZ-13","2011-06-09  10:09:48","19,5","82","7,8","=","8"
"IBIZ-13","2011-06-16  10:22:57","20,1","78","7,7","=","16"
"IBIZ-13","2011-06-30  10:39:55","19,9","78","8,1","=","210"
"IBIZ-13","2011-07-14  09:53:55","23,2","84","7,7","=","100"
"IBIZ-13","2011-07-21  09:34:57","24,8","86","7,6","=","240"
"IBIZ-13","2011-09-15  11:14:25","18,8","99","7,7","=","490"
"IBIZ-13","2011-07-07  09:44:31","22,3","85","8,2","=","10"
"IBIZ-13","2011-08-11  10:57:58","22,3","87","8,2","=","1700"
"IBIZ-13","2011-08-18  11:10:51","24,8","91","9,1","=","94"
"IBIZ-13","2011-09-01  11:21:09","22,1","105","9,1","=","80"
"IBIZ-13","2011-09-08  11:24:26","21,5","105","8,4","=","1300"
"IBIZ-13","2011-09-22  11:18:45","19,9","113","8,3","=","390"
"IBIZ-13","2011-09-28  14:48:06","20,4","103","9","=","200"
"IBIZ-13","2011-06-02  10:19:37","16,1","94","8","=","16"
"IBIZ-13","2011-06-23  10:01:37","21,1","74","7,9","=","15"
"IBIZ-13","2011-07-28  11:23:40","26,3","77","8,4","=","91"
"IBIZ-13","2011-08-04  10:46:17","23,3","89","7,8","=","420"
"IBIZ-13.5","2011-05-19  10:33:17","12,7","90","7,9","=","18"
"IBIZ-13.5","2011-05-26  11:08:34","17,4","123","7,9","=","62"
"IBIZ-13.5","2011-06-09  10:19:33","21,2","100","7,9","=","44"
"IBIZ-13.5","2011-06-16  10:31:44","21,5","87","7,7","=","34"
"IBIZ-13.5","2011-06-30  10:48:51","19,2","84","7,9","=","45"
"IBIZ-13.5","2011-07-14  10:02:03","23,6","86","7,9","=","8"
"IBIZ-13.5","2011-07-21  09:46:02","24,8","89","7,8","=","94"
"IBIZ-13.5","2011-08-25  11:10:47","21,3","99","8,1","=","120"
"IBIZ-13.5","2011-09-15  11:23:02","17,6","96","7,9","=","150"
"IBIZ-13.5","2011-07-07  09:53:43","23,6","95","7,9","=","39"
"IBIZ-13.5","2011-06-02  10:29:03","15,8","97","7,9","=","250"
"IBIZ-13.5","2011-06-23  10:10:41","21,2","84","7,8","=","18"
"IBIZ-13.5","2011-07-28  11:32:23","27,6","79","8,7","=","23"
"IBIZ-13.5","2011-08-04  10:56:10","23,6","86","8,9","=","8"
"IBIZ-13.5","2011-08-11  11:18:44","22,8","91","8,1","=","300"
"IBIZ-13.5","2011-08-18  11:20:36","26,5","92","9,1","=","270"
"IBIZ-13.5","2011-09-01  11:30:17","22,5","95","8,8","=","2"
"IBIZ-13.5","2011-09-08  11:35:12","21,7","100","8,3","=","58"
"IBIZ-13.5","2011-09-22  11:28:03","20,5","109","8,3","=","30"
"IBIZ-13.5","2011-09-28  15:04:25","20,3","89","7","=","15"
"IBIZ-14","2011-05-19  10:39:02","13,6","95","8","=","200"
"IBIZ-14","2011-05-26  11:17:30","16,3","104","7,8","=","11"
"IBIZ-14","2011-06-09  10:25:18","19,6","84","7,9","=","10"
"IBIZ-14","2011-06-16  10:38:36","20,4","79","7,6","=","5"
"IBIZ-14","2011-06-30  10:53:51","19,9","78","7,9","=","28"
"IBIZ-14","2011-07-14  10:07:30","23,8","83","7,6","=","66"
"IBIZ-14","2011-07-21  09:52:00","25","84","7,4","=","82"
"IBIZ-14","2011-08-25  11:15:38","21,8","87","8,1","=","2"
"IBIZ-14","2011-09-15  11:28:35","18,9","87","7,8","=","43"
"IBIZ-14","2011-07-07  09:59:15","22,8","90","7,9","=","16"
"IBIZ-14","2011-06-02  10:34:11","16,9","96","8","=","40"
"IBIZ-14","2011-06-23  10:15:12","21","74","7,7","=","10"
"IBIZ-14","2011-07-28  11:42:35","26,7","78","7,8","=","3"
"IBIZ-14","2011-08-04  11:03:34","22,9","83","7,9","=","7"
"IBIZ-14","2011-08-11  11:23:16","23,5","74","8","=","28"
"IBIZ-14","2011-08-18  11:30:00","24,5","83","7,8","=","8"
"IBIZ-14","2011-09-01  11:35:54","21,8","88","8,5","=","25"
"IBIZ-14","2011-09-08  11:41:00","20,7","90","7,9","=","33"
"IBIZ-14","2011-09-22  11:33:05","20","97","8,3","=","42"
"IBIZ-14","2011-09-28  15:12:17","20,7","87","9,1","=","7"
"IBIZ-15","2011-05-19  10:54:43","13,1","93","7,9","=","9"
"IBIZ-15","2011-05-26  11:29:08","16,3","107","7,8","=","200"
"IBIZ-15","2011-06-09  10:36:40","20,1","86","7,9","=","82"
"IBIZ-15","2011-06-16  10:48:50","21,1","82","7,8","=","23"
"IBIZ-15","2011-06-30  11:04:44","20,1","81","7,9","=","2200"
"IBIZ-15","2011-07-14  10:17:29","24,4","85","7,7","=","240"
"IBIZ-15","2011-07-21  10:02:21","25,3","82","7,7","=","52"
"IBIZ-15","2011-08-25  11:26:00","21,8","88","7,9","=","90"
"IBIZ-15","2011-09-15  11:39:22","19,4","95","7,8","=","150"
"IBIZ-15","2011-07-07  10:09:59","23,2","90","7,9","=","54"
"IBIZ-15","2011-06-02  10:45:16","16,5","99","7,9","=","100"
"IBIZ-15","2011-06-23  10:24:49","21,2","78","7,7","=","15"
"IBIZ-15","2011-07-28  11:52:58","27,1","78","8","=","31"
"IBIZ-15","2011-08-04  11:15:56","23,6","82","8,4","=","8"
"IBIZ-15","2011-08-11  11:08:36","23,7","81","8,1","=","96"
"IBIZ-15","2011-08-18  11:40:30","24,8","81","8,2","=","10"
"IBIZ-15","2011-09-01  11:47:37","25","90","9","=","900"
"IBIZ-15","2011-09-08  11:52:07","22,4","96","8,4","=","110"
"IBIZ-15","2011-09-22  11:43:23","19,9","104","8,3","=","98"
"IBIZ-15","2011-09-28  15:26:14","20,6","95","8,4","=","62"
"IBIZ-2","2011-05-19  09:12:13","12,1","92","8,5","=","54"
"IBIZ-2","2011-05-26  09:48:57","16,1","108","8,3","=","28"
"IBIZ-2","2011-06-09  09:13:44","19,5","83","8,1","=","38"
"IBIZ-2","2011-06-16  09:21:02","19,6","79","7,7","=","100"
"IBIZ-2","2011-06-30  09:49:50","19,9","77","8,4","=","27"
"IBIZ-2","2011-07-14  08:57:06","23,3","83","7,7","=","40"
"IBIZ-2","2011-07-21  08:41:59","25","81","7,8","=","42"
"IBIZ-2","2011-08-25  10:13:46","22,3","87","7,9","=","23"
