"Point d'échantillonnage","Date","Température (oC)","Conductivité (µs/cm2)","pH","Signe","Coliformes fécaux (colonies/100mL)"
"BLAP-10","2011-09-13  10:14:51","21,2","268","8,7","=","28"
"BLAP-10","2011-05-24  10:48:00","15,1","187","7,9","=","7"
"BLAP-10","2011-05-30  10:50:25","15","220","8,2","=","26"
"BLAP-10","2011-06-14  10:31:58","17,6","225","8,3","<","100"
"BLAP-10","2011-07-12  10:16:38","23,5","251","8,5","=","5"
"BLAP-10","2011-07-27  09:55:57","23,6","261","8,5","=","38"
"BLAP-10","2011-08-02  09:27:47","24,3","268","8,5","=","23"
"BLAP-10","2011-08-08  10:27:50","25,7","263","8,6","=","5"
"BLAP-10","2011-08-17  10:02:11","23,7","265","8,6","=","11"
"BLAP-10","2011-08-23  10:09:03","22,3","285","8,5","=","56"
"BLAP-10","2011-09-07  10:01:09","20,8","268","8,4","=","16"
"BLAP-10","2011-05-18  11:19:22","10,9","164","7,9","=","18"
"BLAP-10","2011-06-27  10:58:20","20,5","248","8,3","=","16"
"BLAP-10","2011-09-28  10:13:42","19,2","290","8,6","=","2"
"BLAP-2","2011-06-07  09:41:58","16,8","207","8,1","=","18"
"BLAP-2","2011-06-29  09:14:37","20,5","197","8,2","=","48"
"BLAP-2","2011-07-11  09:59:10","22,6","224","8,3","=","31"
"BLAP-2","2011-07-20  09:18:27","24,1","245","8,4","=","18"
"BLAP-2","2011-08-01  09:24:03","24,5","224","8,4","=","5"
"BLAP-2","2011-05-16  09:31:00","11","102","8,3","=","140"
"BLAP-2","2011-09-06  09:28:25","21,4","248","8,4","=","28"
"BLAP-2","2011-05-23  10:16:00","13,9","152","8,2","=","10"
"BLAP-2","2011-06-01  10:19:07","15,9","189","8,1","=","20"
"BLAP-2","2011-07-26  09:27:20","23,9","222","8,3","=","15"
"BLAP-2","2011-08-10  09:06:13","23,6","236","8,3","=","140"
"BLAP-2","2011-08-22  10:22:14","22,2","248","8,4","=","98"
"BLAP-2","2011-08-31  09:56:38","20,8","220","8,4","=","23"
"BLAP-2","2011-09-21  09:41:33","18","241","8,7","=","16"
"BLAP-2","2011-09-27  09:28:37","20","265","8,7","=","210"
"BLAP-2","2011-06-15  10:38:23","17,8","220","8,3","=","26"
"BLAP-2","2011-06-20  10:14:07","19,3","256","8,5","=","15"
"BLAP-2","2011-07-05  09:38:27","21,8","252","8,3","=","18"
