"Année-Mois";"Station";"Engin";"Latitude";"Longitude";"Secteur";"Espèce";"Commentaires";"Présence / Absence"
"2007-09";"F049";"Filet maillant";"46.26883";"-72.72067";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"2013-09";"F104";"Filet maillant";"46.21464";"-72.768814";"Lac Saint-Pierre";"Perchaude";"";"Absence"
"2007-09";"F001";"Filet maillant";"46.14153";"-72.97147";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"2008-09";"F154";"Filet maillant";"46.47488";"-72.24923";"Bécancour-Batiscan";"Perchaude";"";"Absence"
"2011-09";"F099";"Filet maillant";"46.20382";"-72.78487";"Lac Saint-Pierre";"Perchaude";"";"Absence"
"2013-10";"F50";"Filet maillant";"45.36251";"-73.84653";"Lac Saint-Louis";"Perchaude";"";"Absence"
"1996-09";"F127";"Filet maillant";"45.16944";"-74.36028";"Lac Saint-François";"Perchaude";"";"Présence"
"2006-09";"F12";"Filet maillant";"46.67798";"-71.83004";"Grondines-Saint-Nicolas";"Perchaude";"";"Absence"
"1996-09";"F102";"Filet maillant";"45.20083";"-74.175";"Lac Saint-François";"Perchaude";"";"Présence"
"2008-09";"F164";"Filet maillant";"46.51446";"-72.23455";"Bécancour-Batiscan";"Perchaude";"";"Présence"
"1995-09";"F11";"Filet maillant";"46.19417";"-72.92667";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"1997-09";"F102";"Filet maillant";"45.33361";"-73.88278";"Lac Saint-Louis";"Perchaude";"";"Présence"
"2003-09";"F254";"Filet maillant";"46.06717";"-73.06495";"Archipel du Lac Saint-Pierre";"Perchaude";"";"Absence"
"2011-09";"F64";"Filet maillant";"45.41226";"-73.81833";"Lac Saint-Louis";"Perchaude";"";"Présence"
"1995-09";"F43";"Filet maillant";"46.16611";"-72.80944";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"2013-10";"F67";"Filet maillant";"45.420876";"-73.80263";"Lac Saint-Louis";"Perchaude";"";"Présence"
"1995-09";"F127";"Filet maillant";"46.16167";"-72.99806";"Archipel du Lac Saint-Pierre";"Perchaude";"";"Présence"
"1997-09";"F21";"Filet maillant";"45.36778";"-73.85278";"Lac Saint-Louis";"Perchaude";"";"Présence"
"2013-10";"F71";"Filet maillant";"45.429546";"-73.78918";"Lac Saint-Louis";"Perchaude";"";"Présence"
"1996-09";"F112";"Filet maillant";"45.16083";"-74.34917";"Lac Saint-François";"Perchaude";"";"Présence"
"2011-09";"F25";"Filet maillant";"45.40129";"-73.76279";"Lac Saint-Louis";"Perchaude";"";"Présence"
"2007-09";"F082";"Filet maillant";"46.17107";"-72.84837";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"2011-09";"F24";"Filet maillant";"45.40113";"-73.77576";"Lac Saint-Louis";"Perchaude";"";"Absence"
"2012-08";"F153";"Filet maillant";"46.47684";"-72.25338";"Bécancour-Batiscan";"Perchaude";"";"Présence"
"2009-09";"F074";"Filet maillant";"46.15936";"-72.88319";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"2001-09";"F127";"Filet maillant";"46.42268";"-72.3728";"Bécancour-Batiscan";"Perchaude";"";"Présence"
"1997-09";"F44";"Filet maillant";"45.41";"-73.77667";"Lac Saint-Louis";"Perchaude";"";"Présence"
"2012-09";"F121";"Filet maillant";"46.41228";"-72.39422";"Bécancour-Batiscan";"Perchaude";"";"Absence"
"2011-09";"F8";"Filet maillant";"45.33019";"-73.84573";"Lac Saint-Louis";"Perchaude";"";"Présence"
"1995-09";"F32";"Filet maillant";"46.28611";"-72.70778";"Lac Saint-Pierre";"Perchaude";"";"Absence"
"2004-09";"F247";"Filet maillant";"45.25755";"-74.18533";"Lac Saint-François";"Perchaude";"";"Présence"
"2005-09";"F72";"Filet maillant";"45.43675";"-73.79069";"Lac Saint-Louis";"Perchaude";"";"Présence"
"2011-09";"F083";"Filet maillant";"46.18209";"-72.86401";"Lac Saint-Pierre";"Perchaude";"";"Absence"
"1997-09";"F31";"Filet maillant";"45.39028";"-73.81389";"Lac Saint-Louis";"Perchaude";"";"Présence"
"2013-08";"F62";"Filet maillant";"46.15677";"-72.9418";"Lac Saint-Pierre";"Perchaude";"";"Absence"
"2009-09";"F10";"Filet maillant";"45.35228";"-73.84047";"Lac Saint-Louis";"Perchaude";"";"Présence"
"2006-09";"F38";"Filet maillant";"46.63992";"-71.78358";"Grondines-Saint-Nicolas";"Perchaude";"";"Absence"
"2004-09";"F222";"Filet maillant";"45.19378";"-74.25754";"Lac Saint-François";"Perchaude";"";"Présence"
"2011-09";"F55";"Filet maillant";"45.42305";"-73.84771";"Lac Saint-Louis";"Perchaude";"";"Présence"
"2011-09";"F053";"Filet maillant";"46.26947";"-72.68861";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"2001-09";"F4";"Filet maillant";"45.58061";"-73.47728";"Montréal-Sorel";"Perchaude";"";"Absence"
"2013-09";"F99";"Filet maillant";"46.203735";"-72.78513";"Lac Saint-Pierre";"Perchaude";"";"Absence"
"2001-09";"F111";"Filet maillant";"46.39674";"-72.44312";"Bécancour-Batiscan";"Perchaude";"";"Absence"
"2014-09";"F250";"Filet maillant";"45.2354";"-74.1958";"Lac Saint-François";"Perchaude";"";"Absence"
"2001-09";"F84";"Filet maillant";"45.88508";"-73.2395";"Montréal-Sorel";"Perchaude";"";"Absence"
"2001-09";"F149";"Filet maillant";"46.45844";"-72.25921";"Bécancour-Batiscan";"Perchaude";"";"Absence"
"1996-09";"F20";"Filet maillant";"45.19389";"-74.26833";"Lac Saint-François";"Perchaude";"";"Présence"
"1997-09";"F105";"Filet maillant";"46.64528";"-71.65278";"Grondines-Saint-Nicolas";"Perchaude";"";"Absence"
"2012-09";"F139";"Filet maillant";"46.42717";"-72.2912";"Bécancour-Batiscan";"Perchaude";"";"Présence"
"2005-09";"F54";"Filet maillant";"45.41123";"-73.84527";"Lac Saint-Louis";"Perchaude";"";"Présence"
"2013-10";"F06";"Filet maillant";"45.332947";"-73.86463";"Lac Saint-Louis";"Perchaude";"";"Présence"
"2009-09";"F002";"Filet maillant";"46.14028";"-72.96598";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"1997-09";"F38";"Filet maillant";"45.40639";"-73.89028";"Lac Saint-Louis";"Perchaude";"";"Présence"
"2009-09";"F46";"Filet maillant";"45.38031";"-73.86076";"Lac Saint-Louis";"Perchaude";"";"Présence"
"2002-09";"F111";"Filet maillant";"46.23985";"-72.73198";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"2005-09";"F2";"Filet maillant";"45.32019";"-73.88259";"Lac Saint-Louis";"Perchaude";"";"Présence"
"2002-09";"F057";"Filet maillant";"46.1192";"-72.95312";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"2002-09";"F041";"Filet maillant";"46.2574";"-72.78432";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"2010-09";"F335";"Filet maillant";"45.4509";"-73.95857";"Lac des Deux-Montagnes";"Perchaude";"";"Présence"
"2003-09";"F218";"Filet maillant";"46.10955";"-73.0921";"Archipel du Lac Saint-Pierre";"Perchaude";"";"Présence"
"1997-09";"F40";"Filet maillant";"45.40889";"-73.81667";"Lac Saint-Louis";"Perchaude";"";"Présence"
"2001-09";"F159";"Filet maillant";"46.49537";"-72.24507";"Bécancour-Batiscan";"Perchaude";"";"Absence"
"2011-09";"F096";"Filet maillant";"46.18234";"-72.78501";"Lac Saint-Pierre";"Perchaude";"";"Absence"
"2006-09";"F31";"Filet maillant";"46.67532";"-71.85183";"Grondines-Saint-Nicolas";"Perchaude";"";"Présence"
"1997-09";"F23";"Filet maillant";"46.21222";"-72.77139";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"2005-09";"F16";"Filet maillant";"45.36865";"-73.81445";"Lac Saint-Louis";"Perchaude";"";"Présence"
"2003-09";"F238";"Filet maillant";"46.1117";"-73.00868";"Archipel du Lac Saint-Pierre";"Perchaude";"";"Présence"
"2002-09";"F022";"Filet maillant";"46.2255";"-72.88088";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"1995-09";"F7";"Filet maillant";"46.16028";"-72.97194";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"1996-09";"F28";"Filet maillant";"45.22167";"-74.26694";"Lac Saint-François";"Perchaude";"";"Présence"
"1997-09";"F56";"Filet maillant";"46.65167";"-71.635";"Grondines-Saint-Nicolas";"Perchaude";"";"Absence"
"2002-09";"F054";"Filet maillant";"46.27273";"-72.68872";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"2009-09";"F50";"Filet maillant";"45.36252";"-73.84678";"Lac Saint-Louis";"Perchaude";"";"Absence"
"2009-09";"F253";"Filet maillant";"45.2334";"-74.22165";"Lac Saint-François";"Perchaude";"";"Absence"
"2001-09";"F41";"Filet maillant";"45.71917";"-73.45739";"Montréal-Sorel";"Perchaude";"";"Présence"
"1997-09";"F119";"Filet maillant";"46.71083";"-71.39222";"Grondines-Saint-Nicolas";"Perchaude";"";"Absence"
"2005-09";"F69";"Filet maillant";"45.4098";"-73.79045";"Lac Saint-Louis";"Perchaude";"";"Présence"
"2002-09";"F025";"Filet maillant";"46.23632";"-72.8645";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"2005-09";"F64";"Filet maillant";"45.41199";"-73.81699";"Lac Saint-Louis";"Perchaude";"";"Présence"
"2003-09";"F219";"Filet maillant";"46.124";"-73.08452";"Archipel du Lac Saint-Pierre";"Perchaude";"";"Présence"
"2013-09";"F81";"Filet maillant";"46.18224";"-72.87824";"Lac Saint-Pierre";"Perchaude";"";"Absence"
"2008-09";"F101";"Filet maillant";"46.36544";"-72.47538";"Bécancour-Batiscan";"Perchaude";"";"Présence"
"2010-09";"F328";"Filet maillant";"45.43194";"-74.01008";"Lac des Deux-Montagnes";"Perchaude";"";"Présence"
"2013-10";"F30";"Filet maillant";"45.33388";"-73.91995";"Lac Saint-Louis";"Perchaude";"";"Présence"
"2012-09";"F11";"Filet maillant";"45.02846";"-73.1013";"Baie Missisquoi";"Perchaude";"";"Présence"
"2011-09";"F44";"Filet maillant";"45.4017";"-73.87658";"Lac Saint-Louis";"Perchaude";"";"Présence"
"2001-09";"F5";"Filet maillant";"45.5865";"-73.49633";"Montréal-Sorel";"Perchaude";"";"Présence"
"1997-09";"F24";"Filet maillant";"46.67528";"-71.86472";"Grondines-Saint-Nicolas";"Perchaude";"";"Présence"
"2012-08";"F157";"Filet maillant";"46.48642";"-72.24477";"Bécancour-Batiscan";"Perchaude";"";"Absence"
"2001-09";"F108";"Filet maillant";"46.38349";"-72.45443";"Bécancour-Batiscan";"Perchaude";"";"Absence"
"2003-09";"F268";"Filet maillant";"46.11048";"-72.96438";"Archipel du Lac Saint-Pierre";"Perchaude";"";"Présence"
"2013-09";"F5";"Filet maillant";"46.15815";"-72.97602";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"1997-09";"F26";"Filet maillant";"45.37917";"-73.85778";"Lac Saint-Louis";"Perchaude";"";"Présence"
"1997-09";"F131";"Filet maillant";"45.42889";"-73.76889";"Lac Saint-Louis";"Perchaude";"";"Présence"
"2013-09";"F90";"Filet maillant";"46.174595";"-72.80843";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"1996-09";"F11";"Filet maillant";"45.22056";"-74.25361";"Lac Saint-François";"Perchaude";"";"Présence"
"1996-09";"F4";"Filet maillant";"45.23556";"-74.23472";"Lac Saint-François";"Perchaude";"";"Présence"
"2009-09";"F80";"Filet maillant";"45.42933";"-73.74933";"Lac Saint-Louis";"Perchaude";"";"Absence"
"2014-09";"F207";"Filet maillant";"45.202";"-74.1898";"Lac Saint-François";"Perchaude";"";"Présence"
"1997-09";"F46";"Filet maillant";"45.43083";"-73.81667";"Lac Saint-Louis";"Perchaude";"";"Présence"
"2007-09";"F040";"Filet maillant";"46.24799";"-72.78231";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"1996-09";"F7";"Filet maillant";"45.22889";"-74.18861";"Lac Saint-François";"Perchaude";"";"Présence"
"1995-09";"F53";"Filet maillant";"46.23611";"-72.69722";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"2014-09";"F259";"Filet maillant";"45.2159";"-74.2878";"Lac Saint-François";"Perchaude";"";"Présence"
