Année,Latitude,Longitude,Espèce,Engin,Secteur,Station,Agence,Nombre d'individus
Aug-49,45.430832,-72.99333,Écrevisse à pinces bleues,unknown,Tributaire sud,St-Césaire,EC-CSL,5
Sep-02,45.3347,-73.9438,Hybride,Manuelle,Lac Saint-Louis,Pointe-des-Cascades,EC-CSL,1
Jun-01,46.58505,-72.0484,Écrevisse à épines,Nasse à méné,Grondines-Saint-Nicolas,Grondines,EC-CSL,15
Sep-00,45.639816,-73.46145,Écrevisse à épines,Seine de rivage,Montréal-Sorel,Îles de Boucherville,EC-CSL,1
Aug-00,46.74111,-71.295,Hybride,Trappe à anguilles,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Jul-01,46.893665,-71.12258,Écrevisse à épines,Seine de rivage 3 mm,Saint-Nicolas - Montmagny,Boischatel,EC-CSL,17
Sep-02,45.4264,-73.823,Écrevisse à rostre caréné,Manuelle,Lac Saint-Louis,Pointe Claire,EC-CSL,1
May-01,46.7418,-71.29335,Écrevisse de ruisseau,Manuelle,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,5
Jun-01,46.58505,-72.0484,Écrevisse à épines,Manuelle,Grondines-Saint-Nicolas,Grondines,EC-CSL,126
Oct-01,46.74153,-71.29483,Écrevisse à rostre caréné,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Sep-02,45.3327,-73.8568,Écrevisse à épines,Nasse à méné,Lac Saint-Louis,Îles de la Paix,EC-CSL,2
Sep-01,46.74153,-71.29483,Écrevisse géante,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,6
Aug-01,46.74153,-71.29483,Écrevisse de ruisseau,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Jul-01,45.7125,-73.442,Hybride,Seine de rivage,Montréal-Sorel,Île Deslauriers,EC-CSL,3
Jun-01,46.669483,-71.84578,Hybride,Manuelle,Grondines-Saint-Nicolas,Pointe-au-Platon,EC-CSL,1
Jul-02,45.3657,-73.852,Écrevisse à épines,Nasse à méné ou cage tomahawk,Lac Saint-Louis,Île Perrot,EC-CSL,3
Aug-01,46.741333,-71.29365,Écrevisse de ruisseau,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Aug-01,46.893665,-71.12258,Écrevisse à épines,Seine de rivage 3 mm,Saint-Nicolas - Montmagny,Boischatel,EC-CSL,3
Jul-01,46.448368,-72.22577,Écrevisse à épines,Seine de rivage 3 mm,Bécancour-Batiscan,St-Pierre-les-Becquets,EC-CSL,2
Sep-02,45.3347,-73.9438,Écrevisse à pinces bleues,Manuelle,Lac Saint-Louis,Pointe-des-Cascades,EC-CSL,8
Jul-02,45.3858,-73.7725,Écrevisse à épines,Nasse à méné ou cage tomahawk,Lac Saint-Louis,Île St-Bernard,EC-CSL,1
Sep-01,46.733467,-71.28565,Écrevisse à épines,Manuelle,Tributaire sud,Rivière Chaudière,EC-CSL,7
