Année,Latitude,Longitude,Espèce,Engin,Secteur,Station,Agence,Nombre d'individus
Aug-00,46.958332,-71.273056,Écrevisse à épines,Manuelle,Tributaire nord,Lac Beauport,EC-CSL,5
Jun-00,46.8794,-72.3204,Écrevisse géante,Filet troubleau,Tributaire nord,Rivière Batiscan,UQTR,1
Aug-00,46.74111,-71.295,Écrevisse de ruisseau,Trappe à anguilles,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,2
Aug-01,46.741333,-71.29365,Écrevisse de ruisseau,Manuelle,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Sep-02,45.5998,-73.47518,Hybride,unknown,Montréal-Sorel,Îles de Boucherville,EC-CSL,2
Jun-00,45.75745,-73.4079,Écrevisse à épines,Seine de rivage,Montréal-Sorel,Île Beauregard,EC-CSL,1
Jul-02,45.3841,-73.7685,Écrevisse à épines,Manuelle,Lac Saint-Louis,Île St-Bernard,EC-CSL,4
Oct-01,45.703835,-73.452385,Écrevisse à rostre caréné,Seine de rivage,Montréal-Sorel,Îlet Vert,EC-CSL,1
Jul-02,45.3642,-73.8547,Écrevisse à épines,Nasse à méné ou cage tomahawk,Lac Saint-Louis,Île Perrot,EC-CSL,5
Jul-02,45.333,-73.8567,Écrevisse à épines,Nasse à méné ou cage tomahawk,Lac Saint-Louis,Îles de la Paix,EC-CSL,1
Aug-01,46.74153,-71.29483,Hybride,Trappe à anguilles,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Oct-00,46.214443,-72.66139,Écrevisse à pinces bleues,Benne,Lac Saint-Pierre,Lac St-Pierre,EC-CSL,1
Jul-02,45.407,-73.8928,Écrevisse à épines,Nasse à méné,Lac Saint-Louis,Île Dowker,EC-CSL,1
Jul-02,45.3645,-73.8552,Écrevisse à rostre caréné,Manuelle,Lac Saint-Louis,Île Perrot,EC-CSL,2
Jul-00,46.74111,-71.295,Écrevisse de ruisseau,Manuelle,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Jun-01,46.74153,-71.29483,Hybride,Trappe à anguilles,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Jul-01,45.49361,-73.94222,Écrevisse à rostre caréné,Manuelle,Lac des Deux-Montagnes,Lac Deux-Montagnes,EC-CSL,8
Aug-01,45.88333,-73.27333,Écrevisse géante,Manuelle,Montréal-Sorel,Lavaltrie,EC-CSL,2
Oct-02,45.751,-73.414,Écrevisse à pinces bleues,unknown,Montréal-Sorel,Île Beauregard,EC-CSL,1
Oct-00,46.131943,-72.86,Écrevisse à pinces bleues,Benne,Lac Saint-Pierre,Lac St-Pierre,EC-CSL,1
Sep-02,45.404,-73.8855,Écrevisse à rostre caréné,Manuelle,Lac Saint-Louis,Île Dowker,EC-CSL,10
Jun-01,46.669483,-71.84578,Écrevisse de ruisseau,Manuelle,Grondines-Saint-Nicolas,Pointe-au-Platon,EC-CSL,1
Sep-00,45.127632,-74.40467,Écrevisse à pinces bleues,Seine de rivage,Lac Saint-François,Lac St-François,EC-CSL,1
Jun-00,46.169445,-73.041664,Écrevisse à pinces bleues,Verveux,Tributaire nord,St-Barthélémy,EC-CSL,4
Jul-01,46.741333,-71.29365,Écrevisse à épines,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,12
Sep-00,45.585567,-73.489815,Écrevisse à pinces bleues,Seine de rivage,Montréal-Sorel,Îles de Boucherville,EC-CSL,13
Jun-01,45.5998,-73.47518,Écrevisse à épines,Seine de rivage,Montréal-Sorel,Îles de Boucherville,EC-CSL,15
Jun-01,46.448368,-72.22577,Écrevisse à épines,Nasse à méné,Bécancour-Batiscan,St-Pierre-les-Becquets,EC-CSL,14
Oct-01,46.741333,-71.29365,Écrevisse géante,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Jul-02,45.3328,-73.857,Écrevisse à épines,Manuelle,Lac Saint-Louis,Îles de la Paix,EC-CSL,8
Aug-01,46.8937,-71.12227,Orconectes sp.,Seine de rivage 3 mm,Saint-Nicolas - Montmagny,Boischatel,EC-CSL,1
Jun-01,46.9696,-71.01595,Aucune,Nasse à méné,Saint-Nicolas - Montmagny,Beaupré,EC-CSL,0
Sep-02,45.4061,-73.5445,Écrevisse à rostre caréné,Manuelle,Montréal-Sorel,Ste-Catherine,EC-CSL,5
Jul-01,45.75745,-73.4079,Écrevisse à épines,Seine de rivage,Montréal-Sorel,Île Beauregard,EC-CSL,3
Oct-01,46.769615,-71.21661,Écrevisse à épines,Manuelle,Saint-Nicolas - Montmagny,St-Romuald,EC-CSL,4
Aug-01,46.8937,-71.12227,Écrevisse à épines,Seine de rivage 3 mm,Saint-Nicolas - Montmagny,Boischatel,EC-CSL,6
Aug-01,46.741333,-71.29365,Hybride,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,2
Sep-02,45.3347,-73.9438,Écrevisse à rostre caréné,Manuelle,Lac Saint-Louis,Pointe-des-Cascades,EC-CSL,17
Jul-02,45.3645,-73.8553,Hybride,Manuelle,Lac Saint-Louis,Île Perrot,EC-CSL,1
Oct-01,46.141388,-72.92944,Écrevisse à épines,Ancre,Lac Saint-Pierre,Lac St-Pierre,EC-CSL,1
Oct-02,45.751,-73.414,Écrevisse à épines,unknown,Montréal-Sorel,Île Beauregard,EC-CSL,6
Jul-01,46.74153,-71.29483,Hybride,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,3
May-01,46.741585,-71.29275,Écrevisse de ruisseau,Manuelle,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,2
Aug-01,46.74153,-71.29483,Écrevisse à rostre caréné,Manuelle,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Aug-01,45.433887,-73.73972,Écrevisse à épines,Seine de rivage,Lac Saint-Louis,Île Dorval,EC-CSL,8
Jun-01,46.183334,-72.76667,Écrevisse à épines,Verveux,Lac Saint-Pierre,Lac St-Pierre,EC-CSL,126
May-01,45.60389,-73.46611,Écrevisse à pinces bleues,Seine de rivage,Montréal-Sorel,Îles de Boucherville,EC-Biosphère,1
May-01,46.7418,-71.29335,Hybride,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Jun-01,46.741333,-71.29365,Écrevisse à épines,Cage ou Casier,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
May-01,45.749565,-73.415085,Écrevisse à pinces bleues,Seine de rivage,Montréal-Sorel,Île Beauregard,EC-CSL,1
Aug-01,46.74153,-71.29483,Écrevisse à épines,Manuelle,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,17
May-01,46.74165,-71.29303,Écrevisse à épines,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Oct-02,45.7087,-73.4523,Écrevisse à épines,unknown,Montréal-Sorel,Îlet Vert,EC-CSL,2
Aug-01,45.88333,-73.27333,Écrevisse à pinces bleues,Manuelle,Montréal-Sorel,Lavaltrie,EC-CSL,2
Aug-00,46.957222,-71.27361,Écrevisse à épines,Manuelle,Tributaire nord,Lac Beauport,EC-CSL,12
Jun-01,45.7125,-73.442,Écrevisse à pinces bleues,Seine de rivage,Montréal-Sorel,Île Deslauriers,EC-CSL,2
Jul-02,45.4248,-73.8555,Hybride,Nasse à méné,Lac Saint-Louis,Beaconsfield,EC-CSL,1
Jun-01,46.736717,-71.308464,Écrevisse à épines,Seine de rivage 3 mm,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Jul-00,45.2811,-71.9632,Écrevisse à épines,Filet troubleau,Tributaire sud,Rivière Massawippi,UQTR,1
Jul-02,45.4249,-73.8557,Écrevisse à épines,Manuelle,Lac Saint-Louis,Beaconsfield,EC-CSL,3
Sep-01,45.649834,-73.47517,Écrevisse à pinces bleues,Seine de rivage,Montréal-Sorel,Îles de Boucherville,EC-CSL,5
Sep-02,45.407,-73.893,Écrevisse à épines,Manuelle,Lac Saint-Louis,Île Dowker,EC-CSL,50
Sep-00,46.74111,-71.295,Écrevisse à épines,Trappe à anguilles,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,22
Sep-02,45.129723,-73.27167,Écrevisse à épines,Manuelle,Haut-Richelieu,St-Blaise,EC-CSL,3
Jul-00,45.2811,-71.9632,Hybride,Filet troubleau,Tributaire sud,Rivière Massawippi,UQTR,4
Aug-01,46.74153,-71.29483,Écrevisse géante,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,3
Jun-01,46.74165,-71.29387,Écrevisse géante,Manuelle,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Aug-01,46.74165,-71.29387,Écrevisse de ruisseau,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Jul-00,45.3383,-71.8485,Hybride,Filet troubleau,Tributaire sud,Rivière aux Saumons,UQTR,1
Jun-01,46.183334,-72.76667,Écrevisse à pinces bleues,unknown,Lac Saint-Pierre,Lac St-Pierre,EC-CSL,2
Jul-01,45.517223,-73.85,Écrevisse à pinces bleues,Manuelle,Lac des Deux-Montagnes,Lac Deux-Montagnes,EC-CSL,11
Aug-01,46.74153,-71.29483,Écrevisse à rostre caréné,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,5
Sep-02,45.3857,-73.7729,Écrevisse à épines,Cage Tomahawk,Lac Saint-Louis,Île St-Bernard,EC-CSL,1
Sep-02,45.407,-73.893,Orconectes sp.,Manuelle,Lac Saint-Louis,Île Dowker,EC-CSL,2
May-01,45.703835,-73.452385,Écrevisse géante,Seine de rivage,Montréal-Sorel,Îlet Vert,EC-CSL,1
May-01,46.7418,-71.29335,Écrevisse à épines,Manuelle,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Sep-02,45.2842,-73.7999,Écrevisse à rostre caréné,Manuelle,Tributaire sud,Rivière Châteauguay,EC-CSL,20
Aug-01,46.74165,-71.29387,Hybride,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Aug-01,46.682934,-71.81897,Écrevisse à épines,Seine de rivage 3 mm,Grondines-Saint-Nicolas,Cap-Santé,EC-CSL,1
Jul-00,46.74111,-71.295,Écrevisse à épines,Trappe à anguilles,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,84
Jul-01,47.85278,-70.65,Écrevisse de ruisseau,Nasse à méné,Tributaire nord,Lac Freddo,EC-SCF,19
May-01,46.741615,-71.29483,Écrevisse à épines,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,4
Jul-02,45.3332,-73.8565,Écrevisse à épines,Manuelle,Lac Saint-Louis,Îles de la Paix,EC-CSL,3
Sep-02,45.3654,-73.8526,Écrevisse à rostre caréné,Nasse à méné,Lac Saint-Louis,Île Perrot,EC-CSL,2
Sep-01,46.74153,-71.29483,Hybride,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,4
Sep-02,45.3327,-73.8568,Écrevisse à pinces bleues,Nasse à méné,Lac Saint-Louis,Îles de la Paix,EC-CSL,1
Aug-00,45.4336,-73.737236,Écrevisse à épines,Seine de rivage,Lac Saint-Louis,Île Dorval,EC-CSL,2
Aug-01,46.74153,-71.29483,Hybride,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,5
Jun-00,46.987778,-70.65611,Écrevisse à rostre caréné,Chalut,Saint-Nicolas - Montmagny,Montmagny,EC-CSL,1
Aug-12,45.0807,-74.17555,Écrevisse à rostre caréné,Manuelle,Tributaire sud,Huntingdon - 02,EC-CSL,5
Sep-02,45.3653,-73.8539,Hybride,Manuelle,Lac Saint-Louis,Île Perrot,EC-CSL,5
Oct-01,46.74153,-71.29483,Écrevisse à épines,Manuelle,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,31
Jun-00,46.169724,-73.04667,Orconectes sp.,Verveux,Tributaire nord,Maskinongé,EC-CSL,1
Aug-01,46.74153,-71.29483,Écrevisse à épines,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,113
Oct-00,46.74111,-71.295,Hybride,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Jul-01,45.79972,-74.023056,Écrevisse à pinces bleues,Seine de rivage,Tributaire nord,Rivière du Nord,EC-Biosphère,3
Jul-02,45.3645,-73.8552,Écrevisse à épines,Manuelle,Lac Saint-Louis,Île Perrot,EC-CSL,11
Aug-01,46.74165,-71.29387,Orconectes sp.,Manuelle,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Sep-02,45.4037,-73.5447,Écrevisse à pinces bleues,Manuelle,Montréal-Sorel,Ste-Catherine,EC-CSL,1
Jul-00,45.7923,-71.9838,Écrevisse à rostre caréné,Filet troubleau,Tributaire sud,Rivière Nicolet S.O.,UQTR,2
Aug-00,45.6886,-70.787,Écrevisse à rostre caréné,Filet troubleau,Tributaire sud,Rivière Chaudière,UQTR,2
Sep-02,45.4104,-73.5725,Écrevisse à pinces bleues,Manuelle,Montréal-Sorel,Ste-Catherine,EC-CSL,19
Jul-02,45.4044,-73.5441,Écrevisse à pinces bleues,Manuelle,Montréal-Sorel,Ste-Catherine,EC-CSL,1
Sep-00,46.74111,-71.295,Écrevisse à épines,Manuelle,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,6
Sep-01,46.74153,-71.29483,Écrevisse géante,Manuelle,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Jun-00,45.59667,-73.475,Écrevisse à rostre caréné,Seine de rivage,Montréal-Sorel,Îles de Boucherville,EC-CSL,1
Aug-12,45.088333,-74.171486,Écrevisse à rostre caréné,Manuelle,Tributaire sud,Huntingdon - 01,EC-CSL,6
Aug-01,46.74153,-71.29483,Orconectes sp.,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Jun-00,45.2784,-72.5077,Écrevisse à pinces bleues,Filet troubleau,Tributaire sud,Rivière Yamaska,UQTR,1
Jul-00,46.74111,-71.295,Écrevisse à épines,Épuisette,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,4
Sep-02,45.4031,-73.5454,Écrevisse à pinces bleues,Manuelle,Montréal-Sorel,Ste-Catherine,EC-CSL,8
Jul-01,46.74165,-71.29387,Écrevisse à épines,Manuelle,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,32
Oct-01,46.74153,-71.29483,Écrevisse à rostre caréné,Manuelle,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Jul-50,45.49861,-73.53139,Écrevisse à rostre caréné,unknown,Montréal-Sorel,Montréal,EC-CSL,1
Jun-00,45.59667,-73.475,Écrevisse à pinces bleues,Seine de rivage,Montréal-Sorel,Îles de Boucherville,EC-CSL,31
Aug-01,46.74278,-71.2775,Écrevisse à épines,Manuelle,Tributaire sud,Marina Chaudière,EC-CSL,11
Aug-12,45.384815,-73.25027,Écrevisse à rostre caréné,Manuelle,Haut-Richelieu,Grande décharge,EC-CSL,1
Jul-01,45.75833,-71.33833,Écrevisse à rostre caréné,Manuelle,Tributaire sud,Lac Elgin,EC-CSL,1
Sep-02,45.5998,-73.47518,Écrevisse à épines,unknown,Montréal-Sorel,Îles de Boucherville,EC-CSL,9
Aug-01,45.063168,-74.51867,Écrevisse à pinces bleues,Manuelle,Lac Saint-François,Lac St-François,EC-CSL,5
Sep-02,45.4246,-73.8552,Écrevisse à épines,Manuelle,Lac Saint-Louis,Beaconsfield,EC-CSL,6
Sep-02,45.4031,-73.5454,Écrevisse à rostre caréné,Manuelle,Montréal-Sorel,Ste-Catherine,EC-CSL,12
Aug-00,46.74111,-71.295,Écrevisse à épines,Manuelle,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,4
May-01,46.741367,-71.29367,Écrevisse à épines,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,2
Mar-49,46.52833,-72.33639,Écrevisse de ruisseau,unknown,Tributaire nord,Rivière à Veillet (écluse),EC-CSL,8
Oct-01,46.77157,-71.21478,Écrevisse à épines,Manuelle,Saint-Nicolas - Montmagny,St-Romuald,EC-CSL,31
Jul-00,45.2811,-71.9632,Écrevisse à pinces bleues,Filet troubleau,Tributaire sud,Rivière Massawippi,UQTR,1
Sep-02,45.30639,-73.24389,Hybride,Manuelle,Haut-Richelieu,Iberville,EC-CSL,2
Oct-01,46.74153,-71.29483,Écrevisse géante,Cage Tomahawk,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,11
Jul-00,46.8455,-71.6101,Écrevisse de ruisseau,Filet troubleau,Tributaire nord,Rivière Jacques-Cartier,UQTR,1
May-02,45.756184,-73.409836,Écrevisse géante,Cage ou Casier,Montréal-Sorel,Île Beauregard,EC-CSL,1
Sep-01,46.74153,-71.29483,Hybride,Cage Tomahawk,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,4
Jun-00,45.6,-73.46667,Écrevisse à pinces bleues,Seine de rivage,Montréal-Sorel,Îles de Boucherville,EC-CSL,1
Jun-01,45.78278,-74.004166,Écrevisse à pinces bleues,Seine de rivage,Tributaire nord,Rivière du Nord,EC-Biosphère,1
Jun-00,46.0169,-73.6058,Écrevisse de ruisseau,Filet troubleau,Tributaire nord,Rivière Ouareau,UQTR,1
Jul-00,45.7923,-71.9838,Écrevisse à pinces bleues,Filet troubleau,Tributaire sud,Rivière Nicolet S.O.,UQTR,1
Jun-01,46.58505,-72.0484,Écrevisse de ruisseau,Manuelle,Grondines-Saint-Nicolas,Grondines,EC-CSL,2
Jun-01,46.58505,-72.0484,Écrevisse géante,Nasse à méné,Grondines-Saint-Nicolas,Grondines,EC-CSL,1
Jul-00,45.43611,-73.73722,Écrevisse à épines,Seine de rivage,Lac Saint-Louis,Île Dorval,EC-CSL,2
Jul-02,45.3328,-73.857,Écrevisse à pinces bleues,Manuelle,Lac Saint-Louis,Îles de la Paix,EC-CSL,1
Aug-12,45.38365,-73.24927,Écrevisse à épines,Nasse à méné,Haut-Richelieu,Grande décharge,EC-CSL,1
Jun-01,46.58505,-72.0484,Écrevisse géante,Manuelle,Grondines-Saint-Nicolas,Grondines,EC-CSL,9
Oct-01,46.74153,-71.29483,Écrevisse géante,Manuelle,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,41
May-01,45.628613,-73.47305,Écrevisse à épines,Filet maillant ou expérimental,Montréal-Sorel,Îles de Boucherville,EC-CSL,1
Nov-48,45.36111,-73.74639,Écrevisse à rostre caréné,unknown,Tributaire sud,Rivière Châteauguay,EC-CSL,15
Jul-00,46.0799,-72.194,Écrevisse à rostre caréné,Filet troubleau,Tributaire sud,Rivière Bulstrode,UQTR,1
May-02,45.7421,-73.426865,Écrevisse géante,Cage ou Casier,Montréal-Sorel,Îlets Robinet,EC-CSL,7
Jun-01,46.9696,-71.01595,Écrevisse de ruisseau,Manuelle,Saint-Nicolas - Montmagny,Beaupré,EC-CSL,7
Jul-02,45.3328,-73.857,Orconectes sp.,Manuelle,Lac Saint-Louis,Îles de la Paix,EC-CSL,2
Aug-12,45.393383,-73.25543,Écrevisse à pinces bleues,Manuelle,Haut-Richelieu,Barrage Fryers,EC-CSL,1
Jun-01,45.1275,-74.40417,Écrevisse à pinces bleues,Nasse à méné,Lac Saint-François,Lac St-François,EC-CSL,1
Jun-00,46.74111,-71.295,Écrevisse de ruisseau,Trappe à anguilles,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Aug-12,45.29177,-73.25003,Aucune,Nasse à méné,Haut-Richelieu,Rivière Richelieu,EC-CSL,0
Aug-01,46.741383,-71.2937,Écrevisse à épines,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,20
Oct-01,46.74153,-71.29483,Hybride,Cage Tomahawk,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Aug-01,45.926666,-73.24333,Écrevisse à épines,Manuelle,Montréal-Sorel,Lavaltrie,EC-CSL,10
Sep-02,45.4051,-73.544,Écrevisse à rostre caréné,Manuelle,Montréal-Sorel,Ste-Catherine,EC-CSL,2
Sep-00,46.74111,-71.295,Écrevisse à épines,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,17
Jul-02,45.3645,-73.8552,Hybride,Manuelle,Lac Saint-Louis,Île Perrot,EC-CSL,1
Jun-00,45.59667,-73.475,Écrevisse à épines,Seine de rivage,Montréal-Sorel,Îles de Boucherville,EC-CSL,1
Jul-01,45.75745,-73.4079,Écrevisse à rostre caréné,Seine de rivage,Montréal-Sorel,Île Beauregard,EC-CSL,1
Jul-48,46.090557,-72.45417,Écrevisse à rostre caréné,unknown,Tributaire sud,Ruisseau Rousseau,EC-CSL,4
Sep-00,46.921112,-70.81028,Écrevisse à épines,Filet maillant ou expérimental,Saint-Nicolas - Montmagny,St-Vallier,EC-CSL,2
Sep-02,45.3327,-73.8568,Écrevisse à pinces bleues,Manuelle,Lac Saint-Louis,Îles de la Paix,EC-CSL,24
Aug-01,46.741383,-71.2937,Écrevisse de ruisseau,Manuelle,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,4
Jun-00,45.75745,-73.4079,Écrevisse à rostre caréné,Seine de rivage,Montréal-Sorel,Île Beauregard,EC-CSL,1
Jul-00,46.166668,-72.76667,Écrevisse à épines,unknown,Lac Saint-Pierre,Lac St-Pierre,EC-CSL,1
Jun-01,46.669483,-71.84578,Écrevisse à épines,Manuelle,Grondines-Saint-Nicolas,Pointe-au-Platon,EC-CSL,22
May-01,45.60389,-73.46611,Écrevisse à épines,Seine de rivage,Montréal-Sorel,Île à Pinard,EC-Biosphère,4
Jul-01,45.878613,-73.2675,Écrevisse à épines,Nasse à méné,Montréal-Sorel,Île Lavaltrie,EC-CSL,1
May-01,46.741585,-71.29275,Écrevisse à rostre caréné,Manuelle,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Jul-01,46.74153,-71.29483,Hybride,Cage Tomahawk,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Jul-00,46.0799,-72.194,Écrevisse à pinces bleues,Filet troubleau,Tributaire sud,Rivière Bulstrode,UQTR,1
May-01,45.60389,-73.46611,Écrevisse à épines,Seine de rivage,Montréal-Sorel,Îles de Boucherville,EC-Biosphère,1
Jul-02,45.4059,-73.544,Écrevisse à rostre caréné,Manuelle,Montréal-Sorel,Ste-Catherine,EC-CSL,7
Jun-01,45.75833,-71.33833,Écrevisse à rostre caréné,Manuelle,Tributaire sud,Lac Elgin,EC-CSL,4
Jun-01,46.74165,-71.29387,Écrevisse à épines,Cage ou Casier,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
May-01,45.621113,-73.47611,Hybride,Filet maillant ou expérimental,Montréal-Sorel,Île Fontaine ,EC-CSL,1
Sep-01,46.74153,-71.29483,Écrevisse à épines,Trappe à anguilles,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,2
Jul-01,45.789722,-73.38194,Écrevisse à pinces bleues,Manuelle,Montréal-Sorel,Chenal St-Pierre,EC-CSL,1
Jul-00,46.5038,-70.6702,Écrevisse de ruisseau,Filet troubleau,Tributaire sud,Rivière Etchemin,UQTR,2
May-01,45.3337,-73.85603,Écrevisse à épines,Seine de rivage,Lac Saint-Louis,Îles de la Paix,EC-CSL,13
Jul-00,46.0352,-72.772,Écrevisse à épines,Filet troubleau,Tributaire sud,Rivière St-François,UQTR,2
Jul-02,45.333,-73.8567,Orconectes sp.,Nasse à méné ou cage tomahawk,Lac Saint-Louis,Îles de la Paix,EC-CSL,1
Jun-00,46.2974,-72.9118,Hybride,Filet troubleau,Tributaire nord,Rivière du Loup,UQTR,1
Sep-01,46.733467,-71.28565,Écrevisse de ruisseau,Manuelle,Tributaire sud,Rivière Chaudière,EC-CSL,1
Aug-01,46.74165,-71.29387,Écrevisse à épines,Manuelle,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,7
Sep-02,45.5998,-73.47518,Écrevisse à pinces bleues,unknown,Montréal-Sorel,Îles de Boucherville,EC-CSL,6
Jul-01,46.736717,-71.2918,Écrevisse à épines,Seine de rivage 3 mm,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,4
May-01,45.56139,-73.49556,Hybride,Seine de rivage,Montréal-Sorel,Pointe du Marigot,EC-Biosphère,1
Oct-01,46.77157,-71.21478,Hybride,Manuelle,Saint-Nicolas - Montmagny,St-Romuald,EC-CSL,3
Sep-01,46.74153,-71.29483,Écrevisse de ruisseau,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,6
Jul-00,45.757,-71.4079,Écrevisse à épines,Filet troubleau,Tributaire sud,Rivière St-François,UQTR,2
Jun-01,46.74153,-71.29483,Écrevisse à épines,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,54
May-01,46.67075,-71.84623,Écrevisse à épines,Manuelle,Grondines-Saint-Nicolas,Pointe-au-Platon,EC-CSL,1
Sep-02,45.30639,-73.24389,Écrevisse à rostre caréné,Manuelle,Haut-Richelieu,Iberville,EC-CSL,9
Oct-01,46.74153,-71.29483,Écrevisse à épines,Trappe à anguilles,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,2
Jul-01,45.49361,-73.94222,Écrevisse à pinces bleues,Manuelle,Lac des Deux-Montagnes,Lac Deux-Montagnes,EC-CSL,2
Jul-01,45.4425,-74.06694,Hybride,Manuelle,Lac des Deux-Montagnes,Lac Deux-Montagnes,EC-CSL,1
Oct-01,46.74153,-71.29483,Écrevisse à épines,Cage Tomahawk,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Aug-01,46.741383,-71.2937,Écrevisse à épines,Manuelle,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,5
Jul-02,45.4359,-73.7495,Écrevisse à épines,Cage Tomahawk,Lac Saint-Louis,Dorval,EC-CSL,1
Sep-02,45.4246,-73.8552,Écrevisse à rostre caréné,Manuelle,Lac Saint-Louis,Beaconsfield,EC-CSL,2
May-01,46.74167,-71.29398,Écrevisse de ruisseau,Manuelle,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,4
Jul-02,45.3645,-73.8553,Écrevisse à épines,Manuelle,Lac Saint-Louis,Île Perrot,EC-CSL,9
Jun-01,46.669483,-71.84578,Écrevisse à rostre caréné,Nasse à méné,Grondines-Saint-Nicolas,Pointe-au-Platon,EC-CSL,1
Oct-01,46.74153,-71.29483,Hybride,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,9
Jul-02,45.4044,-73.5441,Écrevisse à rostre caréné,Manuelle,Montréal-Sorel,Ste-Catherine,EC-CSL,3
Sep-02,45.4264,-73.823,Écrevisse à épines,Manuelle,Lac Saint-Louis,Pointe Claire,EC-CSL,23
Aug-01,45.063168,-74.51867,Écrevisse à rostre caréné,unknown,Lac Saint-François,Lac St-François,EC-CSL,1
Sep-02,45.4061,-73.5445,Écrevisse à pinces bleues,Manuelle,Montréal-Sorel,Ste-Catherine,EC-CSL,1
Aug-01,45.88333,-73.27333,Hybride,Manuelle,Montréal-Sorel,Lavaltrie,EC-CSL,1
Sep-01,46.741333,-71.29365,Écrevisse à épines,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,9
May-01,46.67075,-71.84623,Aucune,Nasse à méné,Grondines-Saint-Nicolas,Pointe-au-Platon,EC-CSL,0
May-01,46.683434,-71.818214,Écrevisse à épines,Manuelle,Grondines-Saint-Nicolas,Cap-Santé,EC-CSL,2
Sep-00,45.585567,-73.489815,Écrevisse à épines,Seine de rivage,Montréal-Sorel,Îles de Boucherville,EC-CSL,24
Jun-01,46.74165,-71.29387,Écrevisse de ruisseau,Manuelle,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,30
